"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1989","-","-","-","-","-","-","-","-","-","-","-"
"2","1990","-","-","-","-","-","-","-","-","-","-","-"
"3","1991","-","-","-","-","-","-","-","-","-","-","-"
"4","1992","7.8","9.7","5.7","-","14.2","230","24","2","44","0","6"
"5","1993","7.4","9.2","5.3","-","14.2","218","36","4","64","0","3"
"6","1994","7.7","9.6","5.7","-","16.3","219","35","5","68","0","7"
"7","1995","-","-","-","-","-","-","-","-","-","-","-"
"8","1996","7.4","9.1","5.5","-","15.9","208","53","0","68","0","10"
"9","1997","-","-","-","-","-","208","20","2","61","0","3"
"10","1998","-","-","-","-","-","-","-","-","-","-","-"
"11","1999","8.6","10.5","6.5","-","16.0","227","24","3","31","0","8"
"12","2000","8.2","10.1","6.2","-","14.0","240","18","9","41","0","8"
"13","2001","-","-","-","-","-","-","-","-","-","-","-"
"14","2002","-","-","-","-","-","-","-","-","-","-","-"
"15","2003","8.7","10.9","6.4","-","-","192","16","1","36","0","3"
"16","2004","-","-","-","-","-","-","-","-","-","-","-"
"17","2005","-","-","-","-","-","-","-","-","-","-","-"
"18","2006","8.8","10.7","6.7","-","14.4","218","19","3","28","0","5"
"19","2007","-","-","-","-","-","221","15","4","35","0","3"
"20","2008","-","-","-","-","-","-","-","-","-","-","-"
