"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1948","-","-","-","-","-","-","-","-","-","-","-"
"2","1949","-","-","-","-","-","-","-","-","-","-","-"
"3","1950","-","-","-","-","-","-","-","-","-","-","-"
"4","1951","-","-","-","-","-","-","-","-","-","-","-"
"5","1952","-","-","-","-","-","-","-","-","-","-","-"
"6","1953","-","-","-","-","-","-","-","-","-","-","-"
"7","1954","-","-","-","-","-","-","-","-","-","-","-"
"8","1955","-","-","-","-","-","-","-","-","-","-","-"
"9","1956","-","-","-","-","-","-","-","-","-","-","-"
"10","1957","-","-","-","-","-","-","-","-","-","-","-"
"11","1958","-","-","-","-","-","-","-","-","-","-","-"
"12","1959","-","-","-","-","-","-","-","-","-","-","-"
"13","1960","-","-","-","-","-","-","-","-","-","-","-"
"14","1961","-","-","-","-","-","-","-","-","-","-","-"
"15","1962","-","-","-","-","-","-","-","-","-","-","-"
"16","1963","-","-","-","-","-","-","-","-","-","-","-"
"17","1969","-","-","-","-","-","-","-","-","-","-","-"
"18","1970","-","-","-","-","-","-","-","-","-","-","-"
"19","1971","-","-","-","-","-","-","-","-","-","-","-"
"20","1973","-","-","-","-","-","-","-","-","-","-","-"
"21","1974","12.7","19.7","6.1","319.34","-","62","34","8","7","0","3"
"22","1975","13.5","20.3","6.6","345.96","16.6","74","25","5","14","0","2"
"23","1976","12.8","19.7","6.6","415.82","15.5","80","31","15","22","1","2"
"24","1977","13.8","20.9","7.5","514.33","16.0","73","28","11","27","0","1"
"25","1978","13.2","20.3","7.1","506.52","16.6","74","24","4","11","0","1"
"26","1979","13.8","20.7","7.9","417.04","16.8","78","24","8","17","0","1"
"27","1980","14.2","20.2","8.2","321.85","16.5","68","17","12","12","0","2"
"28","1981","14.2","20.3","8.4","393.17","16.0","75","14","7","13","0","0"
"29","1982","-","-","-","-","-","-","-","-","-","-","-"
"30","1983","14.6","21.3","8.0","191.04","15.9","54","16","7","10","0","2"
"31","1984","12.7","19.3","6.3","258.06","13.0","51","29","6","11","0","0"
"32","1985","14.0","21.0","8.1","213.14","16.3","54","23","12","22","0","0"
"33","1986","14.0","21.0","8.1","215.92","15.1","55","24","10","9","0","0"
"34","1987","14.1","20.5","8.0","282.72","10.1","63","19","8","16","0","0"
"35","1988","14.8","21.6","8.5","196.83","9.9","53","18","6","12","0","0"
"36","1989","13.4","20.2","6.7","302.00","9.1","48","29","7","19","0","0"
"37","1990","-","-","-","-","-","-","-","-","-","-","-"
"38","1991","-","-","-","-","-","-","-","-","-","-","-"
"39","1992","-","-","-","-","-","-","-","-","-","-","-"
"40","1993","13.2","19.0","7.5","841.81","8.6","87","38","11","7","0","0"
"41","1994","14.2","20.6","8.1","878.85","9.5","64","27","5","5","0","0"
"42","1995","14.6","21.6","8.2","132.61","10.1","52","23","11","1","0","1"
"43","1996","13.8","20.5","7.4","189.04","9.9","52","21","11","2","0","0"
"44","1997","-","-","-","-","-","-","-","-","-","-","-"
"45","1998","-","-","-","-","-","-","-","-","-","-","-"
"46","1999","14.6","21.1","8.6","289.26","9.2","80","14","14","11","0","2"
"47","2000","14.8","21.7","8.2","-","10.2","64","15","9","18","2","1"
"48","2001","15.2","22.2","8.3","-","12.0","65","23","12","22","0","1"
"49","2002","-","-","-","-","-","79","31","15","13","0","1"
"50","2003","14.3","20.6","8.0","384.08","11.4","82","26","22","20","0","0"
"51","2004","15.0","21.6","8.5","507.00","10.5","99","20","24","23","0","2"
"52","2005","-","-","-","-","-","-","-","-","-","-","-"
"53","2006","15.0","21.8","8.3","-","11.0","74","29","18","33","0","0"
"54","2007","14.7","21.7","8.0","-","10.3","84","19","25","13","0","1"
"55","2008","14.1","21.0","7.4","-","9.1","77","27","21","16","1","1"
"56","2009","14.5","21.2","8.2","-","9.7","110","10","27","19","0","1"
"57","2010","14.9","22.4","8.2","-","9.8","84","15","31","16","0","1"
"58","2011","14.5","21.1","7.9","-","10.7","94","35","22","22","0","0"
"59","2012","14.1","21.2","7.3","-","10.6","82","34","40","17","0","0"
"60","2013","15.0","22.3","8.3","-","10.8","87","22","23","17","0","1"
"61","2014","14.0","20.9","7.5","-","11.1","84","26","18","32","0","0"
"62","2015","15.1","21.5","8.6","-","11.0","97","30","17","17","0","0"
"63","2016","15.7","22.3","9.1","-","10.8","80","22","23","18","0","0"
"64","2017","15.3","21.9","8.3","-","11.3","74","22","19","23","0","0"
"65","2018","15.5","22.0","8.4","-","12.2","70","11","10","27","0","0"
"66","2019","-","-","-","-","-","-","-","-","-","-","-"
