"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1974","-","-","-","-","-","-","-","-","-","-","-"
"2","1975","-","-","-","-","-","-","-","-","-","-","-"
"3","1976","-","-","-","-","-","-","-","-","-","-","-"
"4","1977","-","-","-","-","-","-","-","-","-","-","-"
"5","1979","-","-","-","-","-","-","-","-","-","-","-"
"6","1992","-","-","-","-","-","-","-","-","-","-","-"
"7","1993","21.5","26.1","17.9","229.62","7.3","120","0","52","24","0","0"
"8","1994","22.0","26.0","18.5","1336.79","7.1","144","1","47","25","0","0"
"9","1995","-","-","-","-","-","-","-","-","-","-","-"
"10","1996","20.9","25.3","17.2","1254.55","7.7","133","0","47","35","0","0"
"11","1997","21.6","25.5","18.5","1176.29","6.6","140","0","66","27","0","0"
"12","1998","-","-","-","-","-","126","0","46","26","0","0"
"13","1999","21.8","26.3","18.1","-","6.8","118","0","50","24","0","0"
"14","2000","21.6","26.1","18.0","768.56","7.0","116","0","36","23","0","1"
"15","2001","21.4","25.6","18.0","1453.07","6.7","166","0","56","42","0","0"
"16","2002","-","-","-","-","-","-","-","-","-","-","-"
"17","2003","22.1","27.0","18.2","1059.38","6.3","91","0","49","33","0","0"
"18","2004","21.2","26.0","17.4","1298.40","4.9","130","0","65","58","0","0"
"19","2005","-","-","-","-","-","-","-","-","-","-","-"
"20","2006","-","-","-","-","-","-","-","-","-","-","-"
"21","2007","21.8","26.6","18.0","1223.27","5.2","115","0","52","24","0","0"
"22","2008","-","-","-","-","-","121","0","58","39","0","0"
"23","2009","-","-","-","-","-","-","-","-","-","-","-"
"24","2010","22.1","26.3","18.5","1273.57","6.1","143","0","67","40","0","0"
"25","2011","20.5","24.7","16.9","1122.67","6.4","135","0","50","57","0","0"
"26","2012","21.4","25.3","18.2","1193.02","5.8","156","0","53","14","0","0"
"27","2013","21.5","25.6","18.0","1525.30","-","136","0","64","44","0","0"
"28","2014","21.5","25.7","18.1","1451.35","-","125","0","63","36","0","0"
"29","2015","22.5","26.3","19.1","1622.23","-","136","0","50","31","0","0"
"30","2016","22.3","26.2","18.7","1095.92","-","119","0","45","24","0","0"
"31","2017","22.1","25.7","18.8","-","-","136","0","53","23","0","0"
"32","2018","-","-","-","-","-","134","0","51","21","0","0"
"33","2019","-","-","-","-","-","-","-","-","-","-","-"
