"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1996","-","-","-","-","-","-","-","-","-","-","-"
"2","1997","-","-","-","-","-","-","-","-","-","-","-"
"3","2005","-","-","-","-","-","-","-","-","-","-","-"
"4","2006","-53.1","-48.4","-58.2","0.00","-","0","0","0","0","0","0"
"5","2007","-","-","-","-","-","-","-","-","-","-","-"
"6","2008","-54.0","-48.9","-59.5","0.00","-","0","0","0","0","0","0"
"7","2009","-52.5","-47.4","-58.0","0.00","-","0","0","0","0","0","0"
"8","2010","-54.9","-49.7","-60.4","0.00","-","0","0","0","0","0","0"
"9","2011","-52.8","-47.7","-58.1","0.00","-","0","0","0","0","0","0"
"10","2012","-55.0","-49.9","-60.0","0.00","-","0","0","0","0","0","0"
"11","2013","-53.9","-48.9","-59.0","0.00","-","0","0","0","0","0","0"
"12","2014","-54.1","-49.4","-59.2","0.00","6.4","0","0","0","0","0","0"
"13","2015","-54.8","-50.0","-59.9","0.00","5.0","0","0","0","0","0","0"
"14","2016","-55.8","-51.6","-60.1","0.00","5.0","0","0","0","0","0","0"
"15","2017","-55.4","-51.0","-59.8","0.00","5.7","0","0","0","0","0","0"
"16","2018","-55.1","-51.5","-58.7","0.00","-","0","0","0","0","0","0"
"17","2019","-","-","-","-","-","-","-","-","-","-","-"
