Temperature - (Celsius), Year, Month, Country, ISO3
26.275, 1991, Jan, Antarctica, ANT
27.1, 1991, Feb, Antarctica, ANT
27.125, 1991, Mar, Antarctica, ANT
27.425, 1991, Apr, Antarctica, ANT
28.5, 1991, May, Antarctica, ANT
28.975, 1991, Jun, Antarctica, ANT
28.85, 1991, Jul, Antarctica, ANT
29.1749, 1991, Aug, Antarctica, ANT
29.4, 1991, Sep, Antarctica, ANT
29.075, 1991, Oct, Antarctica, ANT
27.85, 1991, Nov, Antarctica, ANT
26.35, 1991, Dec, Antarctica, ANT
26.6749, 1992, Jan, Antarctica, ANT
27.1, 1992, Feb, Antarctica, ANT
27.725, 1992, Mar, Antarctica, ANT
28.475, 1992, Apr, Antarctica, ANT
29.025, 1992, May, Antarctica, ANT
29.1749, 1992, Jun, Antarctica, ANT
28.5499, 1992, Jul, Antarctica, ANT
29.375, 1992, Aug, Antarctica, ANT
29.2999, 1992, Sep, Antarctica, ANT
29.475, 1992, Oct, Antarctica, ANT
28.25, 1992, Nov, Antarctica, ANT
27.15, 1992, Dec, Antarctica, ANT
26.775, 1993, Jan, Antarctica, ANT
27, 1993, Feb, Antarctica, ANT
27.425, 1993, Mar, Antarctica, ANT
28.35, 1993, Apr, Antarctica, ANT
29, 1993, May, Antarctica, ANT
29.125, 1993, Jun, Antarctica, ANT
29.15, 1993, Jul, Antarctica, ANT
29.15, 1993, Aug, Antarctica, ANT
29.2, 1993, Sep, Antarctica, ANT
29.475, 1993, Oct, Antarctica, ANT
28.05, 1993, Nov, Antarctica, ANT
27.35, 1993, Dec, Antarctica, ANT
26.375, 1994, Jan, Antarctica, ANT
26.7, 1994, Feb, Antarctica, ANT
27.525, 1994, Mar, Antarctica, ANT
28.05, 1994, Apr, Antarctica, ANT
28.825, 1994, May, Antarctica, ANT
29.0499, 1994, Jun, Antarctica, ANT
28.45, 1994, Jul, Antarctica, ANT
28.975, 1994, Aug, Antarctica, ANT
29.5, 1994, Sep, Antarctica, ANT
29.1749, 1994, Oct, Antarctica, ANT
28.55, 1994, Nov, Antarctica, ANT
27.65, 1994, Dec, Antarctica, ANT
27.275, 1995, Jan, Antarctica, ANT
27.2, 1995, Feb, Antarctica, ANT
27.425, 1995, Mar, Antarctica, ANT
28.125, 1995, Apr, Antarctica, ANT
