Temperature - (Celsius), Year, Month, Country, ISO3
22.8865, 1991, Jan, Eritrea, ERI
24.2519, 1991, Feb, Eritrea, ERI
24.6344, 1991, Mar, Eritrea, ERI
27.9989, 1991, Apr, Eritrea, ERI
29.2687, 1991, May, Eritrea, ERI
29.9665, 1991, Jun, Eritrea, ERI
28.6843, 1991, Jul, Eritrea, ERI
27.9685, 1991, Aug, Eritrea, ERI
27.9683, 1991, Sep, Eritrea, ERI
26.9424, 1991, Oct, Eritrea, ERI
25.4895, 1991, Nov, Eritrea, ERI
22.3072, 1991, Dec, Eritrea, ERI
21.0066, 1992, Jan, Eritrea, ERI
20.4783, 1992, Feb, Eritrea, ERI
24.05, 1992, Mar, Eritrea, ERI
27.0916, 1992, Apr, Eritrea, ERI
28.8645, 1992, May, Eritrea, ERI
29.4443, 1992, Jun, Eritrea, ERI
28.8102, 1992, Jul, Eritrea, ERI
27.9738, 1992, Aug, Eritrea, ERI
27.2682, 1992, Sep, Eritrea, ERI
27.1795, 1992, Oct, Eritrea, ERI
25.0349, 1992, Nov, Eritrea, ERI
22.8903, 1992, Dec, Eritrea, ERI
22.0249, 1993, Jan, Eritrea, ERI
22.1711, 1993, Feb, Eritrea, ERI
25.1742, 1993, Mar, Eritrea, ERI
26.6982, 1993, Apr, Eritrea, ERI
29.2658, 1993, May, Eritrea, ERI
30.3763, 1993, Jun, Eritrea, ERI
28.7209, 1993, Jul, Eritrea, ERI
28.8379, 1993, Aug, Eritrea, ERI
28.0518, 1993, Sep, Eritrea, ERI
26.8992, 1993, Oct, Eritrea, ERI
26.6205, 1993, Nov, Eritrea, ERI
22.9163, 1993, Dec, Eritrea, ERI
23.1677, 1994, Jan, Eritrea, ERI
23.5428, 1994, Feb, Eritrea, ERI
22.8589, 1994, Mar, Eritrea, ERI
28.3432, 1994, Apr, Eritrea, ERI
29.3116, 1994, May, Eritrea, ERI
29.4402, 1994, Jun, Eritrea, ERI
28.5395, 1994, Jul, Eritrea, ERI
28.4242, 1994, Aug, Eritrea, ERI
27.116, 1994, Sep, Eritrea, ERI
27.221, 1994, Oct, Eritrea, ERI
25.1034, 1994, Nov, Eritrea, ERI
23.2453, 1994, Dec, Eritrea, ERI
22.8706, 1995, Jan, Eritrea, ERI
22.3628, 1995, Feb, Eritrea, ERI
24.5809, 1995, Mar, Eritrea, ERI
27.1847, 1995, Apr, Eritrea, ERI
28.9724, 1995, May, Eritrea, ERI
29.0871, 1995, Jun, Eritrea, ERI
28.4101, 1995, Jul, Eritrea, ERI
27.6884, 1995, Aug, Eritrea, ERI
27.5145, 1995, Sep, Eritrea, ERI
27.2941, 1995, Oct, Eritrea, ERI
25.083, 1995, Nov, Eritrea, ERI
23.0144, 1995, Dec, Eritrea, ERI
22.2724, 1996, Jan, Eritrea, ERI
24.5286, 1996, Feb, Eritrea, ERI
25.4457, 1996, Mar, Eritrea, ERI
27.5695, 1996, Apr, Eritrea, ERI
28.4529, 1996, May, Eritrea, ERI
29.0615, 1996, Jun, Eritrea, ERI
29.1882, 1996, Jul, Eritrea, ERI
28.1739, 1996, Aug, Eritrea, ERI
28.3392, 1996, Sep, Eritrea, ERI
27.4288, 1996, Oct, Eritrea, ERI
24.6066, 1996, Nov, Eritrea, ERI
24.2502, 1996, Dec, Eritrea, ERI
23.1454, 1997, Jan, Eritrea, ERI
22.3143, 1997, Feb, Eritrea, ERI
24.7172, 1997, Mar, Eritrea, ERI
27.2828, 1997, Apr, Eritrea, ERI
28.7311, 1997, May, Eritrea, ERI
30.0009, 1997, Jun, Eritrea, ERI
29.1558, 1997, Jul, Eritrea, ERI
28.3591, 1997, Aug, Eritrea, ERI
28.8288, 1997, Sep, Eritrea, ERI
27.4019, 1997, Oct, Eritrea, ERI
25.6083, 1997, Nov, Eritrea, ERI
24.186, 1997, Dec, Eritrea, ERI
22.6608, 1998, Jan, Eritrea, ERI
23.5166, 1998, Feb, Eritrea, ERI
24.9847, 1998, Mar, Eritrea, ERI
28.5358, 1998, Apr, Eritrea, ERI
30.1042, 1998, May, Eritrea, ERI
