Temperature - (Celsius), Year, Month, Country, ISO3
25.3699, 1991, Jan, Guyana, GUY
25.7198, 1991, Feb, Guyana, GUY
25.7331, 1991, Mar, Guyana, GUY
25.7516, 1991, Apr, Guyana, GUY
25.976, 1991, May, Guyana, GUY
25.8169, 1991, Jun, Guyana, GUY
25.2067, 1991, Jul, Guyana, GUY
25.2733, 1991, Aug, Guyana, GUY
25.5669, 1991, Sep, Guyana, GUY
25.9537, 1991, Oct, Guyana, GUY
26.1627, 1991, Nov, Guyana, GUY
25.3572, 1991, Dec, Guyana, GUY
24.6432, 1992, Jan, Guyana, GUY
24.9022, 1992, Feb, Guyana, GUY
25.3302, 1992, Mar, Guyana, GUY
25.8144, 1992, Apr, Guyana, GUY
25.5084, 1992, May, Guyana, GUY
25.3527, 1992, Jun, Guyana, GUY
24.7462, 1992, Jul, Guyana, GUY
24.9615, 1992, Aug, Guyana, GUY
25.4356, 1992, Sep, Guyana, GUY
25.9332, 1992, Oct, Guyana, GUY
26.2142, 1992, Nov, Guyana, GUY
24.7017, 1992, Dec, Guyana, GUY
24.3311, 1993, Jan, Guyana, GUY
24.903, 1993, Feb, Guyana, GUY
24.7072, 1993, Mar, Guyana, GUY
25.4904, 1993, Apr, Guyana, GUY
25.5377, 1993, May, Guyana, GUY
25.3349, 1993, Jun, Guyana, GUY
25.0567, 1993, Jul, Guyana, GUY
25.6364, 1993, Aug, Guyana, GUY
25.6592, 1993, Sep, Guyana, GUY
25.9304, 1993, Oct, Guyana, GUY
25.6057, 1993, Nov, Guyana, GUY
26.1182, 1993, Dec, Guyana, GUY
25.2884, 1994, Jan, Guyana, GUY
24.8597, 1994, Feb, Guyana, GUY
25.6046, 1994, Mar, Guyana, GUY
25.8899, 1994, Apr, Guyana, GUY
25.4705, 1994, May, Guyana, GUY
25.3898, 1994, Jun, Guyana, GUY
24.5095, 1994, Jul, Guyana, GUY
25.4748, 1994, Aug, Guyana, GUY
26.0487, 1994, Sep, Guyana, GUY
26.1788, 1994, Oct, Guyana, GUY
25.8619, 1994, Nov, Guyana, GUY
25.0655, 1994, Dec, Guyana, GUY
25.3979, 1995, Jan, Guyana, GUY
25.7493, 1995, Feb, Guyana, GUY
26.2565, 1995, Mar, Guyana, GUY
26.6651, 1995, Apr, Guyana, GUY
26.3163, 1995, May, Guyana, GUY
25.8409, 1995, Jun, Guyana, GUY
25.6385, 1995, Jul, Guyana, GUY
26.5216, 1995, Aug, Guyana, GUY
27.0696, 1995, Sep, Guyana, GUY
27.0804, 1995, Oct, Guyana, GUY
26.4043, 1995, Nov, Guyana, GUY
25.6749, 1995, Dec, Guyana, GUY
25.5615, 1996, Jan, Guyana, GUY
25.6995, 1996, Feb, Guyana, GUY
25.8794, 1996, Mar, Guyana, GUY
26.3276, 1996, Apr, Guyana, GUY
25.4151, 1996, May, Guyana, GUY
25.3696, 1996, Jun, Guyana, GUY
25.1604, 1996, Jul, Guyana, GUY
25.7603, 1996, Aug, Guyana, GUY
26.2476, 1996, Sep, Guyana, GUY
26.5681, 1996, Oct, Guyana, GUY
26.2464, 1996, Nov, Guyana, GUY
25.8372, 1996, Dec, Guyana, GUY
25.076, 1997, Jan, Guyana, GUY
24.6615, 1997, Feb, Guyana, GUY
25.3245, 1997, Mar, Guyana, GUY
26.0524, 1997, Apr, Guyana, GUY
25.5031, 1997, May, Guyana, GUY
25.7128, 1997, Jun, Guyana, GUY
25.4898, 1997, Jul, Guyana, GUY
26.3811, 1997, Aug, Guyana, GUY
27.1149, 1997, Sep, Guyana, GUY
27.6497, 1997, Oct, Guyana, GUY
27.4046, 1997, Nov, Guyana, GUY
26.2927, 1997, Dec, Guyana, GUY
25.9972, 1998, Jan, Guyana, GUY
26.9161, 1998, Feb, Guyana, GUY
27.3882, 1998, Mar, Guyana, GUY
27.1214, 1998, Apr, Guyana, GUY
26.4401, 1998, May, Guyana, GUY
26.0054, 1998, Jun, Guyana, GUY
26.0173, 1998, Jul, Guyana, GUY
26.731, 1998, Aug, Guyana, GUY
26.8269, 1998, Sep, Guyana, GUY
26.9583, 1998, Oct, Guyana, GUY
26.4729, 1998, Nov, Guyana, GUY
26.0877, 1998, Dec, Guyana, GUY
24.9576, 1999, Jan, Guyana, GUY
25.3775, 1999, Feb, Guyana, GUY
25.7936, 1999, Mar, Guyana, GUY
25.8468, 1999, Apr, Guyana, GUY
25.8619, 1999, May, Guyana, GUY
25.5993, 1999, Jun, Guyana, GUY
25.3596, 1999, Jul, Guyana, GUY
25.5221, 1999, Aug, Guyana, GUY
26.5076, 1999, Sep, Guyana, GUY
25.9872, 1999, Oct, Guyana, GUY
27.1521, 1999, Nov, Guyana, GUY
26.7377, 1999, Dec, Guyana, GUY
25.2297, 2000, Jan, Guyana, GUY
25.0754, 2000, Feb, Guyana, GUY
25.5373, 2000, Mar, Guyana, GUY
25.8535, 2000, Apr, Guyana, GUY
25.9528, 2000, May, Guyana, GUY
25.5317, 2000, Jun, Guyana, GUY
25.5725, 2000, Jul, Guyana, GUY
26.2985, 2000, Aug, Guyana, GUY
26.2761, 2000, Sep, Guyana, GUY
26.7886, 2000, Oct, Guyana, GUY
26.6253, 2000, Nov, Guyana, GUY
25.8442, 2000, Dec, Guyana, GUY
25.1237, 2001, Jan, Guyana, GUY
25.3833, 2001, Feb, Guyana, GUY
25.984, 2001, Mar, Guyana, GUY
26.0874, 2001, Apr, Guyana, GUY
26.1687, 2001, May, Guyana, GUY
25.6699, 2001, Jun, Guyana, GUY
25.6357, 2001, Jul, Guyana, GUY
26.6235, 2001, Aug, Guyana, GUY
26.4514, 2001, Sep, Guyana, GUY
27.1736, 2001, Oct, Guyana, GUY
27.1606, 2001, Nov, Guyana, GUY
26.8119, 2001, Dec, Guyana, GUY
25.8867, 2002, Jan, Guyana, GUY
25.631, 2002, Feb, Guyana, GUY
