Temperature - (Celsius), Year, Month, Country, ISO3
25.2002, 1991, Jan, Suriname, SUR
25.6163, 1991, Feb, Suriname, SUR
25.7702, 1991, Mar, Suriname, SUR
25.9774, 1991, Apr, Suriname, SUR
25.9107, 1991, May, Suriname, SUR
26.069, 1991, Jun, Suriname, SUR
25.412, 1991, Jul, Suriname, SUR
25.8139, 1991, Aug, Suriname, SUR
25.7167, 1991, Sep, Suriname, SUR
25.897, 1991, Oct, Suriname, SUR
26.136, 1991, Nov, Suriname, SUR
25.453, 1991, Dec, Suriname, SUR
24.6132, 1992, Jan, Suriname, SUR
25.0081, 1992, Feb, Suriname, SUR
25.5298, 1992, Mar, Suriname, SUR
25.9674, 1992, Apr, Suriname, SUR
25.5854, 1992, May, Suriname, SUR
25.8729, 1992, Jun, Suriname, SUR
25.0954, 1992, Jul, Suriname, SUR
25.7878, 1992, Aug, Suriname, SUR
25.7483, 1992, Sep, Suriname, SUR
26.127, 1992, Oct, Suriname, SUR
26.1255, 1992, Nov, Suriname, SUR
24.9678, 1992, Dec, Suriname, SUR
24.2355, 1993, Jan, Suriname, SUR
25.0241, 1993, Feb, Suriname, SUR
24.8833, 1993, Mar, Suriname, SUR
25.5774, 1993, Apr, Suriname, SUR
25.517, 1993, May, Suriname, SUR
25.6494, 1993, Jun, Suriname, SUR
25.395, 1993, Jul, Suriname, SUR
26.1277, 1993, Aug, Suriname, SUR
25.7938, 1993, Sep, Suriname, SUR
25.9458, 1993, Oct, Suriname, SUR
25.7375, 1993, Nov, Suriname, SUR
25.8405, 1993, Dec, Suriname, SUR
24.9322, 1994, Jan, Suriname, SUR
24.8664, 1994, Feb, Suriname, SUR
25.4447, 1994, Mar, Suriname, SUR
25.6174, 1994, Apr, Suriname, SUR
25.3365, 1994, May, Suriname, SUR
25.6792, 1994, Jun, Suriname, SUR
25.0183, 1994, Jul, Suriname, SUR
26.1786, 1994, Aug, Suriname, SUR
26.4749, 1994, Sep, Suriname, SUR
26.503, 1994, Oct, Suriname, SUR
25.9092, 1994, Nov, Suriname, SUR
25.1795, 1994, Dec, Suriname, SUR
25.2095, 1995, Jan, Suriname, SUR
25.7264, 1995, Feb, Suriname, SUR
26.1163, 1995, Mar, Suriname, SUR
26.6955, 1995, Apr, Suriname, SUR
26.1919, 1995, May, Suriname, SUR
26.0478, 1995, Jun, Suriname, SUR
25.7784, 1995, Jul, Suriname, SUR
27.0727, 1995, Aug, Suriname, SUR
27.074, 1995, Sep, Suriname, SUR
27.0659, 1995, Oct, Suriname, SUR
26.4131, 1995, Nov, Suriname, SUR
25.6714, 1995, Dec, Suriname, SUR
25.5178, 1996, Jan, Suriname, SUR
25.4217, 1996, Feb, Suriname, SUR
25.8762, 1996, Mar, Suriname, SUR
26.4104, 1996, Apr, Suriname, SUR
25.5409, 1996, May, Suriname, SUR
25.7868, 1996, Jun, Suriname, SUR
25.5388, 1996, Jul, Suriname, SUR
26.2654, 1996, Aug, Suriname, SUR
26.4443, 1996, Sep, Suriname, SUR
26.6599, 1996, Oct, Suriname, SUR
26.2701, 1996, Nov, Suriname, SUR
25.8716, 1996, Dec, Suriname, SUR
24.8453, 1997, Jan, Suriname, SUR
24.6938, 1997, Feb, Suriname, SUR
25.445, 1997, Mar, Suriname, SUR
26.097, 1997, Apr, Suriname, SUR
25.4628, 1997, May, Suriname, SUR
26.025, 1997, Jun, Suriname, SUR
25.7597, 1997, Jul, Suriname, SUR
26.922, 1997, Aug, Suriname, SUR
27.1371, 1997, Sep, Suriname, SUR
27.5883, 1997, Oct, Suriname, SUR
27.441, 1997, Nov, Suriname, SUR
26.1518, 1997, Dec, Suriname, SUR
25.7619, 1998, Jan, Suriname, SUR
26.539, 1998, Feb, Suriname, SUR
27.1499, 1998, Mar, Suriname, SUR
26.8616, 1998, Apr, Suriname, SUR
26.4427, 1998, May, Suriname, SUR
26.2398, 1998, Jun, Suriname, SUR
26.289, 1998, Jul, Suriname, SUR
27.0205, 1998, Aug, Suriname, SUR
26.895, 1998, Sep, Suriname, SUR
27.0112, 1998, Oct, Suriname, SUR
26.5359, 1998, Nov, Suriname, SUR
25.9317, 1998, Dec, Suriname, SUR
24.7977, 1999, Jan, Suriname, SUR
25.348, 1999, Feb, Suriname, SUR
25.7414, 1999, Mar, Suriname, SUR
25.7967, 1999, Apr, Suriname, SUR
25.7727, 1999, May, Suriname, SUR
25.7695, 1999, Jun, Suriname, SUR
25.5856, 1999, Jul, Suriname, SUR
25.8813, 1999, Aug, Suriname, SUR
26.601, 1999, Sep, Suriname, SUR
26.1135, 1999, Oct, Suriname, SUR
27.088, 1999, Nov, Suriname, SUR
26.3989, 1999, Dec, Suriname, SUR
24.8321, 2000, Jan, Suriname, SUR
24.6858, 2000, Feb, Suriname, SUR
25.2998, 2000, Mar, Suriname, SUR
25.5354, 2000, Apr, Suriname, SUR
25.7688, 2000, May, Suriname, SUR
25.6874, 2000, Jun, Suriname, SUR
25.6916, 2000, Jul, Suriname, SUR
26.6162, 2000, Aug, Suriname, SUR
26.413, 2000, Sep, Suriname, SUR
26.832, 2000, Oct, Suriname, SUR
26.5835, 2000, Nov, Suriname, SUR
25.7503, 2000, Dec, Suriname, SUR
24.9114, 2001, Jan, Suriname, SUR
24.9423, 2001, Feb, Suriname, SUR
25.6686, 2001, Mar, Suriname, SUR
26.1195, 2001, Apr, Suriname, SUR
26.1123, 2001, May, Suriname, SUR
26.0125, 2001, Jun, Suriname, SUR
25.8462, 2001, Jul, Suriname, SUR
26.911, 2001, Aug, Suriname, SUR
26.6179, 2001, Sep, Suriname, SUR
27.0688, 2001, Oct, Suriname, SUR
27.0209, 2001, Nov, Suriname, SUR
26.6105, 2001, Dec, Suriname, SUR
25.4968, 2002, Jan, Suriname, SUR
25.395, 2002, Feb, Suriname, SUR
26.0686, 2002, Mar, Suriname, SUR
25.727, 2002, Apr, Suriname, SUR
