Temperature - (Celsius), Year, Month, Country, ISO3
6.26799, 1991, Jan, Syria, SYR
7.12376, 1991, Feb, Syria, SYR
12.6858, 1991, Mar, Syria, SYR
17.6551, 1991, Apr, Syria, SYR
20.3736, 1991, May, Syria, SYR
26.1442, 1991, Jun, Syria, SYR
28.444, 1991, Jul, Syria, SYR
28.4104, 1991, Aug, Syria, SYR
25.7026, 1991, Sep, Syria, SYR
21.2402, 1991, Oct, Syria, SYR
13.9169, 1991, Nov, Syria, SYR
6.5647, 1991, Dec, Syria, SYR
3.18381, 1992, Jan, Syria, SYR
4.09799, 1992, Feb, Syria, SYR
9.16857, 1992, Mar, Syria, SYR
16.0631, 1992, Apr, Syria, SYR
20.823, 1992, May, Syria, SYR
25.143, 1992, Jun, Syria, SYR
27.2565, 1992, Jul, Syria, SYR
29.1876, 1992, Aug, Syria, SYR
24.5548, 1992, Sep, Syria, SYR
20.9274, 1992, Oct, Syria, SYR
12.2705, 1992, Nov, Syria, SYR
5.38273, 1992, Dec, Syria, SYR
5.24731, 1993, Jan, Syria, SYR
6.18723, 1993, Feb, Syria, SYR
11.4183, 1993, Mar, Syria, SYR
16.6549, 1993, Apr, Syria, SYR
19.7881, 1993, May, Syria, SYR
26.5247, 1993, Jun, Syria, SYR
29.3074, 1993, Jul, Syria, SYR
29.4958, 1993, Aug, Syria, SYR
25.5372, 1993, Sep, Syria, SYR
21.2287, 1993, Oct, Syria, SYR
10.8894, 1993, Nov, Syria, SYR
8.23501, 1993, Dec, Syria, SYR
8.95516, 1994, Jan, Syria, SYR
8.57112, 1994, Feb, Syria, SYR
11.9186, 1994, Mar, Syria, SYR
19.1729, 1994, Apr, Syria, SYR
23.047, 1994, May, Syria, SYR
26.4972, 1994, Jun, Syria, SYR
28.729, 1994, Jul, Syria, SYR
29.3329, 1994, Aug, Syria, SYR
27.7131, 1994, Sep, Syria, SYR
22.4298, 1994, Oct, Syria, SYR
13.0236, 1994, Nov, Syria, SYR
5.74946, 1994, Dec, Syria, SYR
7.39767, 1995, Jan, Syria, SYR
9.39316, 1995, Feb, Syria, SYR
12.0978, 1995, Mar, Syria, SYR
16.0892, 1995, Apr, Syria, SYR
23.1372, 1995, May, Syria, SYR
27.4065, 1995, Jun, Syria, SYR
28.7344, 1995, Jul, Syria, SYR
29.2228, 1995, Aug, Syria, SYR
25.274, 1995, Sep, Syria, SYR
19.6756, 1995, Oct, Syria, SYR
11.4421, 1995, Nov, Syria, SYR
7.09682, 1995, Dec, Syria, SYR
7.00173, 1996, Jan, Syria, SYR
9.09301, 1996, Feb, Syria, SYR
11.3987, 1996, Mar, Syria, SYR
16.7208, 1996, Apr, Syria, SYR
23.3516, 1996, May, Syria, SYR
