Rainfall - (MM), Year, Month, Country, ISO3
28.9942, 1991, Jan, Armenia, ARM
17.7952, 1991, Feb, Armenia, ARM
59.2782, 1991, Mar, Armenia, ARM
50.7612, 1991, Apr, Armenia, ARM
72.5681, 1991, May, Armenia, ARM
64.0431, 1991, Jun, Armenia, ARM
39.7125, 1991, Jul, Armenia, ARM
31.9856, 1991, Aug, Armenia, ARM
8.62063, 1991, Sep, Armenia, ARM
24.6877, 1991, Oct, Armenia, ARM
53.9267, 1991, Nov, Armenia, ARM
35.8527, 1991, Dec, Armenia, ARM
24.6113, 1992, Jan, Armenia, ARM
44.2501, 1992, Feb, Armenia, ARM
17.0316, 1992, Mar, Armenia, ARM
38.9374, 1992, Apr, Armenia, ARM
66.0193, 1992, May, Armenia, ARM
101.634, 1992, Jun, Armenia, ARM
55.9398, 1992, Jul, Armenia, ARM
29.9583, 1992, Aug, Armenia, ARM
57.2547, 1992, Sep, Armenia, ARM
12.8409, 1992, Oct, Armenia, ARM
58.3347, 1992, Nov, Armenia, ARM
35.3972, 1992, Dec, Armenia, ARM
21.3805, 1993, Jan, Armenia, ARM
36.2817, 1993, Feb, Armenia, ARM
17.7593, 1993, Mar, Armenia, ARM
56.3942, 1993, Apr, Armenia, ARM
83.817, 1993, May, Armenia, ARM
88.4037, 1993, Jun, Armenia, ARM
31.5464, 1993, Jul, Armenia, ARM
51.8901, 1993, Aug, Armenia, ARM
16.1608, 1993, Sep, Armenia, ARM
24.9762, 1993, Oct, Armenia, ARM
65.8615, 1993, Nov, Armenia, ARM
9.18724, 1993, Dec, Armenia, ARM
19.7572, 1994, Jan, Armenia, ARM
30.6255, 1994, Feb, Armenia, ARM
45.1157, 1994, Mar, Armenia, ARM
78.6151, 1994, Apr, Armenia, ARM
80.8492, 1994, May, Armenia, ARM
90.7855, 1994, Jun, Armenia, ARM
24.628, 1994, Jul, Armenia, ARM
29.7921, 1994, Aug, Armenia, ARM
21.1756, 1994, Sep, Armenia, ARM
31.8392, 1994, Oct, Armenia, ARM
52.6168, 1994, Nov, Armenia, ARM
42.0256, 1994, Dec, Armenia, ARM
16.6291, 1995, Jan, Armenia, ARM
12.1964, 1995, Feb, Armenia, ARM
35.715, 1995, Mar, Armenia, ARM
57.2421, 1995, Apr, Armenia, ARM
61.0318, 1995, May, Armenia, ARM
71.5394, 1995, Jun, Armenia, ARM
49.6961, 1995, Jul, Armenia, ARM
14.3319, 1995, Aug, Armenia, ARM
79.9635, 1995, Sep, Armenia, ARM
22.0183, 1995, Oct, Armenia, ARM
22.3319, 1995, Nov, Armenia, ARM
6.69592, 1995, Dec, Armenia, ARM
19.3777, 1996, Jan, Armenia, ARM
21.1244, 1996, Feb, Armenia, ARM
44.7834, 1996, Mar, Armenia, ARM
77.2766, 1996, Apr, Armenia, ARM
68.5685, 1996, May, Armenia, ARM
59.0488, 1996, Jun, Armenia, ARM
43.0207, 1996, Jul, Armenia, ARM
14.7977, 1996, Aug, Armenia, ARM
29.9701, 1996, Sep, Armenia, ARM
44.7194, 1996, Oct, Armenia, ARM
4.21709, 1996, Nov, Armenia, ARM
25.3663, 1996, Dec, Armenia, ARM
15.0339, 1997, Jan, Armenia, ARM
34.3109, 1997, Feb, Armenia, ARM
43.7891, 1997, Mar, Armenia, ARM
33.0435, 1997, Apr, Armenia, ARM
62.202, 1997, May, Armenia, ARM
65.8038, 1997, Jun, Armenia, ARM
84.9049, 1997, Jul, Armenia, ARM
25.9156, 1997, Aug, Armenia, ARM
53.5193, 1997, Sep, Armenia, ARM
33.7602, 1997, Oct, Armenia, ARM
8.86892, 1997, Nov, Armenia, ARM
24.9415, 1997, Dec, Armenia, ARM
19.3562, 1998, Jan, Armenia, ARM
17.2075, 1998, Feb, Armenia, ARM
31.5288, 1998, Mar, Armenia, ARM
58.5717, 1998, Apr, Armenia, ARM
109.015, 1998, May, Armenia, ARM
63.2468, 1998, Jun, Armenia, ARM
51.9442, 1998, Jul, Armenia, ARM
15.151, 1998, Aug, Armenia, ARM
12.6326, 1998, Sep, Armenia, ARM
13.532, 1998, Oct, Armenia, ARM
33.3876, 1998, Nov, Armenia, ARM
16.2067, 1998, Dec, Armenia, ARM
4.77639, 1999, Jan, Armenia, ARM
13.9856, 1999, Feb, Armenia, ARM
45.8237, 1999, Mar, Armenia, ARM
46.654, 1999, Apr, Armenia, ARM
73.6832, 1999, May, Armenia, ARM
79.5646, 1999, Jun, Armenia, ARM
40.0203, 1999, Jul, Armenia, ARM
30.5552, 1999, Aug, Armenia, ARM
50.2472, 1999, Sep, Armenia, ARM
35.4762, 1999, Oct, Armenia, ARM
25.8195, 1999, Nov, Armenia, ARM
3.10397, 1999, Dec, Armenia, ARM
41.5108, 2000, Jan, Armenia, ARM
23.8478, 2000, Feb, Armenia, ARM
29.7985, 2000, Mar, Armenia, ARM
42.383, 2000, Apr, Armenia, ARM
87.0166, 2000, May, Armenia, ARM
18.4772, 2000, Jun, Armenia, ARM
11.6835, 2000, Jul, Armenia, ARM
16.7024, 2000, Aug, Armenia, ARM
30.0582, 2000, Sep, Armenia, ARM
55.8061, 2000, Oct, Armenia, ARM
9.38929, 2000, Nov, Armenia, ARM
25.9997, 2000, Dec, Armenia, ARM
8.71017, 2001, Jan, Armenia, ARM
16.1498, 2001, Feb, Armenia, ARM
48.685, 2001, Mar, Armenia, ARM
73.1638, 2001, Apr, Armenia, ARM
81.227, 2001, May, Armenia, ARM
36.862, 2001, Jun, Armenia, ARM
49.1015, 2001, Jul, Armenia, ARM
32.1825, 2001, Aug, Armenia, ARM
5.01466, 2001, Sep, Armenia, ARM
47.2312, 2001, Oct, Armenia, ARM
29.1658, 2001, Nov, Armenia, ARM
31.1805, 2001, Dec, Armenia, ARM
19.7537, 2002, Jan, Armenia, ARM
16.4108, 2002, Feb, Armenia, ARM
38.8111, 2002, Mar, Armenia, ARM
113.012, 2002, Apr, Armenia, ARM
96.395, 2002, May, Armenia, ARM
91.0586, 2002, Jun, Armenia, ARM
77.6193, 2002, Jul, Armenia, ARM
68.1481, 2002, Aug, Armenia, ARM
9.80786, 2002, Sep, Armenia, ARM
41.583, 2002, Oct, Armenia, ARM
12.1058, 2002, Nov, Armenia, ARM
40.8064, 2002, Dec, Armenia, ARM
19.884, 2003, Jan, Armenia, ARM
43.0888, 2003, Feb, Armenia, ARM
82.3307, 2003, Mar, Armenia, ARM
76.7569, 2003, Apr, Armenia, ARM
78.4288, 2003, May, Armenia, ARM
66.565, 2003, Jun, Armenia, ARM
70.4926, 2003, Jul, Armenia, ARM
45.169, 2003, Aug, Armenia, ARM
36.9452, 2003, Sep, Armenia, ARM
65.8146, 2003, Oct, Armenia, ARM
54.6716, 2003, Nov, Armenia, ARM
19.0674, 2003, Dec, Armenia, ARM
18.5648, 2004, Jan, Armenia, ARM
32.3286, 2004, Feb, Armenia, ARM
41.7034, 2004, Mar, Armenia, ARM
91.0652, 2004, Apr, Armenia, ARM
113.194, 2004, May, Armenia, ARM
84.3856, 2004, Jun, Armenia, ARM
42.8842, 2004, Jul, Armenia, ARM
26.2111, 2004, Aug, Armenia, ARM
28.6234, 2004, Sep, Armenia, ARM
28.7322, 2004, Oct, Armenia, ARM
53.739, 2004, Nov, Armenia, ARM
11.4793, 2004, Dec, Armenia, ARM
26.538, 2005, Jan, Armenia, ARM
25.6286, 2005, Feb, Armenia, ARM
66.6691, 2005, Mar, Armenia, ARM
64.1568, 2005, Apr, Armenia, ARM
105.901, 2005, May, Armenia, ARM
85.7237, 2005, Jun, Armenia, ARM
32.3721, 2005, Jul, Armenia, ARM
48.2308, 2005, Aug, Armenia, ARM
50.5153, 2005, Sep, Armenia, ARM
42.4523, 2005, Oct, Armenia, ARM
32.3926, 2005, Nov, Armenia, ARM
17.774, 2005, Dec, Armenia, ARM
51.4595, 2006, Jan, Armenia, ARM
36.341, 2006, Feb, Armenia, ARM
29.5367, 2006, Mar, Armenia, ARM
106.027, 2006, Apr, Armenia, ARM
51.6828, 2006, May, Armenia, ARM
33.7594, 2006, Jun, Armenia, ARM
62.2602, 2006, Jul, Armenia, ARM
15.3809, 2006, Aug, Armenia, ARM
34.2623, 2006, Sep, Armenia, ARM
76.8928, 2006, Oct, Armenia, ARM
20.6705, 2006, Nov, Armenia, ARM
23.3327, 2006, Dec, Armenia, ARM
20.4847, 2007, Jan, Armenia, ARM
14.3085, 2007, Feb, Armenia, ARM
58.8601, 2007, Mar, Armenia, ARM
110.316, 2007, Apr, Armenia, ARM
56.2501, 2007, May, Armenia, ARM
82.8249, 2007, Jun, Armenia, ARM
93.2808, 2007, Jul, Armenia, ARM
74.4461, 2007, Aug, Armenia, ARM
3.80028, 2007, Sep, Armenia, ARM
53.0963, 2007, Oct, Armenia, ARM
74.6827, 2007, Nov, Armenia, ARM
21.8966, 2007, Dec, Armenia, ARM
25.9966, 2008, Jan, Armenia, ARM
15.8513, 2008, Feb, Armenia, ARM
28.1716, 2008, Mar, Armenia, ARM
30.4564, 2008, Apr, Armenia, ARM
