"","Year","Country","Month","ISO3","Temperature - (Celsius)","Rainfall - (MM)"
"1","1991","Belgium","Apr","BEL","8.38833","54.6013"
"2","1991","Belgium","Aug","BEL","19.0581","16.5234"
"3","1991","Belgium","Dec","BEL","3.0897","68.6794"
"4","1991","Belgium","Feb","BEL","-0.3941","31.0636"
"5","1991","Belgium","Jan","BEL","2.95523","80.0059"
"6","1991","Belgium","Jul","BEL","19.1454","95.8467"
"7","1991","Belgium","Jun","BEL","13.2911","106.52"
"8","1991","Belgium","Mar","BEL","8.57952","39.5761"
"9","1991","Belgium","May","BEL","10.3861","27.1569"
"10","1991","Belgium","Nov","BEL","5.45075","133.993"
"11","1991","Belgium","Oct","BEL","10.2374","45.0751"
"12","1991","Belgium","Sep","BEL","16.1465","55.9741"
"13","1992","Belgium","Apr","BEL","8.81827","56.3691"
"14","1992","Belgium","Aug","BEL","18.6716","115.756"
"15","1992","Belgium","Dec","BEL","3.68724","73.4038"
"16","1992","Belgium","Feb","BEL","4.46686","38.8439"
"17","1992","Belgium","Jan","BEL","2.36399","30.399"
"18","1992","Belgium","Jul","BEL","18.7024","80.0288"
"19","1992","Belgium","Jun","BEL","16.7917","96.2074"
"20","1992","Belgium","Mar","BEL","6.86777","89.4756"
"21","1992","Belgium","May","BEL","15.2644","51.372"
"22","1992","Belgium","Nov","BEL","7.55","103.794"
"23","1992","Belgium","Oct","BEL","8.035","94.9593"
"24","1992","Belgium","Sep","BEL","14.4866","48.8116"
"25","1993","Belgium","Apr","BEL","11.1792","48.34"
"26","1993","Belgium","Aug","BEL","16.3378","34.749"
"27","1993","Belgium","Dec","BEL","5.10002","191.497"
"28","1993","Belgium","Feb","BEL","1.68","26.5342"
"29","1993","Belgium","Jan","BEL","4.91641","97.8052"
"30","1993","Belgium","Jul","BEL","16.8468","118.34"
"31","1993","Belgium","Jun","BEL","16.609","57.8767"
"32","1993","Belgium","Mar","BEL","6.07329","8.55653"
"33","1993","Belgium","May","BEL","14.4329","76.3599"
"34","1993","Belgium","Nov","BEL","2.45555","49.7856"
"35","1993","Belgium","Oct","BEL","9.16818","90.4942"
"36","1993","Belgium","Sep","BEL","13.4176","130.784"
"37","1994","Belgium","Apr","BEL","8.51236","66.8386"
"38","1994","Belgium","Aug","BEL","18.2948","67.726"
"39","1994","Belgium","Dec","BEL","5.58834","107.693"
"40","1994","Belgium","Feb","BEL","2.42553","41.4704"
"41","1994","Belgium","Jan","BEL","4.63244","100.628"
"42","1994","Belgium","Jul","BEL","21.4486","48.7663"
"43","1994","Belgium","Jun","BEL","16.1968","55.9798"
"44","1994","Belgium","Mar","BEL","7.78347","85.0352"
"45","1994","Belgium","May","BEL","12.7307","79.476"
"46","1994","Belgium","Nov","BEL","9.85992","45.0552"
"47","1994","Belgium","Oct","BEL","9.90033","76.4668"
