"","Year","Country","Month","ISO3","Temperature - (Celsius)","Rainfall - (MM)"
"1","1991","Cyprus","Apr","CYP","17.5513","25.512"
"2","1991","Cyprus","Aug","CYP","26.9378","0.33991"
"3","1991","Cyprus","Dec","CYP","10.3878","246.957"
"4","1991","Cyprus","Feb","CYP","10.0697","69.7973"
"5","1991","Cyprus","Jan","CYP","10.5054","78.3702"
"6","1991","Cyprus","Jul","CYP","26.6552","0.66254"
"7","1991","Cyprus","Jun","CYP","23.7504","0.25764"
"8","1991","Cyprus","Mar","CYP","14.5646","51.8252"
"9","1991","Cyprus","May","CYP","19.3912","9.79153"
"10","1991","Cyprus","Nov","CYP","16.3479","77.6805"
"11","1991","Cyprus","Oct","CYP","22.6213","24.3628"
"12","1991","Cyprus","Sep","CYP","25.3231","0.34548"
"13","1992","Cyprus","Apr","CYP","16.0671","10.4842"
"14","1992","Cyprus","Aug","CYP","28.0369","7.28435"
"15","1992","Cyprus","Dec","CYP","9.08786","107.826"
"16","1992","Cyprus","Feb","CYP","7.19042","80.8648"
"17","1992","Cyprus","Jan","CYP","7.98508","25.4557"
"18","1992","Cyprus","Jul","CYP","25.8431","7.98642"
"19","1992","Cyprus","Jun","CYP","23.7257","13.968"
"20","1992","Cyprus","Mar","CYP","11.1397","28.3784"
"21","1992","Cyprus","May","CYP","19.9453","39.8105"
"22","1992","Cyprus","Nov","CYP","15.988","90.8016"
"23","1992","Cyprus","Oct","CYP","22.5625","1.3643"
"24","1992","Cyprus","Sep","CYP","24.1465","5.05175"
"25","1993","Cyprus","Apr","CYP","17.2426","13.2654"
"26","1993","Cyprus","Aug","CYP","28.0819","0.02602"
"27","1993","Cyprus","Dec","CYP","12.5055","18.083"
"28","1993","Cyprus","Feb","CYP","9.06163","60.6939"
"29","1993","Cyprus","Jan","CYP","9.19447","86.4799"
"30","1993","Cyprus","Jul","CYP","27.6429","0"
"31","1993","Cyprus","Jun","CYP","25.8088","31.166"
"32","1993","Cyprus","Mar","CYP","13.0316","73.7791"
"33","1993","Cyprus","May","CYP","18.9672","28.0551"
"34","1993","Cyprus","Nov","CYP","14.0307","41.8464"
"35","1993","Cyprus","Oct","CYP","22.918","12.5076"
"36","1993","Cyprus","Sep","CYP","24.7262","0.00047"
"37","1994","Cyprus","Apr","CYP","18.9309","11.2042"
"38","1994","Cyprus","Aug","CYP","28.042","0.23987"
"39","1994","Cyprus","Dec","CYP","9.93735","65.5471"
"40","1994","Cyprus","Feb","CYP","10.975","76.9348"
"41","1994","Cyprus","Jan","CYP","13.0294","162.313"
"42","1994","Cyprus","Jul","CYP","26.9961","0.28311"
"43","1994","Cyprus","Jun","CYP","24.6801","0.13288"
"44","1994","Cyprus","Mar","CYP","12.8853","56.4751"
"45","1994","Cyprus","May","CYP","21.788","10.1849"
"46","1994","Cyprus","Nov","CYP","15.9944","157.448"
"47","1994","Cyprus","Oct","CYP","23.7206","41.9219"
"48","1994","Cyprus","Sep","CYP","27.4937","10.0189"
"49","1995","Cyprus","Apr","CYP","15.7481","21.5731"
"50","1995","Cyprus","Aug","CYP","28.1555","0.08507"
"51","1995","Cyprus","Dec","CYP","11.8758","20.3033"
"52","1995","Cyprus","Feb","CYP","12.0134","42.4799"
"53","1995","Cyprus","Jan","CYP","11.4284","52.548"
"54","1995","Cyprus","Jul","CYP","27.213","3.65631"
"55","1995","Cyprus","Jun","CYP","25.8205","0.37875"
"56","1995","Cyprus","Mar","CYP","13.3726","32.4934"
