"","Year","Country","Month","ISO3","Temperature - (Celsius)","Rainfall - (MM)"
"1","1991","Czech Republic","Apr","CZE","7.07617","31.519"
"2","1991","Czech Republic","Aug","CZE","18.0169","67.8343"
"3","1991","Czech Republic","Dec","CZE","-1.9581","61.614"
"4","1991","Czech Republic","Feb","CZE","-4.1646","17.022"
"5","1991","Czech Republic","Jan","CZE","-0.3981","14.8423"
"6","1991","Czech Republic","Jul","CZE","19.1373","79.0128"
"7","1991","Czech Republic","Jun","CZE","14.6123","94.2175"
"8","1991","Czech Republic","Mar","CZE","5.65306","26.1829"
"9","1991","Czech Republic","May","CZE","9.38974","77.3592"
"10","1991","Czech Republic","Nov","CZE","2.95892","68.3379"
"11","1991","Czech Republic","Oct","CZE","7.74952","17.3931"
"12","1991","Czech Republic","Sep","CZE","15.0849","32.1142"
"13","1992","Czech Republic","Apr","CZE","8.05084","35.4179"
"14","1992","Czech Republic","Aug","CZE","20.7437","54.5894"
"15","1992","Czech Republic","Dec","CZE","-1.0108","46.6232"
"16","1992","Czech Republic","Feb","CZE","1.16548","35.55"
"17","1992","Czech Republic","Jan","CZE","-0.2794","29.4031"
"18","1992","Czech Republic","Jul","CZE","19.2281","67.869"
"19","1992","Czech Republic","Jun","CZE","17.4417","77.1871"
"20","1992","Czech Republic","Mar","CZE","3.96855","73.9482"
"21","1992","Czech Republic","May","CZE","13.8007","20.92"
"22","1992","Czech Republic","Nov","CZE","3.82718","49.844"
"23","1992","Czech Republic","Oct","CZE","6.91435","64.1122"
"24","1992","Czech Republic","Sep","CZE","13.9761","43.9189"
"25","1993","Czech Republic","Apr","CZE","9.59851","17.9613"
"26","1993","Czech Republic","Aug","CZE","17.2871","62.4388"
"27","1993","Czech Republic","Dec","CZE","1.51795","75.5551"
"28","1993","Czech Republic","Feb","CZE","-2.2127","29.3197"
"29","1993","Czech Republic","Jan","CZE","0.00793","38.5139"
"30","1993","Czech Republic","Jul","CZE","16.5346","102.689"
"31","1993","Czech Republic","Jun","CZE","15.8515","85.8896"
"32","1993","Czech Republic","Mar","CZE","2.33179","29.488"
"33","1993","Czech Republic","May","CZE","15.3986","44.541"
"34","1993","Czech Republic","Nov","CZE","-0.1742","39.3919"
"35","1993","Czech Republic","Oct","CZE","8.60723","56.3729"
"36","1993","Czech Republic","Sep","CZE","12.9698","56.5747"
"37","1994","Czech Republic","Apr","CZE","8.23645","74.3965"
"38","1994","Czech Republic","Aug","CZE","18.9713","83.8155"
"39","1994","Czech Republic","Dec","CZE","1.12766","52.5021"
"40","1994","Czech Republic","Feb","CZE","-1.0718","18.331"
"41","1994","Czech Republic","Jan","CZE","1.73849","37.0261"
"42","1994","Czech Republic","Jul","CZE","21.3691","43.6116"
