Rainfall - (MM), Year, Month, Country, ISO3
55.856, 1991, Jan, France, FRA
37.6039, 1991, Feb, France, FRA
76.209, 1991, Mar, France, FRA
50.321, 1991, Apr, France, FRA
36.3691, 1991, May, France, FRA
69.6719, 1991, Jun, France, FRA
56.495, 1991, Jul, France, FRA
25.3255, 1991, Aug, France, FRA
97.2219, 1991, Sep, France, FRA
77.1235, 1991, Oct, France, FRA
92.0291, 1991, Nov, France, FRA
35.3224, 1991, Dec, France, FRA
28.5376, 1992, Jan, France, FRA
34.0157, 1992, Feb, France, FRA
59.3621, 1992, Mar, France, FRA
55.2602, 1992, Apr, France, FRA
64.2209, 1992, May, France, FRA
109.801, 1992, Jun, France, FRA
67.431, 1992, Jul, France, FRA
89.5658, 1992, Aug, France, FRA
69.1763, 1992, Sep, France, FRA
123.215, 1992, Oct, France, FRA
103.178, 1992, Nov, France, FRA
70.8559, 1992, Dec, France, FRA
42.6855, 1993, Jan, France, FRA
17.3965, 1993, Feb, France, FRA
20.345, 1993, Mar, France, FRA
104.995, 1993, Apr, France, FRA
77.9192, 1993, May, France, FRA
86.6152, 1993, Jun, France, FRA
63.3686, 1993, Jul, France, FRA
41.641, 1993, Aug, France, FRA
157.384, 1993, Sep, France, FRA
119.675, 1993, Oct, France, FRA
44.7586, 1993, Nov, France, FRA
114.768, 1993, Dec, France, FRA
105.368, 1994, Jan, France, FRA
85.8265, 1994, Feb, France, FRA
34.522, 1994, Mar, France, FRA
88.54, 1994, Apr, France, FRA
92.7677, 1994, May, France, FRA
61.2597, 1994, Jun, France, FRA
51.1653, 1994, Jul, France, FRA
58.1945, 1994, Aug, France, FRA
148.012, 1994, Sep, France, FRA
81.5849, 1994, Oct, France, FRA
74.8861, 1994, Nov, France, FRA
73.4066, 1994, Dec, France, FRA
119.087, 1995, Jan, France, FRA
91.8989, 1995, Feb, France, FRA
71.8115, 1995, Mar, France, FRA
65.1319, 1995, Apr, France, FRA
83.6108, 1995, May, France, FRA
28.9311, 1995, Jun, France, FRA
55.1727, 1995, Jul, France, FRA
48.525, 1995, Aug, France, FRA
107.371, 1995, Sep, France, FRA
43.0465, 1995, Oct, France, FRA
59.4605, 1995, Nov, France, FRA
99.9073, 1995, Dec, France, FRA
81.9973, 1996, Jan, France, FRA
72.8591, 1996, Feb, France, FRA
37.0307, 1996, Mar, France, FRA
40.6357, 1996, Apr, France, FRA
83.6875, 1996, May, France, FRA
39.1187, 1996, Jun, France, FRA
62.2532, 1996, Jul, France, FRA
80.299, 1996, Aug, France, FRA
55.4159, 1996, Sep, France, FRA
55.2818, 1996, Oct, France, FRA
158.744, 1996, Nov, France, FRA
81.138, 1996, Dec, France, FRA
56.6295, 1997, Jan, France, FRA
62.0508, 1997, Feb, France, FRA
11.7778, 1997, Mar, France, FRA
25.7382, 1997, Apr, France, FRA
87.4732, 1997, May, France, FRA
126.183, 1997, Jun, France, FRA
54.5362, 1997, Jul, France, FRA
77.3294, 1997, Aug, France, FRA
23.173, 1997, Sep, France, FRA
55.1717, 1997, Oct, France, FRA
113.912, 1997, Nov, France, FRA
99.0871, 1997, Dec, France, FRA
82.9989, 1998, Jan, France, FRA
18.1291, 1998, Feb, France, FRA
33.9601, 1998, Mar, France, FRA
144.53, 1998, Apr, France, FRA
49.7803, 1998, May, France, FRA
55.4818, 1998, Jun, France, FRA
44.1814, 1998, Jul, France, FRA
35.2551, 1998, Aug, France, FRA
117.924, 1998, Sep, France, FRA
108.646, 1998, Oct, France, FRA
55.955, 1998, Nov, France, FRA
65.399, 1998, Dec, France, FRA
84.9245, 1999, Jan, France, FRA
62.339, 1999, Feb, France, FRA
63.089, 1999, Mar, France, FRA
85.2084, 1999, Apr, France, FRA
81.9647, 1999, May, France, FRA
58.9442, 1999, Jun, France, FRA
56.6183, 1999, Jul, France, FRA
73.5501, 1999, Aug, France, FRA
122.186, 1999, Sep, France, FRA
90.1811, 1999, Oct, France, FRA
76.3416, 1999, Nov, France, FRA
132.722, 1999, Dec, France, FRA
23.8885, 2000, Jan, France, FRA
68.289, 2000, Feb, France, FRA
45.7922, 2000, Mar, France, FRA
100.744, 2000, Apr, France, FRA
79.4951, 2000, May, France, FRA
56.6932, 2000, Jun, France, FRA
102.381, 2000, Jul, France, FRA
54.0106, 2000, Aug, France, FRA
68.405, 2000, Sep, France, FRA
129.85, 2000, Oct, France, FRA
140.279, 2000, Nov, France, FRA
86.4602, 2000, Dec, France, FRA
102.37, 2001, Jan, France, FRA
45.4411, 2001, Feb, France, FRA
138.153, 2001, Mar, France, FRA
93.2941, 2001, Apr, France, FRA
60.567, 2001, May, France, FRA
47.1829, 2001, Jun, France, FRA
100.933, 2001, Jul, France, FRA
57.9225, 2001, Aug, France, FRA
74.7067, 2001, Sep, France, FRA
85.5609, 2001, Oct, France, FRA
54.4008, 2001, Nov, France, FRA
37.3755, 2001, Dec, France, FRA
38.8329, 2002, Jan, France, FRA
84.8897, 2002, Feb, France, FRA
50.2182, 2002, Mar, France, FRA
37.417, 2002, Apr, France, FRA
106.939, 2002, May, France, FRA
64.9043, 2002, Jun, France, FRA
72.0217, 2002, Jul, France, FRA
92.5564, 2002, Aug, France, FRA
62.2645, 2002, Sep, France, FRA
93.6351, 2002, Oct, France, FRA
145.107, 2002, Nov, France, FRA
91.0155, 2002, Dec, France, FRA
77.0904, 2003, Jan, France, FRA
41.5359, 2003, Feb, France, FRA
28.5818, 2003, Mar, France, FRA
49.968, 2003, Apr, France, FRA
61.4901, 2003, May, France, FRA
46.8612, 2003, Jun, France, FRA
48.3668, 2003, Jul, France, FRA
41.0958, 2003, Aug, France, FRA
51.6961, 2003, Sep, France, FRA
105.836, 2003, Oct, France, FRA
83.2599, 2003, Nov, France, FRA
81.7469, 2003, Dec, France, FRA
119.796, 2004, Jan, France, FRA
36.1976, 2004, Feb, France, FRA
48.167, 2004, Mar, France, FRA
69.7175, 2004, Apr, France, FRA
54.3706, 2004, May, France, FRA
30.0823, 2004, Jun, France, FRA
56.3269, 2004, Jul, France, FRA
109.928, 2004, Aug, France, FRA
30.6159, 2004, Sep, France, FRA
124.534, 2004, Oct, France, FRA
44.2436, 2004, Nov, France, FRA
63.8482, 2004, Dec, France, FRA
41.4968, 2005, Jan, France, FRA
36.7973, 2005, Feb, France, FRA
40.0597, 2005, Mar, France, FRA
90.8379, 2005, Apr, France, FRA
62.5767, 2005, May, France, FRA
43.9428, 2005, Jun, France, FRA
52.5571, 2005, Jul, France, FRA
42.794, 2005, Aug, France, FRA
60.7114, 2005, Sep, France, FRA
73.4677, 2005, Oct, France, FRA
69.8714, 2005, Nov, France, FRA
58.8872, 2005, Dec, France, FRA
49.996, 2006, Jan, France, FRA
54.6431, 2006, Feb, France, FRA
107.285, 2006, Mar, France, FRA
45.0111, 2006, Apr, France, FRA
79.3294, 2006, May, France, FRA
33.91, 2006, Jun, France, FRA
58.8252, 2006, Jul, France, FRA
85.4838, 2006, Aug, France, FRA
88.2271, 2006, Sep, France, FRA
81.8893, 2006, Oct, France, FRA
67.3187, 2006, Nov, France, FRA
68.5356, 2006, Dec, France, FRA
55.2612, 2007, Jan, France, FRA
84.3801, 2007, Feb, France, FRA
71.6069, 2007, Mar, France, FRA
34.1579, 2007, Apr, France, FRA
121.299, 2007, May, France, FRA
98.0597, 2007, Jun, France, FRA
81.9787, 2007, Jul, France, FRA
90.0395, 2007, Aug, France, FRA
43.2951, 2007, Sep, France, FRA
38.2204, 2007, Oct, France, FRA
57.4731, 2007, Nov, France, FRA
60.8331, 2007, Dec, France, FRA
80.6551, 2008, Jan, France, FRA
36.4331, 2008, Feb, France, FRA
82.8672, 2008, Mar, France, FRA
92.1459, 2008, Apr, France, FRA
105.785, 2008, May, France, FRA
63.9193, 2008, Jun, France, FRA
66.3293, 2008, Jul, France, FRA
75.8361, 2008, Aug, France, FRA
71.5124, 2008, Sep, France, FRA
96.3819, 2008, Oct, France, FRA
87.9717, 2008, Nov, France, FRA
73.7373, 2008, Dec, France, FRA
71.5613, 2009, Jan, France, FRA
53.9887, 2009, Feb, France, FRA
44.6546, 2009, Mar, France, FRA
84.8981, 2009, Apr, France, FRA
56.2537, 2009, May, France, FRA
75.7315, 2009, Jun, France, FRA
60.0363, 2009, Jul, France, FRA
36.2606, 2009, Aug, France, FRA
47.6264, 2009, Sep, France, FRA
53.806, 2009, Oct, France, FRA
109.689, 2009, Nov, France, FRA
103.608, 2009, Dec, France, FRA
60.0113, 2010, Jan, France, FRA
73.9496, 2010, Feb, France, FRA
63.2978, 2010, Mar, France, FRA
30.7474, 2010, Apr, France, FRA
78.0232, 2010, May, France, FRA
83.6204, 2010, Jun, France, FRA
45.0797, 2010, Jul, France, FRA
65.7436, 2010, Aug, France, FRA
68.2517, 2010, Sep, France, FRA
77.3454, 2010, Oct, France, FRA
102.21, 2010, Nov, France, FRA
85.5314, 2010, Dec, France, FRA
49.848, 2011, Jan, France, FRA
41.3523, 2011, Feb, France, FRA
49.717, 2011, Mar, France, FRA
20.5333, 2011, Apr, France, FRA
34.4148, 2011, May, France, FRA
70.4635, 2011, Jun, France, FRA
93.6293, 2011, Jul, France, FRA
75.4671, 2011, Aug, France, FRA
44.9747, 2011, Sep, France, FRA
