"","Year","Country","Month","ISO3","Temperature - (Celsius)","Rainfall - (MM)"
"1","1991","Jordan","Apr","JOR","19.5134","3.65458"
"2","1991","Jordan","Aug","JOR","26.6572","0"
"3","1991","Jordan","Dec","JOR","8.36777","38.9886"
"4","1991","Jordan","Feb","JOR","10.1898","13.724"
"5","1991","Jordan","Jan","JOR","8.54628","35.4964"
"6","1991","Jordan","Jul","JOR","26.6149","0.83976"
"7","1991","Jordan","Jun","JOR","25.7096","0"
"8","1991","Jordan","Mar","JOR","14.6839","43.0325"
"9","1991","Jordan","May","JOR","22.0718","1.01252"
"10","1991","Jordan","Nov","JOR","15.6545","12.1996"
"11","1991","Jordan","Oct","JOR","21.8506","3.27311"
"12","1991","Jordan","Sep","JOR","25.0303","0.25415"
"13","1992","Jordan","Apr","JOR","17.0674","1.90903"
"14","1992","Jordan","Aug","JOR","27.5165","0.00431"
"15","1992","Jordan","Dec","JOR","8.16133","31.03"
"16","1992","Jordan","Feb","JOR","7.41498","39.6341"
"17","1992","Jordan","Jan","JOR","6.07117","32.9043"
"18","1992","Jordan","Jul","JOR","26.2025","0.59946"
"19","1992","Jordan","Jun","JOR","25.1512","4.34903"
"20","1992","Jordan","Mar","JOR","11.3265","8.7311"
"21","1992","Jordan","May","JOR","21.3809","7.31418"
"22","1992","Jordan","Nov","JOR","14.6706","11.3869"
"23","1992","Jordan","Oct","JOR","22.0909","0.095"
"24","1992","Jordan","Sep","JOR","24.7561","0.02381"
"25","1993","Jordan","Apr","JOR","18.2961","4.30369"
"26","1993","Jordan","Aug","JOR","28.1031","0.00348"
"27","1993","Jordan","Dec","JOR","11.427","21.9362"
"28","1993","Jordan","Feb","JOR","7.92091","17.9323"
"29","1993","Jordan","Jan","JOR","7.14538","19.1064"
"30","1993","Jordan","Jul","JOR","27.3935","0.59501"
"31","1993","Jordan","Jun","JOR","26.0307","0.04023"
"32","1993","Jordan","Mar","JOR","12.6338","8.92125"
"33","1993","Jordan","May","JOR","21.3276","10.1514"
"34","1993","Jordan","Nov","JOR","14.6188","5.81291"
"35","1993","Jordan","Oct","JOR","22.8705","8.16613"
"36","1993","Jordan","Sep","JOR","25.425","0"
"37","1994","Jordan","Apr","JOR","20.4584","1.26224"
"38","1994","Jordan","Aug","JOR","27.3911","0"
"39","1994","Jordan","Dec","JOR","8.11077","25.6517"
"40","1994","Jordan","Feb","JOR","10.3352","17.2996"
"41","1994","Jordan","Jan","JOR","10.6907","35.731"
"42","1994","Jordan","Jul","JOR","26.9302","0.56055"
"43","1994","Jordan","Jun","JOR","25.4927","0.0148"
"44","1994","Jordan","Mar","JOR","13.222","19.5817"
"45","1994","Jordan","May","JOR","23.4933","1.26099"
"46","1994","Jordan","Nov","JOR","14.0808","41.6014"
"47","1994","Jordan","Oct","JOR","23.7394","9.08252"
"48","1994","Jordan","Sep","JOR","27.0118","0.01836"
"49","1995","Jordan","Apr","JOR","17.2321","7.16324"
"50","1995","Jordan","Aug","JOR","27.9141","0"
"51","1995","Jordan","Dec","JOR","9.9258","8.47469"
"52","1995","Jordan","Feb","JOR","10.5799","25.1015"
"53","1995","Jordan","Jan","JOR","9.39522","2.7602"
"54","1995","Jordan","Jul","JOR","27.4992","1.02153"
"55","1995","Jordan","Jun","JOR","26.7857","0.02529"
"56","1995","Jordan","Mar","JOR","13.8311","10.8772"
"57","1995","Jordan","May","JOR","23.0491","1.34223"
"58","1995","Jordan","Nov","JOR","13.5888","10.1085"
"59","1995","Jordan","Oct","JOR","20.9391","0.25691"
"60","1995","Jordan","Sep","JOR","25.9044","0.01128"
"61","1996","Jordan","Apr","JOR","17.1395","3.65975"
"62","1996","Jordan","Aug","JOR","28.2389","0"
"63","1996","Jordan","Dec","JOR","12.3065","11.9587"
"64","1996","Jordan","Feb","JOR","11.5697","10.545"
"65","1996","Jordan","Jan","JOR","9.43521","32.2223"
"66","1996","Jordan","Jul","JOR","28.9047","0.56273"
"67","1996","Jordan","Jun","JOR","25.7712","8.0E-5"
"68","1996","Jordan","Mar","JOR","12.923","24.9709"
"69","1996","Jordan","May","JOR","24.2997","0.70741"
"70","1996","Jordan","Nov","JOR","16.0138","13.3321"
"71","1996","Jordan","Oct","JOR","20.5393","3.54044"
"72","1996","Jordan","Sep","JOR","26.0835","0.01126"
"73","1997","Jordan","Apr","JOR","16.6418","3.45879"
"74","1997","Jordan","Aug","JOR","26.3325","0.00509"
"75","1997","Jordan","Dec","JOR","11.2109","16.1175"
"76","1997","Jordan","Feb","JOR","7.99327","24.7957"
"77","1997","Jordan","Jan","JOR","9.88774","29.4082"
"78","1997","Jordan","Jul","JOR","27.8802","0.54886"
"79","1997","Jordan","Jun","JOR","26.1086","1.41045"
"80","1997","Jordan","Mar","JOR","11.1777","22.3176"
"81","1997","Jordan","May","JOR","23.6226","4.47808"
"82","1997","Jordan","Nov","JOR","15.7116","12.167"
"83","1997","Jordan","Oct","JOR","21.5812","9.92004"
"84","1997","Jordan","Sep","JOR","24.7272","0.11284"
"85","1998","Jordan","Apr","JOR","19.6579","3.44037"
"86","1998","Jordan","Aug","JOR","29.932","1.32959"
"87","1998","Jordan","Dec","JOR","12.2458","4.50039"
"88","1998","Jordan","Feb","JOR","10.8302","18.8365"
"89","1998","Jordan","Jan","JOR","9.00798","24.2477"
"90","1998","Jordan","Jul","JOR","28.7338","0.54886"
"91","1998","Jordan","Jun","JOR","26.3769","0.00349"
"92","1998","Jordan","Mar","JOR","12.5465","27.6222"
"93","1998","Jordan","May","JOR","23.2396","5.59206"
"94","1998","Jordan","Nov","JOR","17.8211","0.83333"
"95","1998","Jordan","Oct","JOR","22.2543","0.20622"
"96","1998","Jordan","Sep","JOR","26.5716","0.0116"
"97","1999","Jordan","Apr","JOR","18.4214","2.41585"
"98","1999","Jordan","Aug","JOR","28.8845","0"
"99","1999","Jordan","Dec","JOR","11.4097","3.2719"
"100","1999","Jordan","Feb","JOR","11.4462","29.1338"
