Rainfall - (MM), Year, Month, Country, ISO3
44.5593, 1991, Jan, Macau SAR China, MAC
5.38125, 1991, Feb, Macau SAR China, MAC
58.8875, 1991, Mar, Macau SAR China, MAC
58.3968, 1991, Apr, Macau SAR China, MAC
64.4812, 1991, May, Macau SAR China, MAC
468.481, 1991, Jun, Macau SAR China, MAC
279.187, 1991, Jul, Macau SAR China, MAC
299.606, 1991, Aug, Macau SAR China, MAC
127.343, 1991, Sep, Macau SAR China, MAC
182.765, 1991, Oct, Macau SAR China, MAC
5.82812, 1991, Nov, Macau SAR China, MAC
16.0531, 1991, Dec, Macau SAR China, MAC
68.6031, 1992, Jan, Macau SAR China, MAC
171.45, 1992, Feb, Macau SAR China, MAC
244.296, 1992, Mar, Macau SAR China, MAC
415.971, 1992, Apr, Macau SAR China, MAC
409.512, 1992, May, Macau SAR China, MAC
616.512, 1992, Jun, Macau SAR China, MAC
368.378, 1992, Jul, Macau SAR China, MAC
124.584, 1992, Aug, Macau SAR China, MAC
108.118, 1992, Sep, Macau SAR China, MAC
17.2937, 1992, Oct, Macau SAR China, MAC
8.1625, 1992, Nov, Macau SAR China, MAC
78.0468, 1992, Dec, Macau SAR China, MAC
37.3843, 1993, Jan, Macau SAR China, MAC
7.02812, 1993, Feb, Macau SAR China, MAC
76.5718, 1993, Mar, Macau SAR China, MAC
190.74, 1993, Apr, Macau SAR China, MAC
310.034, 1993, May, Macau SAR China, MAC
602.059, 1993, Jun, Macau SAR China, MAC
157.353, 1993, Jul, Macau SAR China, MAC
228.718, 1993, Aug, Macau SAR China, MAC
537.868, 1993, Sep, Macau SAR China, MAC
79.1781, 1993, Oct, Macau SAR China, MAC
171.306, 1993, Nov, Macau SAR China, MAC
12.0718, 1993, Dec, Macau SAR China, MAC
0.525, 1994, Jan, Macau SAR China, MAC
59.9062, 1994, Feb, Macau SAR China, MAC
42.2437, 1994, Mar, Macau SAR China, MAC
76.7281, 1994, Apr, Macau SAR China, MAC
140.103, 1994, May, Macau SAR China, MAC
403.034, 1994, Jun, Macau SAR China, MAC
599.803, 1994, Jul, Macau SAR China, MAC
640.575, 1994, Aug, Macau SAR China, MAC
212.371, 1994, Sep, Macau SAR China, MAC
9.00312, 1994, Oct, Macau SAR China, MAC
0.44062, 1994, Nov, Macau SAR China, MAC
156.959, 1994, Dec, Macau SAR China, MAC
31.8593, 1995, Jan, Macau SAR China, MAC
49.6812, 1995, Feb, Macau SAR China, MAC
81.875, 1995, Mar, Macau SAR China, MAC
81.95, 1995, Apr, Macau SAR China, MAC
96.2093, 1995, May, Macau SAR China, MAC
296.337, 1995, Jun, Macau SAR China, MAC
507.831, 1995, Jul, Macau SAR China, MAC
469.603, 1995, Aug, Macau SAR China, MAC
88.55, 1995, Sep, Macau SAR China, MAC
379.64, 1995, Oct, Macau SAR China, MAC
4.76875, 1995, Nov, Macau SAR China, MAC
10.8062, 1995, Dec, Macau SAR China, MAC
2.47812, 1996, Jan, Macau SAR China, MAC
36.8656, 1996, Feb, Macau SAR China, MAC
118.137, 1996, Mar, Macau SAR China, MAC
174.553, 1996, Apr, Macau SAR China, MAC
302.125, 1996, May, Macau SAR China, MAC
345.415, 1996, Jun, Macau SAR China, MAC
290.571, 1996, Jul, Macau SAR China, MAC
