"","Year","Country","Month","ISO3","Temperature - (Celsius)","Rainfall - (MM)"
"1","1991","North Korea","Apr","NOR","0.3441","42.911"
"2","1991","North Korea","Aug","NOR","11.764","77.7469"
"3","1991","North Korea","Dec","NOR","-3.2405","130.227"
"4","1991","North Korea","Feb","NOR","-9.7242","36.6582"
"5","1991","North Korea","Jan","NOR","-6.1589","99.0822"
"6","1991","North Korea","Jul","NOR","12.8303","61.3384"
"7","1991","North Korea","Jun","NOR","8.30994","98.9771"
"8","1991","North Korea","Mar","NOR","-3.9381","73.4235"
"9","1991","North Korea","May","NOR","3.78542","54.1112"
"10","1991","North Korea","Nov","NOR","-2.2634","132.026"
"11","1991","North Korea","Oct","NOR","1.65418","91.9933"
"12","1991","North Korea","Sep","NOR","6.01173","133.977"
"13","1992","North Korea","Apr","NOR","-1.8663","51.3177"
"14","1992","North Korea","Aug","NOR","9.70133","125.854"
"15","1992","North Korea","Dec","NOR","-3.3454","140.761"
"16","1992","North Korea","Feb","NOR","-4.3122","98.4175"
"17","1992","North Korea","Jan","NOR","-3.9194","158.613"
"18","1992","North Korea","Jul","NOR","10.9116","118.33"
"19","1992","North Korea","Jun","NOR","11.6911","52.8772"
"20","1992","North Korea","Mar","NOR","-2.493","94.0058"
"21","1992","North Korea","May","NOR","6.53532","67.2935"
"22","1992","North Korea","Nov","NOR","-4.4312","125.304"
"23","1992","North Korea","Oct","NOR","-2.4576","70.6639"
"24","1992","North Korea","Sep","NOR","7.63248","96.6907"
"25","1993","North Korea","Apr","NOR","-0.158","34.4543"
"26","1993","North Korea","Aug","NOR","9.71271","109.568"
"27","1993","North Korea","Dec","NOR","-7.9001","119.637"
"28","1993","North Korea","Feb","NOR","-5.2783","91.5331"
"29","1993","North Korea","Jan","NOR","-5.3507","119.62"
"30","1993","North Korea","Jul","NOR","11.5553","109.487"
"31","1993","North Korea","Jun","NOR","7.41232","64.4045"
"32","1993","North Korea","Mar","NOR","-4.3316","76.2286"
"33","1993","North Korea","May","NOR","5.81237","62.1239"
"34","1993","North Korea","Nov","NOR","-3.95","36.6456"
"35","1993","North Korea","Oct","NOR","-0.2827","124.119"
"36","1993","North Korea","Sep","NOR","4.91258","48.3361"
"37","1994","North Korea","Apr","NOR","0.79482","56.9088"
"38","1994","North Korea","Aug","NOR","11.3585","92.2119"
"39","1994","North Korea","Dec","NOR","-3.3111","124.551"
"40","1994","North Korea","Feb","NOR","-11.123","32.9067"
"41","1994","North Korea","Jan","NOR","-10.238","123.103"
"42","1994","North Korea","Jul","NOR","13.4902","47.7611"
"43","1994","North Korea","Jun","NOR","7.94202","99.0849"
"44","1994","North Korea","Mar","NOR","-4.9158","84.0114"
"45","1994","North Korea","May","NOR","4.16585","31.0155"
"46","1994","North Korea","Nov","NOR","-2.7559","97.0597"
"47","1994","North Korea","Oct","NOR","0.64961","105.469"
"48","1994","North Korea","Sep","NOR","6.18533","97.3507"
"49","1995","North Korea","Apr","NOR","-1.5282","65.7265"
"50","1995","North Korea","Aug","NOR","10.73","87.1833"
"51","1995","North Korea","Dec","NOR","-9.3832","63.0463"
"52","1995","North Korea","Feb","NOR","-5.6067","115.199"
"53","1995","North Korea","Jan","NOR","-6.5001","107.112"
"54","1995","North Korea","Jul","NOR","11.1213","86.7342"
"55","1995","North Korea","Jun","NOR","9.50511","92.7025"
"56","1995","North Korea","Mar","NOR","-3.504","99.2868"
"57","1995","North Korea","May","NOR","3.8839","64.5661"
"58","1995","North Korea","Nov","NOR","-5.13","99.6229"
"59","1995","North Korea","Oct","NOR","2.72312","163.206"
"60","1995","North Korea","Sep","NOR","6.97048","73.676"
"61","1996","North Korea","Apr","NOR","-0.6505","49.1746"
"62","1996","North Korea","Aug","NOR","13.063","83.606"
"63","1996","North Korea","Dec","NOR","-8.2277","94.3536"
"64","1996","North Korea","Feb","NOR","-10.585","57.1152"
"65","1996","North Korea","Jan","NOR","-7.4603","30.4031"
"66","1996","North Korea","Jul","NOR","10.7671","70.0606"
"67","1996","North Korea","Jun","NOR","8.69136","83.2846"
"68","1996","North Korea","Mar","NOR","-4.981","28.0346"
"69","1996","North Korea","May","NOR","2.86759","53.5805"
"70","1996","North Korea","Nov","NOR","-5.2148","135.623"
"71","1996","North Korea","Oct","NOR","2.86372","148.388"
"72","1996","North Korea","Sep","NOR","6.07944","62.4894"
"73","1997","North Korea","Apr","NOR","-2.5383","69.0771"
"74","1997","North Korea","Aug","NOR","13.5208","78.1351"
"75","1997","North Korea","Dec","NOR","-5.2925","86.2032"
"76","1997","North Korea","Feb","NOR","-6.3844","121.886"
"77","1997","North Korea","Jan","NOR","-6.9751","113.162"
"78","1997","North Korea","Jul","NOR","13.9135","55.4531"
"79","1997","North Korea","Jun","NOR","10.5025","48.115"
"80","1997","North Korea","Mar","NOR","-3.8764","108.219"
"81","1997","North Korea","May","NOR","3.62131","60.4985"
"82","1997","North Korea","Nov","NOR","-3.602","63.2314"
"83","1997","North Korea","Oct","NOR","0.44559","105.94"
"84","1997","North Korea","Sep","NOR","7.91827","126.591"
"85","1998","North Korea","Apr","NOR","-1.4942","51.6911"
"86","1998","North Korea","Aug","NOR","10.0756","119.272"
"87","1998","North Korea","Dec","NOR","-5.7206","100.622"
"88","1998","North Korea","Feb","NOR","-6.9745","129.593"
"89","1998","North Korea","Jan","NOR","-6.3963","102.598"
"90","1998","North Korea","Jul","NOR","12.0223","100.719"
"91","1998","North Korea","Jun","NOR","8.71601","99.6745"
"92","1998","North Korea","Mar","NOR","-5.7476","81.6975"
"93","1998","North Korea","May","NOR","5.03012","49.0683"
"94","1998","North Korea","Nov","NOR","-5.8762","55.5027"
"95","1998","North Korea","Oct","NOR","1.09322","152.534"
"96","1998","North Korea","Sep","NOR","7.62734","88.0512"
"97","1999","North Korea","Apr","NOR","0.63615","74.6373"
"98","1999","North Korea","Aug","NOR","10.0971","83.1687"
"99","1999","North Korea","Dec","NOR","-8.1777","127.093"
"100","1999","North Korea","Feb","NOR","-8.0526","95.0586"
"101","1999","North Korea","Jan","NOR","-8.6798","102.395"
"102","1999","North Korea","Jul","NOR","12.0363","107.257"
"103","1999","North Korea","Jun","NOR","10.1764","110.585"
"104","1999","North Korea","Mar","NOR","-4.2458","95.8296"
"105","1999","North Korea","May","NOR","3.95591","50.1582"
"106","1999","North Korea","Nov","NOR","0.23623","122.103"
"107","1999","North Korea","Oct","NOR","2.39263","125.605"
"108","1999","North Korea","Sep","NOR","9.46178","102.48"
"109","2000","North Korea","Apr","NOR","0.34192","80.6866"
"110","2000","North Korea","Aug","NOR","10.4022","116.434"
"111","2000","North Korea","Dec","NOR","-5.1517","108.17"
"112","2000","North Korea","Feb","NOR","-5.8257","107.32"
"113","2000","North Korea","Jan","NOR","-5.3581","137.181"
"114","2000","North Korea","Jul","NOR","11.646","87.4065"
"115","2000","North Korea","Jun","NOR","8.43897","100.831"
"116","2000","North Korea","Mar","NOR","-4.3323","93.6375"
"117","2000","North Korea","May","NOR","6.17071","81.4987"
"118","2000","North Korea","Nov","NOR","0.10985","109.778"
"119","2000","North Korea","Oct","NOR","4.81613","131.974"
"120","2000","North Korea","Sep","NOR","7.40264","63.3198"
"121","2001","North Korea","Apr","NOR","-1.0027","79.1163"
"122","2001","North Korea","Aug","NOR","11.0057","131.965"
"123","2001","North Korea","Dec","NOR","-7.2789","75.937"
"124","2001","North Korea","Feb","NOR","-10.21","73.5492"
"125","2001","North Korea","Jan","NOR","-5.9804","77.0914"
"126","2001","North Korea","Jul","NOR","12.3007","127.672"
"127","2001","North Korea","Jun","NOR","9.4689","69.9123"
"128","2001","North Korea","Mar","NOR","-7.6201","52.4995"
"129","2001","North Korea","May","NOR","4.57383","61.4864"
"130","2001","North Korea","Nov","NOR","-3.153","106.279"
"131","2001","North Korea","Oct","NOR","3.07409","139.214"
"132","2001","North Korea","Sep","NOR","7.67856","107.627"
