"","Year","Country","Month","ISO3","Temperature - (Celsius)","Rainfall - (MM)"
"1","1991","Panama","Apr","PAN","26.3417","103.354"
"2","1991","Panama","Aug","PAN","25.3885","325.485"
"3","1991","Panama","Dec","PAN","24.465","99.939"
"4","1991","Panama","Feb","PAN","25.2579","44.2759"
"5","1991","Panama","Jan","PAN","24.8503","30.6302"
"6","1991","Panama","Jul","PAN","25.8409","220.628"
"7","1991","Panama","Jun","PAN","25.7965","256.803"
"8","1991","Panama","Mar","PAN","26.2825","39.2193"
"9","1991","Panama","May","PAN","25.9165","373.722"
"10","1991","Panama","Nov","PAN","24.4731","377.169"
"11","1991","Panama","Oct","PAN","24.9985","296.859"
"12","1991","Panama","Sep","PAN","25.2529","265.534"
"13","1992","Panama","Apr","PAN","26.8458","141.213"
"14","1992","Panama","Aug","PAN","25.5266","270.026"
"15","1992","Panama","Dec","PAN","24.6145","129.666"
"16","1992","Panama","Feb","PAN","25.5044","28.8455"
"17","1992","Panama","Jan","PAN","25.006","31.3074"
"18","1992","Panama","Jul","PAN","25.6131","262.485"
"19","1992","Panama","Jun","PAN","25.8591","196.092"
"20","1992","Panama","Mar","PAN","26.3648","30.1291"
"21","1992","Panama","May","PAN","26.398","339.092"
"22","1992","Panama","Nov","PAN","24.556","156.89"
"23","1992","Panama","Oct","PAN","25.1555","342.381"
"24","1992","Panama","Sep","PAN","24.8688","236.468"
"25","1993","Panama","Apr","PAN","26.7128","82.0629"
"26","1993","Panama","Aug","PAN","25.6729","261.074"
"27","1993","Panama","Dec","PAN","25.0378","215.522"
"28","1993","Panama","Feb","PAN","25.2352","29.2824"
"29","1993","Panama","Jan","PAN","24.7264","116.794"
"30","1993","Panama","Jul","PAN","26.15","212.865"
"31","1993","Panama","Jun","PAN","25.8802","264.39"
"32","1993","Panama","Mar","PAN","26.0333","100.08"
"33","1993","Panama","May","PAN","26.006","445.296"
"34","1993","Panama","Nov","PAN","24.6171","233.688"
"35","1993","Panama","Oct","PAN","25.2945","296.668"
"36","1993","Panama","Sep","PAN","24.8063","340.734"
"37","1994","Panama","Apr","PAN","26.2467","84.9033"
"38","1994","Panama","Aug","PAN","25.4226","190.509"
"39","1994","Panama","Dec","PAN","24.8341","190.4"
"40","1994","Panama","Feb","PAN","25.0264","25.1139"
"41","1994","Panama","Jan","PAN","24.6518","28.459"
"42","1994","Panama","Jul","PAN","25.79","264.858"
"43","1994","Panama","Jun","PAN","25.643","134.205"
"44","1994","Panama","Mar","PAN","26.0843","28.9065"
"45","1994","Panama","May","PAN","26.2844","372.26"
"46","1994","Panama","Nov","PAN","24.3704","423.797"
"47","1994","Panama","Oct","PAN","24.9283","399.621"
"48","1994","Panama","Sep","PAN","25.3309","302.314"
"49","1995","Panama","Apr","PAN","26.5968","248.427"
"50","1995","Panama","Aug","PAN","25.0444","290.3"
"51","1995","Panama","Dec","PAN","24.5676","108.906"
"52","1995","Panama","Feb","PAN","25.4725","33.4417"
"53","1995","Panama","Jan","PAN","25.3977","36.0791"
"54","1995","Panama","Jul","PAN","25.7607","320.209"
"55","1995","Panama","Jun","PAN","25.4225","228.842"
"56","1995","Panama","Mar","PAN","26.4375","91.438"
"57","1995","Panama","May","PAN","25.873","320.977"
"58","1995","Panama","Nov","PAN","24.491","326.22"
"59","1995","Panama","Oct","PAN","25.0828","351.076"
"60","1995","Panama","Sep","PAN","25.407","196.395"
"61","1996","Panama","Apr","PAN","26.0161","66.9397"
"62","1996","Panama","Aug","PAN","25.174","226.39"
"63","1996","Panama","Dec","PAN","24.5274","152.336"
"64","1996","Panama","Feb","PAN","25.197","37.3942"
"65","1996","Panama","Jan","PAN","24.7801","139.631"
