"","Year","Country","Month","ISO3","Temperature - (Celsius)","Rainfall - (MM)"
"1","1991","Sweden","Apr","SWE","1.44971","18.4317"
"2","1991","Sweden","Aug","SWE","13.6176","56.728"
"3","1991","Sweden","Dec","SWE","-3.7267","40.6602"
"4","1991","Sweden","Feb","SWE","-10.528","19.3149"
"5","1991","Sweden","Jan","SWE","-6.1249","55.3996"
"6","1991","Sweden","Jul","SWE","14.7212","48.9984"
"7","1991","Sweden","Jun","SWE","9.66628","109.642"
"8","1991","Sweden","Mar","SWE","-3.3184","45.0912"
"9","1991","Sweden","May","SWE","5.12208","43.4998"
"10","1991","Sweden","Nov","SWE","-2.0358","66.5792"
"11","1991","Sweden","Oct","SWE","2.76097","46.5491"
"12","1991","Sweden","Sep","SWE","7.15111","70.6642"
"13","1992","Sweden","Apr","SWE","-0.9634","65.3111"
"14","1992","Sweden","Aug","SWE","11.4387","109.956"
"15","1992","Sweden","Dec","SWE","-3.8075","46.6685"
"16","1992","Sweden","Feb","SWE","-3.9952","36.5694"
"17","1992","Sweden","Jan","SWE","-4.3689","44.4182"
"18","1992","Sweden","Jul","SWE","12.9491","93.8979"
"19","1992","Sweden","Jun","SWE","13.8256","28.4482"
"20","1992","Sweden","Mar","SWE","-1.4821","42.608"
"21","1992","Sweden","May","SWE","8.57368","30.3479"
"22","1992","Sweden","Nov","SWE","-4.4694","86.943"
"23","1992","Sweden","Oct","SWE","-1.8297","53.0053"
"24","1992","Sweden","Sep","SWE","8.34144","51.333"
"25","1993","Sweden","Apr","SWE","1.17548","17.3226"
"26","1993","Sweden","Aug","SWE","10.9921","105.593"
"27","1993","Sweden","Dec","SWE","-8.1055","79.9585"
"28","1993","Sweden","Feb","SWE","-5.2819","33.451"
"29","1993","Sweden","Jan","SWE","-6.0421","56.2139"
"30","1993","Sweden","Jul","SWE","13.2293","122.088"
"31","1993","Sweden","Jun","SWE","9.38112","68.021"
"32","1993","Sweden","Mar","SWE","-3.2283","28.5448"
"33","1993","Sweden","May","SWE","8.18048","42.665"
"34","1993","Sweden","Nov","SWE","-4.1986","25.1135"
"35","1993","Sweden","Oct","SWE","0.83641","71.2858"
"36","1993","Sweden","Sep","SWE","5.6331","36.0309"
"37","1994","Sweden","Apr","SWE","2.21106","31.0045"
"38","1994","Sweden","Aug","SWE","13.2346","59.5963"
"39","1994","Sweden","Dec","SWE","-3.6257","61.3153"
"40","1994","Sweden","Feb","SWE","-12.821","13.3762"
"41","1994","Sweden","Jan","SWE","-10.661","70.088"
"42","1994","Sweden","Jul","SWE","15.9955","24.2018"
"43","1994","Sweden","Jun","SWE","10.1479","68.0097"
"44","1994","Sweden","Mar","SWE","-4.6115","43.7993"
"45","1994","Sweden","May","SWE","5.74836","19.1666"
"46","1994","Sweden","Nov","SWE","-3.174","40.1437"
"47","1994","Sweden","Oct","SWE","1.7321","52.7871"
"48","1994","Sweden","Sep","SWE","7.47303","89.8065"
"49","1995","Sweden","Apr","SWE","-0.1262","50.4196"
"50","1995","Sweden","Aug","SWE","12.7739","54.1738"
"51","1995","Sweden","Dec","SWE","-10.445","18.3703"
"52","1995","Sweden","Feb","SWE","-4.8861","51.0788"
"53","1995","Sweden","Jan","SWE","-7.4558","57.7985"
"54","1995","Sweden","Jul","SWE","12.9997","67.98"
"55","1995","Sweden","Jun","SWE","11.7979","74.1483"
"56","1995","Sweden","Mar","SWE","-2.6024","56.5088"
"57","1995","Sweden","May","SWE","5.3011","60.9398"
"58","1995","Sweden","Nov","SWE","-5.2608","44.7002"
"59","1995","Sweden","Oct","SWE","4.27226","60.5667"
"60","1995","Sweden","Sep","SWE","7.85703","53.7569"
"61","1996","Sweden","Apr","SWE","0.86801","30.4096"
"62","1996","Sweden","Aug","SWE","14.8466","58.59"
"63","1996","Sweden","Dec","SWE","-9.0559","45.6228"
"64","1996","Sweden","Feb","SWE","-11.491","20.9038"
"65","1996","Sweden","Jan","SWE","-8.0826","11.1139"
"66","1996","Sweden","Jul","SWE","12.5711","78.258"
"67","1996","Sweden","Jun","SWE","10.8654","68.0042"
"68","1996","Sweden","Mar","SWE","-4.9037","17.0921"
"69","1996","Sweden","May","SWE","4.63846","55.4386"
"70","1996","Sweden","Nov","SWE","-4.5051","93.8274"
"71","1996","Sweden","Oct","SWE","3.91281","65.7151"
"72","1996","Sweden","Sep","SWE","7.09998","43.2259"
"73","1997","Sweden","Apr","SWE","-1.0731","35.1224"
"74","1997","Sweden","Aug","SWE","15.1309","50.933"
"75","1997","Sweden","Dec","SWE","-6.2591","52.6788"
"76","1997","Sweden","Feb","SWE","-6.2381","55.4341"
"77","1997","Sweden","Jan","SWE","-6.8836","37.0517"
"78","1997","Sweden","Jul","SWE","15.9962","66.946"
"79","1997","Sweden","Jun","SWE","12.761","57.6047"
"80","1997","Sweden","Mar","SWE","-2.9392","39.1057"
"81","1997","Sweden","May","SWE","5.16077","48.7364"
"82","1997","Sweden","Nov","SWE","-4.0421","56.4094"
"83","1997","Sweden","Oct","SWE","1.15873","48.0061"
"84","1997","Sweden","Sep","SWE","9.1902","60.7755"
"85","1998","Sweden","Apr","SWE","-0.4931","37.9425"
"86","1998","Sweden","Aug","SWE","11.2968","109.61"
"87","1998","Sweden","Dec","SWE","-6.8417","50.3901"
"88","1998","Sweden","Feb","SWE","-6.4332","54.3067"
"89","1998","Sweden","Jan","SWE","-6.4121","57.5964"
"90","1998","Sweden","Jul","SWE","13.5392","121.359"
"91","1998","Sweden","Jun","SWE","10.5781","92.7293"
"92","1998","Sweden","Mar","SWE","-5.1941","36.2193"
"93","1998","Sweden","May","SWE","6.50267","43.2709"
"94","1998","Sweden","Nov","SWE","-6.1213","32.3502"
"95","1998","Sweden","Oct","SWE","2.48102","95.026"
"96","1998","Sweden","Sep","SWE","8.738","64.8447"
"97","1999","Sweden","Apr","SWE","2.22107","55.9763"
"98","1999","Sweden","Aug","SWE","11.58","59.8323"
"99","1999","Sweden","Dec","SWE","-8.9592","72.0264"
"100","1999","Sweden","Feb","SWE","-8.4698","49.3984"
