Rainfall - (MM), Year, Month, Country, ISO3
46.4122, 1991, Jan, Turkey, TUR
55.3479, 1991, Feb, Turkey, TUR
61.9502, 1991, Mar, Turkey, TUR
66.7326, 1991, Apr, Turkey, TUR
84.001, 1991, May, Turkey, TUR
28.5869, 1991, Jun, Turkey, TUR
15.5059, 1991, Jul, Turkey, TUR
7.98014, 1991, Aug, Turkey, TUR
16.5034, 1991, Sep, Turkey, TUR
44.8997, 1991, Oct, Turkey, TUR
50.3695, 1991, Nov, Turkey, TUR
107.048, 1991, Dec, Turkey, TUR
29.3664, 1992, Jan, Turkey, TUR
59.3905, 1992, Feb, Turkey, TUR
42.3938, 1992, Mar, Turkey, TUR
39.0398, 1992, Apr, Turkey, TUR
61.1765, 1992, May, Turkey, TUR
61.9502, 1992, Jun, Turkey, TUR
23.4778, 1992, Jul, Turkey, TUR
8.17684, 1992, Aug, Turkey, TUR
14.8038, 1992, Sep, Turkey, TUR
27.2978, 1992, Oct, Turkey, TUR
87.0732, 1992, Nov, Turkey, TUR
76.6048, 1992, Dec, Turkey, TUR
51.1875, 1993, Jan, Turkey, TUR
58.1055, 1993, Feb, Turkey, TUR
43.452, 1993, Mar, Turkey, TUR
54.9906, 1993, Apr, Turkey, TUR
100.762, 1993, May, Turkey, TUR
31.8264, 1993, Jun, Turkey, TUR
4.84064, 1993, Jul, Turkey, TUR
11.6491, 1993, Aug, Turkey, TUR
8.12396, 1993, Sep, Turkey, TUR
16.1474, 1993, Oct, Turkey, TUR
76.6755, 1993, Nov, Turkey, TUR
40.633, 1993, Dec, Turkey, TUR
75.6247, 1994, Jan, Turkey, TUR
60.8445, 1994, Feb, Turkey, TUR
43.1873, 1994, Mar, Turkey, TUR
46.9299, 1994, Apr, Turkey, TUR
47.4004, 1994, May, Turkey, TUR
22.2839, 1994, Jun, Turkey, TUR
12.6236, 1994, Jul, Turkey, TUR
13.1657, 1994, Aug, Turkey, TUR
7.73882, 1994, Sep, Turkey, TUR
60.884, 1994, Oct, Turkey, TUR
94.7109, 1994, Nov, Turkey, TUR
88.8374, 1994, Dec, Turkey, TUR
69.817, 1995, Jan, Turkey, TUR
30.345, 1995, Feb, Turkey, TUR
82.2949, 1995, Mar, Turkey, TUR
74.2778, 1995, Apr, Turkey, TUR
40.0191, 1995, May, Turkey, TUR
38.2146, 1995, Jun, Turkey, TUR
30.529, 1995, Jul, Turkey, TUR
11.7208, 1995, Aug, Turkey, TUR
23.9081, 1995, Sep, Turkey, TUR
34.5659, 1995, Oct, Turkey, TUR
87.659, 1995, Nov, Turkey, TUR
35.4932, 1995, Dec, Turkey, TUR
64.2406, 1996, Jan, Turkey, TUR
68.18, 1996, Feb, Turkey, TUR
93.3371, 1996, Mar, Turkey, TUR
67.6072, 1996, Apr, Turkey, TUR
40.7272, 1996, May, Turkey, TUR
