"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1","1901","Azerbaijan",-2.3978,2.01728,7.66763,13.0629,16.5853,22.4463,24.8979,24.3446,18.5068,9.81611,5.88619,3.85705,28.4255,10.6195,17.4662,31.818,75.0897,49.6949,17.9507,8.36759,50.2076,92.3798,31.5656,14.5904
"13","1902","Azerbaijan",1.17941,1.48134,4.65706,10.5397,15.9162,22.8649,23.9008,24.4536,17.5815,11.3872,3.96014,0.17967,12.4164,28.2248,33.8514,49.2948,53.01,25.4257,10.2314,33.7189,77.4756,46.7626,47.4712,15.9714
"25","1903","Azerbaijan",-1.9393,0.50655,1.79914,11.6772,17.273,22.0013,24.7284,24.0758,17.5782,13.0605,5.94345,0.85098,27.7327,27.5385,36.8771,43.945,37.9156,53.4087,37.2426,28.6519,28.9095,18.2068,28.2828,30.4311
"37","1904","Azerbaijan",-5.3979,2.54492,5.05375,8.37517,15.1421,20.0254,23.7544,24.1921,19.1763,12.5475,7.45852,0.08422,25.4067,7.12834,49.3608,66.3272,100.91,42.4495,13.0711,21.5848,57.6515,36.0314,29.9153,45.4171
"49","1905","Azerbaijan",-3.2131,-1.8896,1.93343,9.92397,14.9834,21.9253,23.9851,23.2448,19.9771,16.4599,8.60267,0.87086,21.1992,18.9061,43.9907,37.0309,69.6775,49.1067,62.1392,43.1387,14.4408,38.9307,23.943,35.7612
"61","1906","Azerbaijan",-2.7002,0.43116,5.55595,10.6796,17.7795,21.908,23.6856,22.6005,17.4823,13.2017,6.35078,2.95198,20.2349,23.6384,20.9011,24.2645,54.0134,60.6424,59.2533,38.627,33.2288,21.0672,35.1567,49.9218
"73","1907","Azerbaijan",-1.4369,-1.2055,3.53528,9.82721,16.7823,21.8569,25.4138,23.4945,17.5495,11.068,3.26606,-0.082,23.5647,19.328,39.0019,33.4737,39.3675,17.6725,22.2766,38.1563,41.0019,36.8845,51.9382,17.5861
"85","1908","Azerbaijan",-2.3762,-0.1258,2.19796,8.92783,14.7826,21.6644,23.4715,24.2648,20.1569,10.8219,4.81868,-0.9612,30.4488,19.5497,46.9092,59.5248,75.1007,24.615,12.8582,6.86913,43.7095,43.4727,44.6069,29.0899
"97","1909","Azerbaijan",-4.3471,0.14087,4.81726,9.13304,17.0542,19.8635,24.4855,22.8965,21.057,13.6791,9.33733,2.30492,16.2032,14.6661,24.2836,39.3774,41.1517,57.9543,11.2685,35.8144,31.8381,49.1793,17.9713,21.9762
"109","1910","Azerbaijan",0.80973,1.7511,4.05467,10.9857,16.4616,21.4509,25.294,24.0133,18.3958,12.2691,7.32964,-1.8297,28.551,28.4057,22.6409,53.587,57.9062,38.7692,23.801,11.385,41.9055,24.7146,20.8534,6.0525
"121","1911","Azerbaijan",-5.5055,-3.9141,1.07382,8.97805,15.627,20.094,24.4203,23.5034,17.3791,9.85008,6.54806,0.06257,16.1134,13.5628,58.4254,64.6936,80.5682,51.0142,14.2193,18.5087,32.8939,29.7788,31.6316,38.7882
"133","1912","Azerbaijan",-0.0016,2.02962,5.49199,9.04051,14.2667,22.5402,23.2269,23.2725,21.2562,12.5882,7.27163,0.51571,11.626,27.481,22.6324,45.4116,70.9799,36.4269,19.2801,20.0671,12.9822,51.8505,18.1431,21.503
"145","1913","Azerbaijan",-1.847,-2.4758,4.12404,9.67851,15.5669,19.7281,24.8081,25.7448,20.4347,11.6833,7.24037,2.60257,40.8084,23.0847,27.0879,27.1546,45.7816,22.2832,14.8894,1.89872,49.2915,40.5633,36.5628,12.6997
"157","1914","Azerbaijan",1.91215,3.18444,8.05755,10.4362,15.739,20.8809,24.6924,23.4387,18.172,12.7855,3.54754,0.06953,29.9075,8.87153,35.6041,63.5632,55.2873,71.814,20.9116,36.9647,29.6054,60.7648,56.2444,29.4467
"169","1915","Azerbaijan",2.64601,1.47621,6.08452,10.3539,15.3428,20.3655,23.8072,23.4208,19.0849,12.3767,8.28389,3.62126,10.3404,17.0635,44.4307,68.0522,50.9421,93.1324,42.1756,38.2611,19.8792,28.9674,6.97209,12.8633
"181","1916","Azerbaijan",0.20761,0.44531,4.94299,11.3474,17.4344,20.976,24.1728,23.9525,17.9192,12.2352,6.2246,2.31691,16.2198,19.5634,17.7982,36.9294,62.1321,27.4862,62.6215,9.06892,65.9659,18.204,17.5404,17.4907
"193","1917","Azerbaijan",1.19865,0.00882,5.4016,14.4126,14.8391,20.7817,25.0856,23.8957,20.2207,12.5722,8.51589,1.33694,10.2982,18.1247,21.5778,15.1357,40.5896,24.0791,7.61755,41.7773,24.0005,42.4234,13.6167,20.8612
"205","1918","Azerbaijan",-0.288,0.63154,3.94214,9.42911,14.1402,20.4418,24.0029,23.8366,21.4924,15.7852,5.79399,-0.0098,13.8381,29.6684,16.4078,47.765,62.7046,62.5004,39.0526,51.9214,18.7944,28.3904,38.087,38.7593
"217","1919","Azerbaijan",1.15005,1.28812,4.02511,12.1857,13.5902,19.1489,23.1083,22.8459,20.1201,16.2596,7.78248,1.23683,21.1171,24.8313,42.5933,67.829,47.8191,57.4947,36.6544,13.4156,21.9131,39.1771,43.5359,27.9592
"229","1920","Azerbaijan",0.74824,-4.8562,4.46937,10.8599,15.7846,21.1541,23.4278,24.633,19.0391,10.1503,2.97237,-3.7361,24.8821,26.3306,42.0051,56.0102,66.6371,71.4737,32.9702,48.7494,80.3969,78.9196,56.9159,13.4711
"241","1921","Azerbaijan",-0.9136,-2.5804,2.48954,10.2728,17.5928,22.2409,24.4132,23.2599,17.7233,11.1525,5.27191,0.36843,10.8,25.8756,41.7152,71.0475,12.1185,44.4691,43.122,37.8215,36.4464,23.8928,55.0417,28.0587
