"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1","1901","Egypt",12.3533,17.1485,19.8166,22.471,24.7663,28.201,29.0262,28.904,26.6434,24.1158,18.1341,14.9177,11.8059,1.51935,1.68534,1.00609,16.392,1.59667,2.63234,2.7991,1.23883,0.5825,1.78508,5.03292
"13","1902","Egypt",12.1107,16.6325,16.9514,21.7018,25.5515,27.032,27.9714,28.4227,27.1584,24.0858,17.5741,12.9458,9.23424,3.61706,2.43298,3.58693,2.08395,1.66305,2.74818,2.7991,1.12044,1.15849,3.06903,4.1115
"25","1903","Egypt",11.0177,12.2229,15.3777,21.5116,25.7116,27.0873,27.2743,28.062,25.0039,22.2827,16.9796,14.2766,5.77015,3.95707,5.72509,2.0085,1.9121,1.24449,2.63234,2.89084,1.15735,0.88838,1.43808,3.07394
"37","1904","Egypt",12.2636,15.0843,17.5012,20.7075,24.5914,27.1914,28.1154,28.3813,26.2553,24.7275,16.8429,12.3855,8.38629,6.1464,1.61651,5.0447,4.25098,1.245,2.63234,2.7991,1.12045,1.47003,4.452,8.46906
"49","1905","Egypt",11.2089,11.7992,15.7367,21.4942,26.15,28.4093,29.2932,29.0023,27.4535,25.3854,20.3796,13.2215,5.02768,4.41262,6.06707,5.46103,1.75407,1.24754,2.63234,2.7991,1.10597,1.38895,2.05194,8.55925
"61","1906","Egypt",12.5209,14.6939,17.9886,22.191,25.6886,29.0814,29.2241,29.2252,26.2435,24.3804,19.2409,15.7863,3.40959,2.46525,3.16376,2.38939,9.0053,1.6307,2.60396,2.76506,1.10466,3.78455,1.93047,1.29427
"73","1907","Egypt",13.2829,14.761,15.5597,21.0388,25.6331,28.0096,28.5905,28.7888,26.2637,23.6037,17.8171,14.642,10.9448,4.23484,4.61352,2.87417,1.70917,1.59908,2.77532,3.07729,1.09462,3.64557,4.20182,2.76497
"85","1908","Egypt",13.1586,14.5898,18.0486,22.4673,26.3738,28.3599,28.2574,28.3816,26.6153,24.3179,17.8122,13.0007,15.4696,5.91149,8.35951,6.83355,2.35313,2.32426,2.48406,2.61251,0.89988,2.82639,3.51078,4.67125
"97","1909","Egypt",12.7792,14.8735,19.8717,20.6977,28.4143,29.3039,29.6605,29.6262,27.6464,24.6592,19.9022,16.0063,6.2505,2.17269,2.57269,7.20332,5.31292,1.21598,2.46692,2.61289,1.13621,1.94153,2.14828,3.58798
"109","1910","Egypt",12.5416,15.0373,15.1146,23.2313,26.2978,28.0972,29.1814,29.2998,27.2399,22.9646,18.0325,13.3426,5.606,1.7225,7.00394,3.35815,2.65128,1.22712,2.46292,3.14649,1.12425,0.79083,2.92641,2.19836
"121","1911","Egypt",12.7327,12.6407,16.762,21.5787,26.1835,27.9954,28.8292,28.7177,26.4646,24.2987,19.1851,14.2986,7.45812,7.56428,3.48751,3.28816,1.63889,1.21583,3.42753,2.61182,0.96347,3.77523,4.22506,5.73521
"133","1912","Egypt",12.3716,15.5549,17.6056,21.807,25.0133,27.6976,28.185,28.0611,26.7744,24.0685,18.7713,13.7335,4.64819,7.41714,2.72193,1.74278,2.91191,1.21586,2.53967,2.85112,0.93732,1.25228,2.89665,6.8673
"145","1913","Egypt",12.951,13.9327,16.2538,22.4346,24.826,27.1232,28.5365,28.4494,27.4476,24.2982,17.6514,13.2696,2.0105,6.39193,3.5422,1.95734,11.439,1.22423,2.54937,2.63775,0.94575,4.367,3.36347,5.07615
"157","1914","Egypt",13.2641,14.6516,19.0564,19.9775,26.409,28.6942,28.8734,29.7182,27.0452,23.6504,19.5934,14.9206,1.70293,4.05656,2.2802,7.09069,1.93568,1.2535,2.73848,3.12703,1.07516,0.80266,3.79864,6.84048
"169","1915","Egypt",15.2695,16.574,18.6893,22.1405,25.9596,29.9767,29.956,29.8656,27.4413,25.3798,20.2187,16.3963,3.32958,3.20987,3.83265,2.38323,2.44243,1.2187,2.46206,2.57911,0.96561,0.64265,1.51921,3.2225
"181","1916","Egypt",12.1339,15.7943,20.2766,23.1062,27.4114,30.9537,30.5446,29.1228,26.8543,23.2308,21.354,16.5073,12.9228,6.53751,6.3928,2.93832,1.58362,1.22984,2.58505,2.75267,0.94305,2.09879,5.29118,5.18314
"193","1917","Egypt",14.3534,15.5471,19.2944,23.2419,24.5919,27.9028,29.022,29.3867,26.6273,23.4698,21.9519,14.364,11.4292,9.58333,2.44439,2.30992,2.2242,1.22984,2.44658,2.57632,1.54749,1.34847,3.50002,7.16738
"205","1918","Egypt",12.2712,13.8778,17.5226,22.0737,26.0325,28.4663,30.1152,28.7009,27.7229,26.3497,21.0157,14.8767,3.73185,6.08049,6.93978,5.87927,3.88042,1.23189,2.44658,2.66329,1.55747,5.39775,5.41104,3.81654
"217","1919","Egypt",15.187,16.9651,20.2524,22.2233,24.8734,27.5596,29.5291,28.4846,27.7836,26.0829,20.7541,14.1711,10.9592,1.5314,1.78659,2.26981,4.88494,1.22088,2.44775,2.57352,0.93519,1.12381,3.06603,4.63639
"229","1920","Egypt",12.9205,12.2139,17.1925,23.061,25.5166,28.6373,29.0588,30.3565,26.9078,24.6311,18.5656,13.8969,3.73102,9.22427,9.74917,3.82643,2.35752,1.21906,2.46372,3.07675,0.87278,0.63901,2.83857,7.93487
"241","1921","Egypt",13.1043,13.571,15.9005,23.3943,25.7119,28.5548,30.0152,30.5562,26.4687,23.9837,18.9789,14.8279,8.53126,4.60056,8.00229,1.95215,11.1092,1.65611,2.629,3.13172,0.82582,0.82346,2.10896,8.78141
"253","1922","Egypt",13.5054,15.1096,18.2953,22.9464,25.8393,28.4772,29.4629,29.3174,27.8471,25.9675,21.1985,13.5786,5.06319,2.12245,5.01798,1.64411,3.11526,1.21558,2.92691,2.90892,0.82501,0.6749,2.12591,5.81825
"265","1923","Egypt",14.47,14.8138,17.8405,21.6075,26.2551,30.153,28.7355,29.0706,27.6002,24.2704,20.2985,15.1824,2.30745,3.00875,1.85332,1.93583,4.29291,1.22794,2.86689,3.30766,0.82989,4.86942,3.01743,3.87173
