"","Year","Country","Month","ISO3","Temperature","Rain"
"1","1901","Eritrea","Jan","ERI","23.1307","7.21077"
"2","1901","Eritrea","Feb","ERI","26.1535","4.3529"
"3","1901","Eritrea","Mar","ERI","25.9798","3.8728"
"4","1901","Eritrea","Apr","ERI","27.2174","7.26276"
"5","1901","Eritrea","May","ERI","29.1219","3.65472"
"6","1901","Eritrea","Jun","ERI","28.7377","29.5166"
"7","1901","Eritrea","Jul","ERI","30.3769","18.0907"
"8","1901","Eritrea","Aug","ERI","28.9275","110.342"
"9","1901","Eritrea","Sep","ERI","28.9322","10.7547"
"10","1901","Eritrea","Oct","ERI","27.6636","4.1664"
"11","1901","Eritrea","Nov","ERI","25.7759","0.33374"
"12","1901","Eritrea","Dec","ERI","24.3203","12.8138"
"13","1902","Eritrea","Jan","ERI","21.1248","2.89428"
"14","1902","Eritrea","Feb","ERI","24.4147","3.35693"
"15","1902","Eritrea","Mar","ERI","25.0998","9.53"
"16","1902","Eritrea","Apr","ERI","26.6472","7.7726"
"17","1902","Eritrea","May","ERI","28.2726","0.70322"
"18","1902","Eritrea","Jun","ERI","29.8077","1.38899"
"19","1902","Eritrea","Jul","ERI","29.2409","50.0181"
"20","1902","Eritrea","Aug","ERI","29.7157","19.649"
"21","1902","Eritrea","Sep","ERI","28.2365","29.7211"
"22","1902","Eritrea","Oct","ERI","26.1338","15.0147"
"23","1902","Eritrea","Nov","ERI","24.3605","7.44614"
"24","1902","Eritrea","Dec","ERI","21.8426","17.8319"
"25","1903","Eritrea","Jan","ERI","21.1813","12.2462"
"26","1903","Eritrea","Feb","ERI","21.513","8.88485"
"27","1903","Eritrea","Mar","ERI","23.2569","2.14418"
"28","1903","Eritrea","Apr","ERI","27.1714","3.24883"
"29","1903","Eritrea","May","ERI","28.0774","34.2145"
"30","1903","Eritrea","Jun","ERI","29.6077","7.18204"
"31","1903","Eritrea","Jul","ERI","29.627","73.5463"
"32","1903","Eritrea","Aug","ERI","28.7865","93.9599"
"33","1903","Eritrea","Sep","ERI","27.1428","40.3602"
"34","1903","Eritrea","Oct","ERI","26.2861","2.65068"
"35","1903","Eritrea","Nov","ERI","25.0526","1.46988"
"36","1903","Eritrea","Dec","ERI","23.9429","7.36459"
"37","1904","Eritrea","Jan","ERI","22.4134","2.66046"
"38","1904","Eritrea","Feb","ERI","23.4024","3.71728"
"39","1904","Eritrea","Mar","ERI","24.5537","10.327"
"40","1904","Eritrea","Apr","ERI","26.5191","0.65815"
"41","1904","Eritrea","May","ERI","28.2813","9.1082"
"42","1904","Eritrea","Jun","ERI","29.8798","11.7866"
"43","1904","Eritrea","Jul","ERI","28.9207","48.6654"
"44","1904","Eritrea","Aug","ERI","29.9227","46.3716"
"45","1904","Eritrea","Sep","ERI","27.7349","32.2983"
"46","1904","Eritrea","Oct","ERI","26.3106","14.8813"
"47","1904","Eritrea","Nov","ERI","24.1207","16.5559"
"48","1904","Eritrea","Dec","ERI","21.5017","5.42559"
"49","1905","Eritrea","Jan","ERI","22.15","3.62935"
"50","1905","Eritrea","Feb","ERI","21.3389","4.93715"
"51","1905","Eritrea","Mar","ERI","22.7298","3.5684"
"52","1905","Eritrea","Apr","ERI","25.2414","5.56476"
"53","1905","Eritrea","May","ERI","27.3251","18.893"
"54","1905","Eritrea","Jun","ERI","30.0768","8.91152"
"55","1905","Eritrea","Jul","ERI","29.4237","59.1304"
"56","1905","Eritrea","Aug","ERI","28.333","55.3"
"57","1905","Eritrea","Sep","ERI","27.958","46.6692"
"58","1905","Eritrea","Oct","ERI","27.1591","2.32562"
"59","1905","Eritrea","Nov","ERI","26.2902","4.10766"
"60","1905","Eritrea","Dec","ERI","23.1514","5.61868"
"61","1906","Eritrea","Jan","ERI","22.16","1.69229"
"62","1906","Eritrea","Feb","ERI","24.7265","13.5039"
"63","1906","Eritrea","Mar","ERI","24.3012","5.34446"
"64","1906","Eritrea","Apr","ERI","26.4006","2.34221"
"65","1906","Eritrea","May","ERI","29.6397","0.08847"
"66","1906","Eritrea","Jun","ERI","30.6372","16.5198"
"67","1906","Eritrea","Jul","ERI","29.259","63.1928"
"68","1906","Eritrea","Aug","ERI","28.196","63.6489"
"69","1906","Eritrea","Sep","ERI","27.6893","18.9617"
"70","1906","Eritrea","Oct","ERI","26.7479","9.94974"
"71","1906","Eritrea","Nov","ERI","24.7405","11.4669"
"72","1906","Eritrea","Dec","ERI","23.1483","2.83123"
"73","1907","Eritrea","Jan","ERI","22.6311","4.07444"
"74","1907","Eritrea","Feb","ERI","24.2902","3.23942"
"75","1907","Eritrea","Mar","ERI","24.9647","1.59229"
"76","1907","Eritrea","Apr","ERI","27.1428","4.50508"
"77","1907","Eritrea","May","ERI","28.47","10.3643"
"78","1907","Eritrea","Jun","ERI","29.7406","3.16565"
"79","1907","Eritrea","Jul","ERI","28.4839","99.5297"
"80","1907","Eritrea","Aug","ERI","26.7678","151.39"
"81","1907","Eritrea","Sep","ERI","27.6169","16.8593"
"82","1907","Eritrea","Oct","ERI","26.7404","4.52663"
"83","1907","Eritrea","Nov","ERI","24.081","10.1658"
"84","1907","Eritrea","Dec","ERI","21.3641","3.93932"
"85","1908","Eritrea","Jan","ERI","21.7911","7.48421"
"86","1908","Eritrea","Feb","ERI","22.439","5.13479"
