"","Year","Country","Month","ISO3","Temperature","Rain"
"1","1901","Laos","Jan","LAO","20.2698","19.8365"
"2","1901","Laos","Feb","LAO","19.2871","13.8477"
"3","1901","Laos","Mar","LAO","23.1693","49.8402"
"4","1901","Laos","Apr","LAO","26.0144","101.007"
"5","1901","Laos","May","LAO","25.7001","177.706"
"6","1901","Laos","Jun","LAO","26.3125","256.973"
"7","1901","Laos","Jul","LAO","25.469","280.208"
"8","1901","Laos","Aug","LAO","24.9417","322.569"
"9","1901","Laos","Sep","LAO","24.9106","262.734"
"10","1901","Laos","Oct","LAO","24.1549","133.949"
"11","1901","Laos","Nov","LAO","21.5945","65.9158"
"12","1901","Laos","Dec","LAO","18.683","24.3368"
"13","1902","Laos","Jan","LAO","18.494","19.9582"
"14","1902","Laos","Feb","LAO","18.4064","17.6194"
"15","1902","Laos","Mar","LAO","23.4959","39.9943"
"16","1902","Laos","Apr","LAO","25.4871","98.8817"
"17","1902","Laos","May","LAO","26.1437","140.904"
"18","1902","Laos","Jun","LAO","26.4859","217.992"
"19","1902","Laos","Jul","LAO","25.9798","240.676"
"20","1902","Laos","Aug","LAO","25.5612","457.445"
"21","1902","Laos","Sep","LAO","24.7985","138.352"
"22","1902","Laos","Oct","LAO","23.8626","156.847"
"23","1902","Laos","Nov","LAO","21.6547","60.4278"
"24","1902","Laos","Dec","LAO","20.2155","73.3876"
"25","1903","Laos","Jan","LAO","18.8551","15.007"
"26","1903","Laos","Feb","LAO","19.922","35.3813"
"27","1903","Laos","Mar","LAO","23.6945","34.9248"
"28","1903","Laos","Apr","LAO","26.2438","63.7325"
"29","1903","Laos","May","LAO","26.4779","116.598"
"30","1903","Laos","Jun","LAO","25.6086","196.371"
"31","1903","Laos","Jul","LAO","25.6737","351.535"
"32","1903","Laos","Aug","LAO","24.9391","335.641"
"33","1903","Laos","Sep","LAO","24.4261","276.498"
"34","1903","Laos","Oct","LAO","23.5574","188.809"
"35","1903","Laos","Nov","LAO","20.2894","56.5714"
"36","1903","Laos","Dec","LAO","16.4034","22.9927"
"37","1904","Laos","Jan","LAO","16.997","11.5172"
"38","1904","Laos","Feb","LAO","19.2149","8.01675"
"39","1904","Laos","Mar","LAO","22.7126","30.0358"
"40","1904","Laos","Apr","LAO","24.5434","101.937"
"41","1904","Laos","May","LAO","25.7804","283.477"
"42","1904","Laos","Jun","LAO","25.8632","375.026"
