"","Year","Country","Month","ISO3","Temperature","Rain"
"1","1901","Panama Canal Zone","Jan","PAN","24.7734","52.4096"
"2","1901","Panama Canal Zone","Feb","PAN","25.1206","44.9197"
"3","1901","Panama Canal Zone","Mar","PAN","26.0068","79.2158"
"4","1901","Panama Canal Zone","Apr","PAN","26.2644","60.9309"
"5","1901","Panama Canal Zone","May","PAN","25.9335","245.331"
"6","1901","Panama Canal Zone","Jun","PAN","25.1252","265.992"
"7","1901","Panama Canal Zone","Jul","PAN","25.4605","332.493"
"8","1901","Panama Canal Zone","Aug","PAN","25.0963","300.43"
"9","1901","Panama Canal Zone","Sep","PAN","24.67","315.833"
"10","1901","Panama Canal Zone","Oct","PAN","24.5944","506.231"
"11","1901","Panama Canal Zone","Nov","PAN","24.3188","402.493"
"12","1901","Panama Canal Zone","Dec","PAN","24.2951","146.118"
"13","1902","Panama Canal Zone","Jan","PAN","24.6841","57.1856"
"14","1902","Panama Canal Zone","Feb","PAN","25.0673","67.3413"
"15","1902","Panama Canal Zone","Mar","PAN","25.8883","81.2264"
"16","1902","Panama Canal Zone","Apr","PAN","26.1814","263.81"
"17","1902","Panama Canal Zone","May","PAN","25.8743","376.088"
"18","1902","Panama Canal Zone","Jun","PAN","25.1193","218.669"
"19","1902","Panama Canal Zone","Jul","PAN","25.4072","214.004"
"20","1902","Panama Canal Zone","Aug","PAN","25.0963","193.951"
"21","1902","Panama Canal Zone","Sep","PAN","24.6522","243.526"
"22","1902","Panama Canal Zone","Oct","PAN","24.6063","318.979"
"23","1902","Panama Canal Zone","Nov","PAN","24.384","291.3"
"24","1902","Panama Canal Zone","Dec","PAN","24.3306","97.4076"
"25","1903","Panama Canal Zone","Jan","PAN","24.6841","55.2994"
"26","1903","Panama Canal Zone","Feb","PAN","25.1206","23.3796"
"27","1903","Panama Canal Zone","Mar","PAN","25.9179","28.5545"
"28","1903","Panama Canal Zone","Apr","PAN","26.1695","96.4119"
"29","1903","Panama Canal Zone","May","PAN","25.8743","414.122"
"30","1903","Panama Canal Zone","Jun","PAN","25.1311","294.308"
"31","1903","Panama Canal Zone","Jul","PAN","25.4605","240.508"
"32","1903","Panama Canal Zone","Aug","PAN","25.0963","323.328"
"33","1903","Panama Canal Zone","Sep","PAN","24.7292","239.937"
"34","1903","Panama Canal Zone","Oct","PAN","24.6004","390.744"
"35","1903","Panama Canal Zone","Nov","PAN","24.3248","255.443"
"36","1903","Panama Canal Zone","Dec","PAN","24.2773","375.874"
"37","1904","Panama Canal Zone","Jan","PAN","24.6544","213.4"
"38","1904","Panama Canal Zone","Feb","PAN","25.1325","67.5871"
"39","1904","Panama Canal Zone","Mar","PAN","25.8764","151.392"
"40","1904","Panama Canal Zone","Apr","PAN","26.2229","175.446"
"41","1904","Panama Canal Zone","May","PAN","25.8319","319.375"
"42","1904","Panama Canal Zone","Jun","PAN","25.1845","298.445"
"43","1904","Panama Canal Zone","Jul","PAN","25.4605","197.106"
"44","1904","Panama Canal Zone","Aug","PAN","25.0963","223.914"
"45","1904","Panama Canal Zone","Sep","PAN","24.7292","220.258"
"46","1904","Panama Canal Zone","Oct","PAN","24.5826","329.22"
"47","1904","Panama Canal Zone","Nov","PAN","24.3544","260.789"
"48","1904","Panama Canal Zone","Dec","PAN","24.2892","174.885"
"49","1905","Panama Canal Zone","Jan","PAN","24.6494","49.1946"
"50","1905","Panama Canal Zone","Feb","PAN","25.0258","22.4031"
"51","1905","Panama Canal Zone","Mar","PAN","25.8646","90.385"
"52","1905","Panama Canal Zone","Apr","PAN","26.1814","89.1808"
"53","1905","Panama Canal Zone","May","PAN","25.8209","344.605"
"54","1905","Panama Canal Zone","Jun","PAN","25.1074","255.509"
"55","1905","Panama Canal Zone","Jul","PAN","25.4605","397.586"
"56","1905","Panama Canal Zone","Aug","PAN","25.0963","233.46"
"57","1905","Panama Canal Zone","Sep","PAN","24.7292","250.574"
"58","1905","Panama Canal Zone","Oct","PAN","24.6181","410.742"
"59","1905","Panama Canal Zone","Nov","PAN","24.3544","269.802"
"60","1905","Panama Canal Zone","Dec","PAN","24.2654","206.045"
"61","1906","Panama Canal Zone","Jan","PAN","24.6544","63.6081"
"62","1906","Panama Canal Zone","Feb","PAN","25.0258","34.7395"
"63","1906","Panama Canal Zone","Mar","PAN","25.8942","24.0395"
"64","1906","Panama Canal Zone","Apr","PAN","26.1636","217.129"
"65","1906","Panama Canal Zone","May","PAN","25.8506","257.182"
"66","1906","Panama Canal Zone","Jun","PAN","25.1252","360.138"
"67","1906","Panama Canal Zone","Jul","PAN","25.4605","258.844"
"68","1906","Panama Canal Zone","Aug","PAN","25.0963","240.737"
"69","1906","Panama Canal Zone","Sep","PAN","24.6581","223.785"
"70","1906","Panama Canal Zone","Oct","PAN","24.6715","373.856"
"71","1906","Panama Canal Zone","Nov","PAN","24.3544","244.057"
"72","1906","Panama Canal Zone","Dec","PAN","24.2417","132.032"
"73","1907","Panama Canal Zone","Jan","PAN","24.7383","41.9204"
"74","1907","Panama Canal Zone","Feb","PAN","25.1325","27.061"
"75","1907","Panama Canal Zone","Mar","PAN","25.9831","27.2669"
"76","1907","Panama Canal Zone","Apr","PAN","26.2229","60.8389"
"77","1907","Panama Canal Zone","May","PAN","25.815","225.886"
"78","1907","Panama Canal Zone","Jun","PAN","25.0956","266.406"
"79","1907","Panama Canal Zone","Jul","PAN","25.4605","236.931"
"80","1907","Panama Canal Zone","Aug","PAN","25.0963","200.85"
"81","1907","Panama Canal Zone","Sep","PAN","24.7292","218.653"
"82","1907","Panama Canal Zone","Oct","PAN","24.5944","357.148"
"83","1907","Panama Canal Zone","Nov","PAN","24.3248","298.814"
"84","1907","Panama Canal Zone","Dec","PAN","24.2951","146.483"
"85","1908","Panama Canal Zone","Jan","PAN","24.6841","42.5312"
"86","1908","Panama Canal Zone","Feb","PAN","25.0317","22.7078"
"87","1908","Panama Canal Zone","Mar","PAN","25.8705","36.3345"
"88","1908","Panama Canal Zone","Apr","PAN","26.1221","126.428"
"89","1908","Panama Canal Zone","May","PAN","25.8384","375.275"
"90","1908","Panama Canal Zone","Jun","PAN","25.1133","322.451"
"91","1908","Panama Canal Zone","Jul","PAN","25.4605","254.688"
"92","1908","Panama Canal Zone","Aug","PAN","25.0963","226.974"
"93","1908","Panama Canal Zone","Sep","PAN","24.7292","235.437"
"94","1908","Panama Canal Zone","Oct","PAN","24.5826","487.406"
"95","1908","Panama Canal Zone","Nov","PAN","24.3248","276.196"
"96","1908","Panama Canal Zone","Dec","PAN","24.2832","172.56"
"97","1909","Panama Canal Zone","Jan","PAN","24.6791","90.0518"
"98","1909","Panama Canal Zone","Feb","PAN","25.1325","36.3879"
"99","1909","Panama Canal Zone","Mar","PAN","25.9475","21.8665"
"100","1909","Panama Canal Zone","Apr","PAN","26.2229","201.009"
"101","1909","Panama Canal Zone","May","PAN","25.8447","293.547"
"102","1909","Panama Canal Zone","Jun","PAN","25.0956","241.586"
"103","1909","Panama Canal Zone","Jul","PAN","25.4605","328.007"
"104","1909","Panama Canal Zone","Aug","PAN","25.0963","337.09"
"105","1909","Panama Canal Zone","Sep","PAN","24.6641","281.459"
"106","1909","Panama Canal Zone","Oct","PAN","24.5885","377.848"
"107","1909","Panama Canal Zone","Nov","PAN","24.3366","317.479"
"108","1909","Panama Canal Zone","Dec","PAN","24.2536","258.683"
"109","1910","Panama Canal Zone","Jan","PAN","24.6248","122.067"
"110","1910","Panama Canal Zone","Feb","PAN","25.1325","22.6928"
"111","1910","Panama Canal Zone","Mar","PAN","25.8409","54.9416"
"112","1910","Panama Canal Zone","Apr","PAN","26.1399","101.361"
"113","1910","Panama Canal Zone","May","PAN","25.9098","243.028"
"114","1910","Panama Canal Zone","Jun","PAN","25.137","214.735"
"115","1910","Panama Canal Zone","Jul","PAN","25.4368","278.796"
"116","1910","Panama Canal Zone","Aug","PAN","25.0607","229.296"
"117","1910","Panama Canal Zone","Sep","PAN","24.7292","282.327"
"118","1910","Panama Canal Zone","Oct","PAN","24.6715","381.301"
"119","1910","Panama Canal Zone","Nov","PAN","24.3544","295.782"
"120","1910","Panama Canal Zone","Dec","PAN","24.2892","154.681"
"121","1911","Panama Canal Zone","Jan","PAN","24.7383","42.1558"
"122","1911","Panama Canal Zone","Feb","PAN","25.0377","23.3044"
"123","1911","Panama Canal Zone","Mar","PAN","25.9831","22.3671"
"124","1911","Panama Canal Zone","Apr","PAN","26.1458","198.857"
"125","1911","Panama Canal Zone","May","PAN","25.8088","448.423"
"126","1911","Panama Canal Zone","Jun","PAN","25.1845","288.094"
"127","1911","Panama Canal Zone","Jul","PAN","25.4605","195.842"
"128","1911","Panama Canal Zone","Aug","PAN","25.0963","226.93"
"129","1911","Panama Canal Zone","Sep","PAN","24.7292","193.802"
"130","1911","Panama Canal Zone","Oct","PAN","24.6122","352.2"
"131","1911","Panama Canal Zone","Nov","PAN","24.3425","290.916"
"132","1911","Panama Canal Zone","Dec","PAN","24.2892","159.779"
"133","1912","Panama Canal Zone","Jan","PAN","24.6672","42.2185"
"134","1912","Panama Canal Zone","Feb","PAN","25.0554","22.7438"
"135","1912","Panama Canal Zone","Mar","PAN","25.8705","22.1374"
"136","1912","Panama Canal Zone","Apr","PAN","26.1162","85.7618"
"137","1912","Panama Canal Zone","May","PAN","25.8861","299.12"
"138","1912","Panama Canal Zone","Jun","PAN","25.1845","247.222"
"139","1912","Panama Canal Zone","Jul","PAN","25.4605","186.089"
"140","1912","Panama Canal Zone","Aug","PAN","25.0963","260.772"
"141","1912","Panama Canal Zone","Sep","PAN","24.7292","308.565"
"142","1912","Panama Canal Zone","Oct","PAN","24.5826","380.828"
"143","1912","Panama Canal Zone","Nov","PAN","24.3129","365.838"
"144","1912","Panama Canal Zone","Dec","PAN","24.2773","136.849"
"145","1913","Panama Canal Zone","Jan","PAN","24.6494","78.6037"
"146","1913","Panama Canal Zone","Feb","PAN","25.1325","23.0715"
"147","1913","Panama Canal Zone","Mar","PAN","25.9831","46.1448"
"148","1913","Panama Canal Zone","Apr","PAN","26.2229","149.791"
"149","1913","Panama Canal Zone","May","PAN","25.9158","286.56"
"150","1913","Panama Canal Zone","Jun","PAN","25.1845","243.598"
"151","1913","Panama Canal Zone","Jul","PAN","25.4605","252.315"
"152","1913","Panama Canal Zone","Aug","PAN","25.0963","315.124"
"153","1913","Panama Canal Zone","Sep","PAN","24.7292","251.768"
"154","1913","Panama Canal Zone","Oct","PAN","24.6715","388.186"
"155","1913","Panama Canal Zone","Nov","PAN","24.3188","368.976"
"156","1913","Panama Canal Zone","Dec","PAN","24.2536","179.315"
"157","1914","Panama Canal Zone","Jan","PAN","24.6494","61.0047"
"158","1914","Panama Canal Zone","Feb","PAN","25.0377","26.408"
"159","1914","Panama Canal Zone","Mar","PAN","25.9001","22.891"
"160","1914","Panama Canal Zone","Apr","PAN","26.1518","143.697"
"161","1914","Panama Canal Zone","May","PAN","25.815","249.854"
"162","1914","Panama Canal Zone","Jun","PAN","25.1845","190.299"
"163","1914","Panama Canal Zone","Jul","PAN","25.4605","150.435"
"164","1914","Panama Canal Zone","Aug","PAN","25.0963","192.012"
"165","1914","Panama Canal Zone","Sep","PAN","24.7292","236.7"
"166","1914","Panama Canal Zone","Oct","PAN","24.5826","401.454"
"167","1914","Panama Canal Zone","Nov","PAN","24.3485","391.183"
"168","1914","Panama Canal Zone","Dec","PAN","24.3543","124.549"
"169","1915","Panama Canal Zone","Jan","PAN","24.7028","43.443"
"170","1915","Panama Canal Zone","Feb","PAN","25.0851","34.8626"
"171","1915","Panama Canal Zone","Mar","PAN","25.9594","150.359"
"172","1915","Panama Canal Zone","Apr","PAN","26.1695","96.2187"
"173","1915","Panama Canal Zone","May","PAN","26.8943","334.851"
"174","1915","Panama Canal Zone","Jun","PAN","25.997","272.204"
