"","Year","Country","Month","Temperature","Rain","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
"1",1901,"Azerbaijan","Jan",-2.3978,28.4255,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"2",1901,"Azerbaijan","Feb",2.01728,10.6195,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"3",1901,"Azerbaijan","Mar",7.66763,17.4662,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"4",1901,"Azerbaijan","Apr",13.0629,31.818,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"5",1901,"Azerbaijan","May",16.5853,75.0897,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"6",1901,"Azerbaijan","Jun",22.4463,49.6949,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"7",1901,"Azerbaijan","Jul",24.8979,17.9507,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"8",1901,"Azerbaijan","Aug",24.3446,8.36759,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"9",1901,"Azerbaijan","Sep",18.5068,50.2076,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"10",1901,"Azerbaijan","Oct",9.81611,92.3798,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"11",1901,"Azerbaijan","Nov",5.88619,31.5656,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"12",1901,"Azerbaijan","Dec",3.85705,14.5904,12.2241883333333,24.8979,-2.3978,428.17549,NA,NA,NA,NA,NA,NA,NA
"13",1902,"Azerbaijan","Jan",1.17941,12.4164,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"14",1902,"Azerbaijan","Feb",1.48134,28.2248,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"15",1902,"Azerbaijan","Mar",4.65706,33.8514,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"16",1902,"Azerbaijan","Apr",10.5397,49.2948,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"17",1902,"Azerbaijan","May",15.9162,53.01,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"18",1902,"Azerbaijan","Jun",22.8649,25.4257,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"19",1902,"Azerbaijan","Jul",23.9008,10.2314,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"20",1902,"Azerbaijan","Aug",24.4536,33.7189,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"21",1902,"Azerbaijan","Sep",17.5815,77.4756,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"22",1902,"Azerbaijan","Oct",11.3872,46.7626,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"23",1902,"Azerbaijan","Nov",3.96014,47.4712,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"24",1902,"Azerbaijan","Dec",0.17967,15.9714,11.50846,24.4536,0.17967,433.8542,NA,NA,NA,NA,NA,NA,NA
"25",1903,"Azerbaijan","Jan",-1.9393,27.7327,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"26",1903,"Azerbaijan","Feb",0.50655,27.5385,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"27",1903,"Azerbaijan","Mar",1.79914,36.8771,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"28",1903,"Azerbaijan","Apr",11.6772,43.945,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"29",1903,"Azerbaijan","May",17.273,37.9156,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"30",1903,"Azerbaijan","Jun",22.0013,53.4087,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"31",1903,"Azerbaijan","Jul",24.7284,37.2426,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"32",1903,"Azerbaijan","Aug",24.0758,28.6519,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"33",1903,"Azerbaijan","Sep",17.5782,28.9095,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"34",1903,"Azerbaijan","Oct",13.0605,18.2068,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"35",1903,"Azerbaijan","Nov",5.94345,28.2828,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"36",1903,"Azerbaijan","Dec",0.85098,30.4311,11.462935,24.7284,-1.9393,399.1423,NA,NA,NA,NA,NA,NA,NA
"37",1904,"Azerbaijan","Jan",-5.3979,25.4067,11.0797066666667,24.1921,-5.3979,495.25374,NA,NA,NA,NA,NA,NA,NA
"38",1904,"Azerbaijan","Feb",2.54492,7.12834,11.0797066666667,24.1921,-5.3979,495.25374,NA,NA,NA,NA,NA,NA,NA
