"","Year","X","Country","Month","ISO3","Temperature....Celsius.","Rainfall....MM.","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
"1",1901,1,"Antigua and Barbuda","Jan","ANT",26.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1901,2,"Antigua and Barbuda","Feb","ANT",26.575,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1901,3,"Antigua and Barbuda","Mar","ANT",27.225,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1901,4,"Antigua and Barbuda","Apr","ANT",28.075,38.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1901,5,"Antigua and Barbuda","May","ANT",28.525,35.9249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1901,6,"Antigua and Barbuda","Jun","ANT",27.75,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1901,7,"Antigua and Barbuda","Jul","ANT",27.75,53.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1901,8,"Antigua and Barbuda","Aug","ANT",28.475,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1901,9,"Antigua and Barbuda","Sep","ANT",28.2999,27.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1901,10,"Antigua and Barbuda","Oct","ANT",27.65,41.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1901,11,"Antigua and Barbuda","Nov","ANT",26.625,40.9749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1901,12,"Antigua and Barbuda","Dec","ANT",25.75,275.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1902,13,"Antigua and Barbuda","Jan","ANT",25.275,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1902,14,"Antigua and Barbuda","Feb","ANT",25.6749,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1902,15,"Antigua and Barbuda","Mar","ANT",25.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1902,16,"Antigua and Barbuda","Apr","ANT",26.75,4.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1902,17,"Antigua and Barbuda","May","ANT",27.625,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1902,18,"Antigua and Barbuda","Jun","ANT",27.65,58.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1902,19,"Antigua and Barbuda","Jul","ANT",27.65,29.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1902,20,"Antigua and Barbuda","Aug","ANT",28.375,39.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1902,21,"Antigua and Barbuda","Sep","ANT",27.975,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1902,22,"Antigua and Barbuda","Oct","ANT",27.575,97.4749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1902,23,"Antigua and Barbuda","Nov","ANT",27.375,112.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1902,24,"Antigua and Barbuda","Dec","ANT",26.35,125.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1903,25,"Antigua and Barbuda","Jan","ANT",25.5499,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1903,26,"Antigua and Barbuda","Feb","ANT",26.2999,59.2999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1903,27,"Antigua and Barbuda","Mar","ANT",25.925,27.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1903,28,"Antigua and Barbuda","Apr","ANT",26.75,1.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1903,29,"Antigua and Barbuda","May","ANT",27.7999,5.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1903,30,"Antigua and Barbuda","Jun","ANT",27.875,47.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1903,31,"Antigua and Barbuda","Jul","ANT",27.85,48.3499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1903,32,"Antigua and Barbuda","Aug","ANT",27.975,58.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1903,33,"Antigua and Barbuda","Sep","ANT",28.2999,52.2999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1903,34,"Antigua and Barbuda","Oct","ANT",27.65,84.5749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1903,35,"Antigua and Barbuda","Nov","ANT",26.65,110.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1903,36,"Antigua and Barbuda","Dec","ANT",25.625,186.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1904,37,"Antigua and Barbuda","Jan","ANT",25.0499,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1904,38,"Antigua and Barbuda","Feb","ANT",25.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1904,39,"Antigua and Barbuda","Mar","ANT",25.225,11.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1904,40,"Antigua and Barbuda","Apr","ANT",25.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1904,41,"Antigua and Barbuda","May","ANT",26.925,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1904,42,"Antigua and Barbuda","Jun","ANT",27.475,26.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1904,43,"Antigua and Barbuda","Jul","ANT",27.15,77.9749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1904,44,"Antigua and Barbuda","Aug","ANT",27.375,107.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
