"","Year","X","Country","Month","ISO3","Temperature....Celsius.","Rainfall....MM.","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
"1",1901,1,"Armenia","Jan","ARM",-9.0319,21.5681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1901,2,"Armenia","Feb","ARM",-4.4966,19.1169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1901,3,"Armenia","Mar","ARM",4.00091,33.1647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1901,4,"Armenia","Apr","ARM",9.40377,44.6081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1901,5,"Armenia","May","ARM",12.2172,121.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1901,6,"Armenia","Jun","ARM",17.6246,85.8012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1901,7,"Armenia","Jul","ARM",21.0118,20.4549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1901,8,"Armenia","Aug","ARM",20.6235,21.2045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1901,9,"Armenia","Sep","ARM",14.7882,52.0515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1901,10,"Armenia","Oct","ARM",6.55509,96.7426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1901,11,"Armenia","Nov","ARM",1.5806,43.4114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1901,12,"Armenia","Dec","ARM",-1.183,22.6556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1902,13,"Armenia","Jan","ARM",-5.3981,16.6165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1902,14,"Armenia","Feb","ARM",-3.7787,24.5227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1902,15,"Armenia","Mar","ARM",0.46863,37.2335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1902,16,"Armenia","Apr","ARM",6.65706,50.8072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1902,17,"Armenia","May","ARM",12.1973,83.3514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1902,18,"Armenia","Jun","ARM",17.7119,55.7603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1902,19,"Armenia","Jul","ARM",19.6993,34.1756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1902,20,"Armenia","Aug","ARM",20.457,52.4311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1902,21,"Armenia","Sep","ARM",13.7272,51.0248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1902,22,"Armenia","Oct","ARM",7.79494,40.4121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
