"","Year","X","Country","Month","ISO3","Temperature....Celsius.","Rainfall....MM.","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
"1",1901,1,"Canada","Jan","CAN",-25.385,26.7066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1901,2,"Canada","Feb","CAN",-23.719,23.1429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1901,3,"Canada","Mar","CAN",-18.934,27.3765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1901,4,"Canada","Apr","CAN",-9.9643,25.0395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1901,5,"Canada","May","CAN",0.02289,32.5531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1901,6,"Canada","Jun","CAN",6.37951,49.6516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1901,7,"Canada","Jul","CAN",10.8978,53.7629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1901,8,"Canada","Aug","CAN",9.53889,46.4377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1901,9,"Canada","Sep","CAN",3.31492,47.1592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1901,10,"Canada","Oct","CAN",-3.3429,38.2776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1901,11,"Canada","Nov","CAN",-15.185,39.8858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1901,12,"Canada","Dec","CAN",-20.106,31.0667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1902,13,"Canada","Jan","CAN",-23.675,24.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1902,14,"Canada","Feb","CAN",-21.49,27.3406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1902,15,"Canada","Mar","CAN",-19.807,28.8618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1902,16,"Canada","Apr","CAN",-10.742,23.3909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1902,17,"Canada","May","CAN",-0.8764,40.6293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1902,18,"Canada","Jun","CAN",5.53744,52.7403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1902,19,"Canada","Jul","CAN",10.7308,56.2151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1902,20,"Canada","Aug","CAN",9.22725,59.8804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1902,21,"Canada","Sep","CAN",3.17026,45.7307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1902,22,"Canada","Oct","CAN",-3.5717,34.3857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1902,23,"Canada","Nov","CAN",-15.464,35.7023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1902,24,"Canada","Dec","CAN",-23.227,31.4951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1903,25,"Canada","Jan","CAN",-24.324,27.2359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1903,26,"Canada","Feb","CAN",-23.16,21.9856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1903,27,"Canada","Mar","CAN",-20.038,26.7612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1903,28,"Canada","Apr","CAN",-11.211,25.4332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1903,29,"Canada","May","CAN",-1.694,34.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1903,30,"Canada","Jun","CAN",7.09628,42.8789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1903,31,"Canada","Jul","CAN",10.606,59.1808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1903,32,"Canada","Aug","CAN",8.94099,58.0672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1903,33,"Canada","Sep","CAN",2.53082,50.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1903,34,"Canada","Oct","CAN",-4.4983,37.3389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1903,35,"Canada","Nov","CAN",-14.599,34.4299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1903,36,"Canada","Dec","CAN",-20.194,28.2254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1904,37,"Canada","Jan","CAN",-25.953,27.0459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1904,38,"Canada","Feb","CAN",-28.832,26.5707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1904,39,"Canada","Mar","CAN",-21.466,29.1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1904,40,"Canada","Apr","CAN",-9.1589,20.9551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1904,41,"Canada","May","CAN",-0.4453,30.4278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1904,42,"Canada","Jun","CAN",6.5527,48.9781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1904,43,"Canada","Jul","CAN",10.6491,57.0781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1904,44,"Canada","Aug","CAN",8.9177,48.9697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1904,45,"Canada","Sep","CAN",2.27902,50.8289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1904,46,"Canada","Oct","CAN",-3.9277,37.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1904,47,"Canada","Nov","CAN",-12.273,33.6222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1904,48,"Canada","Dec","CAN",-20.984,29.1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1905,49,"Canada","Jan","CAN",-25.506,24.5593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1905,50,"Canada","Feb","CAN",-23.658,22.0704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1905,51,"Canada","Mar","CAN",-17.369,22.9898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1905,52,"Canada","Apr","CAN",-8.8631,21.0626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1905,53,"Canada","May","CAN",0.07834,36.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1905,54,"Canada","Jun","CAN",6.6655,49.3712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1905,55,"Canada","Jul","CAN",11.0579,52.8548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1905,56,"Canada","Aug","CAN",9.59425,58.3288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1905,57,"Canada","Sep","CAN",3.34147,50.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1905,58,"Canada","Oct","CAN",-5.344,38.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1905,59,"Canada","Nov","CAN",-12.873,36.3562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1905,60,"Canada","Dec","CAN",-20.526,30.0227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1906,61,"Canada","Jan","CAN",-25.238,27.8011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1906,62,"Canada","Feb","CAN",-24.673,20.2337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1906,63,"Canada","Mar","CAN",-19.233,22.1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1906,64,"Canada","Apr","CAN",-8.763,21.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1906,65,"Canada","May","CAN",-0.4272,32.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",1906,66,"Canada","Jun","CAN",7.28629,55.2435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1906,67,"Canada","Jul","CAN",11.8487,47.8658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1906,68,"Canada","Aug","CAN",9.32755,48.2724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1906,69,"Canada","Sep","CAN",3.98207,48.4791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",1906,70,"Canada","Oct","CAN",-3.6013,43.8671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1906,71,"Canada","Nov","CAN",-14.182,41.3587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1906,72,"Canada","Dec","CAN",-23.736,34.2426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1907,73,"Canada","Jan","CAN",-28.388,26.3073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1907,74,"Canada","Feb","CAN",-25.956,22.7703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1907,75,"Canada","Mar","CAN",-20.65,27.2525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1907,76,"Canada","Apr","CAN",-13.092,24.4403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1907,77,"Canada","May","CAN",-2.0545,27.0793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1907,78,"Canada","Jun","CAN",6.28127,45.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1907,79,"Canada","Jul","CAN",10.3721,55.0222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1907,80,"Canada","Aug","CAN",8.01909,63.2169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1907,81,"Canada","Sep","CAN",2.68142,48.8606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1907,82,"Canada","Oct","CAN",-4.1062,32.2169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1907,83,"Canada","Nov","CAN",-13.626,32.0568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1907,84,"Canada","Dec","CAN",-19.773,27.3739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1908,85,"Canada","Jan","CAN",-23.367,23.6809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1908,86,"Canada","Feb","CAN",-23.408,30.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1908,87,"Canada","Mar","CAN",-21.744,29.1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1908,88,"Canada","Apr","CAN",-10.945,24.5836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1908,89,"Canada","May","CAN",-0.5596,33.8314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1908,90,"Canada","Jun","CAN",6.82614,50.2503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1908,91,"Canada","Jul","CAN",11.5057,50.4965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1908,92,"Canada","Aug","CAN",9.06858,52.6109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1908,93,"Canada","Sep","CAN",4.08489,40.1828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1908,94,"Canada","Oct","CAN",-4.5507,36.7354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1908,95,"Canada","Nov","CAN",-13.955,33.9938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",1908,96,"Canada","Dec","CAN",-21.788,26.8734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",1909,97,"Canada","Jan","CAN",-28.513,27.3838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",1909,98,"Canada","Feb","CAN",-26.248,26.8423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",1909,99,"Canada","Mar","CAN",-18.127,28.3671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1909,100,"Canada","Apr","CAN",-13.048,23.0135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
