"","Year","X","Country","Month","ISO3","Temperature....Celsius.","Rainfall....MM.","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
"1",1901,1,"Gabon","Jan","GAB",25.3691,170.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1901,2,"Gabon","Feb","GAB",25.6487,128.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1901,3,"Gabon","Mar","GAB",25.2384,278.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1901,4,"Gabon","Apr","GAB",25.6844,244.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1901,5,"Gabon","May","GAB",24.7061,219.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1901,6,"Gabon","Jun","GAB",23.5796,61.0609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1901,7,"Gabon","Jul","GAB",22.8908,17.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1901,8,"Gabon","Aug","GAB",22.7422,10.8277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1901,9,"Gabon","Sep","GAB",23.9994,62.1592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1901,10,"Gabon","Oct","GAB",25.1318,179.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1901,11,"Gabon","Nov","GAB",25.0326,226.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1901,12,"Gabon","Dec","GAB",24.9693,117.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1902,13,"Gabon","Jan","GAB",25.6691,128.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1902,14,"Gabon","Feb","GAB",25.098,92.0594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1902,15,"Gabon","Mar","GAB",25.6544,246.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1902,16,"Gabon","Apr","GAB",25.4464,226.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1902,17,"Gabon","May","GAB",24.9988,185.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1902,18,"Gabon","Jun","GAB",24.0796,25.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1902,19,"Gabon","Jul","GAB",22.7908,6.2766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1902,20,"Gabon","Aug","GAB",23.6422,32.5843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1902,21,"Gabon","Sep","GAB",24.6994,67.7502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1902,22,"Gabon","Oct","GAB",25.1318,233.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1902,23,"Gabon","Nov","GAB",25.0326,236.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1902,24,"Gabon","Dec","GAB",24.9693,193.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1903,25,"Gabon","Jan","GAB",26.0691,123.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1903,26,"Gabon","Feb","GAB",25.998,126.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1903,27,"Gabon","Mar","GAB",26.1696,298.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1903,28,"Gabon","Apr","GAB",25.8651,223.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1903,29,"Gabon","May","GAB",25.2734,202.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1903,30,"Gabon","Jun","GAB",23.4796,25.3556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1903,31,"Gabon","Jul","GAB",22.9908,19.1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1903,32,"Gabon","Aug","GAB",23.5422,24.4515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1903,33,"Gabon","Sep","GAB",24.9994,174.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1903,34,"Gabon","Oct","GAB",25.1318,279.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1903,35,"Gabon","Nov","GAB",25.0326,197.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1903,36,"Gabon","Dec","GAB",24.9693,150.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1904,37,"Gabon","Jan","GAB",25.6691,142.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1904,38,"Gabon","Feb","GAB",25.298,126.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1904,39,"Gabon","Mar","GAB",25.2619,237.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1904,40,"Gabon","Apr","GAB",25.4106,245.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1904,41,"Gabon","May","GAB",25.0742,162.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1904,42,"Gabon","Jun","GAB",23.8796,78.4138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1904,43,"Gabon","Jul","GAB",22.2908,6.99484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
