"","Year","X","Country","Month","ISO3","Temperature....Celsius.","Rainfall....MM.","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
"1",1901,1,"Russia","Jan","RUS",-29.268,16.8664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1901,2,"Russia","Feb","RUS",-22.378,15.4467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1901,3,"Russia","Mar","RUS",-15.53,17.0428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1901,4,"Russia","Apr","RUS",-6.1767,23.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1901,5,"Russia","May","RUS",2.52603,28.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1901,6,"Russia","Jun","RUS",11.0834,37.2956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1901,7,"Russia","Jul","RUS",14.1427,55.3841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1901,8,"Russia","Aug","RUS",12.008,59.8041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1901,9,"Russia","Sep","RUS",4.67951,38.6024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1901,10,"Russia","Oct","RUS",-6.4812,27.6649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1901,11,"Russia","Nov","RUS",-17.308,30.2672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1901,12,"Russia","Dec","RUS",-26.783,24.9983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1902,13,"Russia","Jan","RUS",-28.835,20.7964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1902,14,"Russia","Feb","RUS",-24.389,15.6696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1902,15,"Russia","Mar","RUS",-19.914,18.4862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1902,16,"Russia","Apr","RUS",-9.7709,18.9577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1902,17,"Russia","May","RUS",0.39964,29.5798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1902,18,"Russia","Jun","RUS",9.78632,48.5079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1902,19,"Russia","Jul","RUS",14.7079,57.6636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1902,20,"Russia","Aug","RUS",11.4739,61.3739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1902,21,"Russia","Sep","RUS",5.01936,48.7506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1902,22,"Russia","Oct","RUS",-8.2628,32.7596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1902,23,"Russia","Nov","RUS",-22.062,22.0308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1902,24,"Russia","Dec","RUS",-27.556,20.7672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1903,25,"Russia","Jan","RUS",-27.244,19.2423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1903,26,"Russia","Feb","RUS",-20.479,16.2769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1903,27,"Russia","Mar","RUS",-16.437,14.7867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1903,28,"Russia","Apr","RUS",-7.6843,20.8607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1903,29,"Russia","May","RUS",2.05665,32.9919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1903,30,"Russia","Jun","RUS",9.90889,46.9452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1903,31,"Russia","Jul","RUS",14.9618,55.9846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1903,32,"Russia","Aug","RUS",11.4819,67.6503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1903,33,"Russia","Sep","RUS",5.23789,46.8051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1903,34,"Russia","Oct","RUS",-6.3489,34.0438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1903,35,"Russia","Nov","RUS",-16.36,23.5462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1903,36,"Russia","Dec","RUS",-27.245,17.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1904,37,"Russia","Jan","RUS",-26.724,16.1434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1904,38,"Russia","Feb","RUS",-25.614,19.8276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1904,39,"Russia","Mar","RUS",-16.204,11.8412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1904,40,"Russia","Apr","RUS",-7.258,16.7656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1904,41,"Russia","May","RUS",2.11244,34.1458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1904,42,"Russia","Jun","RUS",10.0392,50.5998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1904,43,"Russia","Jul","RUS",13.6832,58.8289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1904,44,"Russia","Aug","RUS",12.1117,59.6673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1904,45,"Russia","Sep","RUS",4.42063,38.5878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1904,46,"Russia","Oct","RUS",-5.1575,29.8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1904,47,"Russia","Nov","RUS",-15.065,25.8623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1904,48,"Russia","Dec","RUS",-24.562,22.3961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1905,49,"Russia","Jan","RUS",-25.252,18.3311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1905,50,"Russia","Feb","RUS",-24.238,12.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1905,51,"Russia","Mar","RUS",-17.887,12.9059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
