"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,21.9,25.5,19.6,1.02,26.4,5,0,0,2,1,0
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,11,0,1,1,0,0
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,23.7,27,21.3,195.83,24.5,17,0,4,0,0,0
1980,23.4,26.8,21.1,102.87,23.1,21,1,1,1,1,0
1981,23.2,26.5,20.9,201.16,24.5,15,1,2,1,0,0
1982,NA,NA,NA,NA,NA,17,0,0,0,0,0
1983,23.4,27.1,20.6,154.94,25.2,18,0,4,0,0,1
1984,22.9,26.5,20.2,2.28,25.4,23,0,1,0,0,0
1985,23,26.5,20.6,58.92,24.4,24,0,4,0,0,0
1986,22.7,26,20.3,3.05,25.9,32,0,4,1,0,3
1987,23.8,27.6,21,98.79,23.4,24,0,5,0,0,3
1988,23.3,26.8,20.9,41.66,23.3,35,0,3,0,0,0
1989,23.4,27.1,21.1,35.56,24.5,22,0,6,0,0,0
1990,23.9,27.6,21.5,152.66,23.6,33,1,10,2,1,1
1991,23.2,26.7,20.9,206.74,24.3,28,2,3,2,0,2
1992,23.3,26.9,20.9,159.24,24.6,24,0,4,1,0,2
1993,23.2,26.6,20.8,242.82,26.1,19,0,1,0,0,0
1994,23.2,26.8,20.7,239.28,26,15,0,2,0,0,0
1995,24.2,27.9,21.7,193.03,23.8,16,0,2,0,0,0
1996,24.3,27.8,21.8,116.07,26.3,18,0,3,1,0,1
1997,24.2,27.8,21.9,128.53,26.2,23,0,2,1,0,0
1998,24.5,28,22.1,158.99,22.4,23,0,4,0,0,0
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,24.3,27.5,21.7,NA,22.4,22,0,0,0,0,0
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,23.7,26.9,21.5,78.74,22.6,24,0,4,0,0,0
2004,23.6,27,21.4,76.95,21.6,25,0,1,0,0,0
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,23.9,27.5,21.8,NA,19.7,20,0,3,0,0,1
2007,23.4,26.5,21.3,NA,20.9,22,0,5,0,0,0
2008,23.8,26.7,21.7,NA,19.6,27,0,2,0,0,1
2009,23.7,27,21.7,NA,20.1,31,0,6,2,0,0
2010,24.9,28.3,22.5,NA,20.5,30,0,6,0,0,0
2011,24.5,28,21.95,138.19,22.8,27,0,2.5,0,0,0
2012,24.3,28.15,21.5,551.7,22.45,32.5,0,8.5,0.5,0,0.5
2013,24.1,28.1,21.4,98.28,22.3,35,0,5,0,0,0
2014,23.7,27.4,21.1,NA,22.7,23,1,0,0,0,0
2015,23.9,27.6,21.5,73.4,22.6,27,0,7,0,0,0
2016,24.4,28.1,21.7,103.89,21.9,26,0,7,0,0,0
2017,24.7,28.6,21.6,NA,21.5,22,0,6,1,0,0
2018,NA,NA,NA,NA,NA,22,0,1,0,0,0
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
