"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,25.3,27.85,23.05,1515.15,20.4,123,0.5,9,1,2,0.5
1979,25.35,28.2,22.4,1665.4,19.85,108,0,8.5,0,4.5,1
1980,25.15,28.2,22.15,1887.405,20,139.5,0.5,10,0.5,2.5,1
1981,25.2,28.35,22.15,2660.345,19.05,132,0,8.5,0.5,3.5,1
1982,NA,NA,NA,NA,NA,143,0,11,1,0,0
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,23.4,27.2,19.9,1625.87,17.4,141,0,2,0,1,0
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,23.8,27.5,20.1,1612.35,18.3,110,0,10,0,0,0
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,24.1,28,20.4,1405.13,18.1,99.5,0,9,0,0,0
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,26,28.4,23.5,1546,27.5,109.5,0,5,0,1.5,0
1993,24.9,28.15,21.95,1848.57,22.75,114,0,9.5,0,0,0
1994,25.25,28.25,22.4,1379.1,21.9,118.5,0,2,0,0,0
1995,24.95,28,22.4,1290.445,22.75,127.5,0.5,4.5,0,0,0
1996,25.78,28.96,22.64,1044.156,16.85,78,0,10.6,0,0.2,0.2
1997,26.06,29.04,22.94,1540.82,18.15,74.6,0.4,11.6,0,0.4,0
1998,26.38,29.46,22.925,1052.71,16.8,72,0.2,8.6,0.8,0.6,0
1999,25.76,29.08,22.84,NA,17.82,67.8,0,4.8,0,0,0.2
2000,25.5333333333333,28.5666666666667,22.9666666666667,800.325,21.0333333333333,79.6666666666667,0,1.66666666666667,0,0,0
2001,24.4,28,20.7,NA,20.9,135,0,13,0,0,0
2002,NA,NA,NA,NA,NA,153,0,7,0,0,0
2003,25.2,27.9,21.55,1898.67,20.25,117.5,0,13,0,0,0
2004,25.1,27.95,21.65,1461.35,21.1,127,0,10,0,0,0
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,24.95,27.8,21.5,1936.04,20.9,124,0,9.5,2,0,0
2007,24.2,27.6,21,1608.39,22,177,0,6,26,0,0
2008,25.35,28.575,22.2,609.13,20.4,61,0,4,1,0.25,0
2009,25.8666666666667,28.9333333333333,22.3333333333333,973.49,16.3,80.6666666666667,0,10.6666666666667,0,0,0
2010,25.9,29.1,22.5,1111.645,16.4,88,0,5.33333333333333,0.666666666666667,0,0
2011,26.0666666666667,29.0333333333333,22.8333333333333,1182.77,17.85,72,0,13.3333333333333,0,0.666666666666667,0
2012,25.35,28.15,21.95,1496.35,21.2,113,0,8.5,2,0,0
2013,25.05,28.675,22.2,917.786666666667,15.1,61.75,0,3.75,1.5,0,0
2014,24.8333333333333,28.6333333333333,21.75,772.5,16.9333333333333,85,0,3.66666666666667,2.33333333333333,0,0.666666666666667
2015,25.1,28.8,23.55,1002.15,18.275,66.25,0,3.25,3,0,0
2016,24.875,28.85,22.85,540.546666666667,14.925,67,0,1.75,0.75,0,0
2017,25.94,29.6,24.6666666666667,457.565,18.7,45.5,0,2,0,0,0
2018,23.4,28.5,NA,2122.4,18.1,138,0,15.5,4,0,0
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
