"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,29.6,36.5,22.8,NA,16.8,36,0,15,0,0,0
1944,27.2,35.0333333333333,19.5666666666667,NA,13.8,48.6666666666667,0,37.6666666666667,1.33333333333333,0,0
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,26.1,29.6,23.1,NA,6.9,131,0,32,0,0,0
1954,25.8,29.8,23.1,NA,7.3,162,0,88,0,0,0
1955,25.9,29.6,23.2,NA,6.9,146,0,60,0,0,0
1956,26.1,30,23.3,NA,7.2,146,0,109,0,0,0
1957,25.9,29.6,23.4,NA,8.4,140,0,72,0,0,0
1958,28.4583333333333,36.0916666666667,21.425,320.223333333333,10.375,25,0,21.8333333333333,0.416666666666667,0,0
1959,27.6272727272727,35.8545454545455,20.7,304.69,10.4363636363636,29.6666666666667,0,19.5,0.0833333333333333,0.0833333333333333,0.0833333333333333
1960,28.2076923076923,36.6615384615385,20.8923076923077,281.525384615385,9.76923076923077,25,0,23,0.0769230769230769,0,0
1961,27.1545454545455,35.2909090909091,20.3454545454545,308.775454545455,11.72,31,0.25,19.25,0.5,0,0
1962,28.4,36.5125,21.5125,255.4975,12.3833333333333,26.4444444444444,0,24.5555555555556,0.333333333333333,0,0
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,115,0,39,0,0,0
1995,27.0333333333333,31.1666666666667,23.3333333333333,2168.31666666667,4.7,167.333333333333,0,53.6666666666667,0,0.333333333333333,0
1996,26.6,30.8,23.3,3220.76,4,189,0,83,0,0,0
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,30.6,38.4,NA,NA,16.4,23,0,9,0,0,0
2009,31.2,38.4,NA,NA,16.1,17,0,9,0,0,0
2010,27.3666666666667,31.3,24.0666666666667,3052.34,5.73333333333333,194,0,59,0,0.333333333333333,0
2011,27.875,32.85,23.875,2249.495,8.85,133.75,0,45.5,0,0,0
2012,28.8,34.5,24,NA,13,91.5,0,33,0.5,0,0
2013,29,34.5,24.25,NA,12.45,89,1.5,26.5,0,0,0
2014,28.2333333333333,32.6,24.4,2686.01,9.5,116.333333333333,0,28.6666666666667,0,0,0
2015,28.4333333333333,32.7,24.7,2186.555,9.9,118.75,0.5,30.75,0,0,0
2016,29.05,34.35,24.4,1866.42,12.25,119.333333333333,0,32,0,0,0
2017,29,34.45,24.25,NA,12.8,112.5,0,39,0,0,0
2018,28.65,34.15,23.95,NA,12.4,90.5,0,38,0,0,0
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
