"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,20.1375,25.89375,12.40625,629.365384615385,9.79375,65.75,0,32.9375,24.1875,0.0625,0
1964,20.4941176470588,26.2823529411765,12.5411764705882,602.793846153846,10.2823529411765,62.2777777777778,0,35.8888888888889,14.4444444444444,0,0.0555555555555556
1965,20.2411764705882,25.9705882352941,12.1705882352941,411.768888888889,10.6058823529412,55.6470588235294,0,34.8823529411765,13.5294117647059,0,0.117647058823529
1966,21.1444444444444,26.6888888888889,13.6722222222222,745.028181818182,10.3611111111111,74.6111111111111,0,49.0555555555556,16.1666666666667,0,0.111111111111111
1967,20.6368421052632,26.0947368421053,13.5526315789474,683.988,10.4473684210526,77.4736842105263,0,43.6842105263158,21.6842105263158,0,0.105263157894737
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,18.2,24.7,13.2,NA,11.4,125,0,63,14,1,0
1979,21.0714285714286,27.6,13.7714285714286,761.714,11.1571428571429,68.2857142857143,0,33.7142857142857,5.14285714285714,0,0.142857142857143
1980,18.2,24.9,13,NA,12.4,102,0,53,5,0,1
1981,18.575,25.3,12.8333333333333,996.89,10.8666666666667,113,0.5,57.75,44,0.25,0
1982,19.3333333333333,25.8,12.9333333333333,NA,13,64.5,0,38.75,31,0.625,0.25
1983,21.06,27.86,14.42,310.195,12.04,66.6666666666667,0,39.6666666666667,10.5,0.666666666666667,0.333333333333333
1984,19,25.6,12.9666666666667,558.225,12.3833333333333,80.5714285714286,0,48.1428571428571,18.8571428571429,0.285714285714286,0.142857142857143
1985,20.25,26.9333333333333,13.7166666666667,681.486666666667,10.6166666666667,85.3333333333333,0,41.5,20.3333333333333,0.166666666666667,0.166666666666667
1986,19.84,26.84,13.24,443.313333333333,11.28,75.2857142857143,0,43.2857142857143,26.7142857142857,0.285714285714286,0.285714285714286
1987,21.53,28.36,13.98,508.146666666667,10.57,63,0,44.7,8.7,0.1,0.4
1988,20.4714285714286,26.9428571428571,13.5285714285714,645.22,12.0857142857143,74.3333333333333,0,42.7777777777778,20.5555555555556,0.222222222222222,0.444444444444444
1989,20.6857142857143,27.3571428571429,13.6714285714286,451.2425,12.3166666666667,88.5,0.125,45.625,18.75,0.125,0.875
1990,19,25.4,13.5,NA,12.7,92.8,0.2,49,26,0.2,0.4
1991,19.35,26.275,12.725,402.426666666667,14.55,76,0,45.25,19,0,0.5
1992,19.7,25.9,13.9,NA,12.8,70,1,42,3,0,2
1993,21.55,27.35,14.825,518.95,9.225,72.1666666666667,0,57,5.16666666666667,0,0.333333333333333
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,19.4,26.3,13.7,NA,12.4,97,0,53,54,0,0
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,19.8,26,13.8,NA,12,99,0,61,20,1,0
2011,19.6,26,13.5,NA,11.5,107,0,65,24,0,0
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,19.9666666666667,26.4,12.2333333333333,NA,12,76,0,49,3.66666666666667,0,0.333333333333333
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,20.9,27.55,13.2,NA,13.45,54,0,42.5,3,0,0
2016,20.75,27.35,13.55,NA,13.8,84,0,65,3,0,0
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
