"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1995","-","-","-","-","-","-","-","-","-","-","-"
"2","1996","-","-","-","-","-","-","-","-","-","-","-"
"3","1997","-","-","-","-","-","-","-","-","-","-","-"
"4","2001","-","-","-","-","-","-","-","-","-","-","-"
"5","2002","-","-","-","-","-","-","-","-","-","-","-"
"6","2003","-","-","-","-","-","-","-","-","-","-","-"
"7","2004","-","-","-","-","-","-","-","-","-","-","-"
"8","2005","-","-","-","-","-","-","-","-","-","-","-"
"9","2006","16.6","20.2","12.4","744.75","11.5","65","8","27","34","0","1"
"10","2007","-","-","-","-","-","-","-","-","-","-","-"
"11","2008","15.6","19.2","11.4","627.58","10.9","59","7","26","36","0","0"
"12","2009","16.2","19.6","12.0","753.63","11.8","74","6","31","39","0","2"
"13","2010","15.7","19.4","11.4","776.23","11.7","70","5","10","60","0","0"
"14","2011","16.2","19.9","11.8","853.70","9.2","65","5","22","44","0","1"
"15","2012","16.5","20.3","11.9","787.68","9.2","62","16","17","54","1","2"
"16","2013","15.2","18.9","10.9","845.88","10.3","78","9","24","51","0","2"
"17","2014","-","-","-","-","-","-","-","-","-","-","-"
"18","2015","16.8","20.8","12.1","703.50","8.0","43","10","19","39","0","2"
"19","2016","16.5","20.5","11.7","773.62","11.8","56","5","15","43","0","0"
"20","2017","16.8","19.7","12.2","817.14","10.9","46","10","19","29","0","0"
"21","2018","-","-","-","-","-","53","9","15","49","0","0"
"22","2019","-","-","-","-","-","-","-","-","-","-","-"
