"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,-4.1,-0.5,-7.3,NA
1988,-4,-0.6,-6.9,1134.13
1989,-1.6,1.1,-3.9,1081.85
1990,-2.7,0.3,-5.4,NA
1991,-4.4,-0.9,-7.5,NA
1992,NA,NA,NA,NA
1993,-2.4,1.1,-5.2,761.86
1994,-3.8,-0.1,-6.7,641.74
1995,NA,NA,NA,NA
1996,-2.7,0.6,-5.6,7689.81
1997,NA,NA,NA,NA
1998,NA,NA,NA,NA
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,NA,NA,NA,NA
2002,NA,NA,NA,NA
2003,NA,NA,NA,NA
2004,NA,NA,NA,NA
2005,NA,NA,NA,NA
2006,-2.8,0.7,-6.1,NA
2007,-3.4,0.1,-7.3,2907.06
2008,-2.3,1,-5.5,1525.55
2009,-2.7,0.2,-5.6,930.71
2010,-2.1,1.3,-5.2,NA
2011,NA,NA,NA,NA
2012,-3.8,-0.4,-7,NA
2013,-3.2,-0.2,-6.3,1351.25
2014,-3.6,0,-6.8,1215.4
2015,-3.9,-0.2,-7.8,NA
2016,-3.1,0.4,-6.5,NA
2017,NA,NA,NA,NA
2018,NA,NA,NA,NA
2019,NA,NA,NA,NA
