"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1941","-","-","-","-","-","-","-","-","-","-","-"
"2","1942","26.9","28.5","25.3","-","21.0","157","0","8","4","0","0"
"3","1943","26.4","28.3","24.6","-","22.8","164","0","19","2","0","0"
"4","1944","26.5","28.5","24.6","-","21.6","165","0","8","0","0","0"
"5","1945","26.4","28.4","24.7","-","23.6","154","0","12","0","0","0"
"6","1946","-","-","-","-","-","-","-","-","-","-","-"
"7","1947","26.9","29.3","24.9","-","20.1","129","0","0","0","0","0"
"8","1948","26.8","29.3","24.7","-","20.0","110","0","9","3","0","0"
"9","1949","-","-","-","-","-","-","-","-","-","-","-"
"10","1985","-","-","-","-","-","-","-","-","-","-","-"
"11","1986","-","-","-","-","-","-","-","-","-","-","-"
"12","1987","-","-","-","-","-","-","-","-","-","-","-"
"13","1988","-","-","-","-","-","-","-","-","-","-","-"
"14","1989","-","-","-","-","-","-","-","-","-","-","-"
