"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,27.9,30.6,24.7,NA,15.3,153,0,12,0,0,0
1993,27.9,30.4,24.7,1951.22,14.8,178,0,10,0,0,0
1994,28,30.9,24.4,2607.6,12.1,172,0,16,0,0,0
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,28.6,30.7,26.8,NA,17.9,175,1,10,0,0,0
2002,NA,NA,NA,NA,NA,181,0,15,0,0,0
2003,28.7,30.9,26.8,NA,16.1,168,1,25,0,0,0
2004,28.6,30.8,26.8,NA,16.7,169,0,16,0,1,0
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,28.7,30.9,26.8,NA,16.6,175,0,45,0,1,0
2007,28.8,31,26.8,352.52,16.9,159,0,64,0,0,1
2008,28.6,30.8,26.2,NA,15.4,170,0,51,0,0,0
2009,28.9,30.9,26.7,NA,16.1,159,0,60,0,0,0
2010,29,30.7,27.2,NA,17.5,151,0,38,0,0,0
2011,28.9,30.8,26.9,NA,14.7,146,0,43,0,0,0
2012,29,31.2,26.4,261.32,14.7,173,0,50,0,0,0
2013,28.45,30.95,25.75,476.595,13.65,164.6,0,26.2,0,0,0
2014,28.48,31.22,25.74,270.864,12.18,158.6,0,26.4,0.4,0.2,0
2015,28.66,31.4,25.72,304.59,10.74,164.4,0,34.8,0.2,0.2,0
2016,29.2,31.2,26.5,208.71,17.4,200,0,51,0,0,0
2017,29,31.1,26.6,NA,16.3,154,0,58,0,0,0
2018,28.9,31,26.4,NA,15.5,174,0,53,1,0,0
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
