"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1944,NA,NA,NA,NA
1945,27.4,31,24.9,NA
1946,27.4,32.5,23.7,NA
1947,26.1,31.3,22.3,NA
1948,26,31,22.4,NA
1949,26.3,31.4,22.5,NA
1950,26,31.1,22.5,NA
1951,26.95,31,24,NA
1952,27.1,31.15,24.2,NA
1953,27.1,31.1,24.25,NA
1954,26.2222222222222,30.2777777777778,22.6777777777778,1881.89
1955,26.0454545454545,29.8454545454545,22.5363636363636,1817.00333333333
1956,26.9166666666667,30.8,23.4166666666667,2163.07
1957,26.2375,30,22.6125,1259.73
1958,27.2222222222222,30.7222222222222,23.6,2072.97
1959,27.225,30.8916666666667,23.65,1927.682
1960,27.10625,30.69375,23.85,2156.318
1961,26.94,30.66,23.48,1772.7175
1962,26.4055555555556,30.1277777777778,23.2,1783.232
1963,26.1235294117647,30.1823529411765,22.6294117647059,1813.86857142857
1964,26.7,30.6,23.9,NA
1965,26.4,30.25,23.65,NA
1966,27.2333333333333,30.7333333333333,24.4,NA
1967,26.8333333333333,30.2666666666667,24.1333333333333,NA
1968,26.9666666666667,30.7333333333333,24.1,NA
1969,27.2,31.2,24.2,NA
1970,27.45,31.4,24.5,NA
1971,NA,NA,NA,NA
1973,27.575,31.675,24.45,NA
1974,27.0333333333333,31.2,23.8,NA
1975,27.14,31.28,23.8,NA
1976,27.12,30.975,23.725,2902.74
1977,27.3857142857143,30.9571428571429,24.4,1603.13333333333
1978,26.2818181818182,30.2,23.1,3116.94333333333
1979,26.8307692307692,31.2153846153846,22.8846153846154,1820.925
1980,26.58,31.11,22.78,1908.69555555556
1981,26.075,30.5875,22.2857142857143,2295.63571428571
1982,27.3,31.62,23.5,1646.5025
1983,26.68,31.08,22.85,896.768333333333
1984,27.3125,31.55,23.6125,1340.21
1985,26.8454545454545,30.8181818181818,23.1636363636364,957.505
1986,26.9846153846154,31.0153846153846,23.2153846153846,1181.116
1987,27.8333333333333,32.7666666666667,23.8,1717.42
1988,26.85,31.0666666666667,23.2833333333333,1683.86666666667
1989,26.5923076923077,30.8923076923077,22.9615384615385,2105.6
1990,26.4222222222222,30.8555555555556,22.8,2543.75625
1991,27.02,31.18,23.208,1683.78125
1992,26.74,31.052,22.896,1710.8068
1993,26.965625,31.0625,23.234375,2048.45935483871
1994,26.9179487179487,31.0358974358974,23.1564102564103,2029.34102564103
1995,26.7434782608696,30.6739130434783,23.1869565217391,2594.23739130435
1996,26.5538461538462,30.6615384615385,22.9692307692308,2219.36666666667
1997,27.9,31.95,24.3,1106.32
1998,28.46,32.7,24.52,1152.782
1999,25.86,30.26,22.22,NA
2000,27.825,31.45,24.525,NA
2001,27.925,31.525,24.675,NA
2002,NA,NA,NA,NA
2003,27.35,31.75,23.475,1758.83333333333
2004,27.2692307692308,31.3807692307692,23.4346153846154,2129.86708333333
2005,NA,NA,NA,NA
2006,27.3710526315789,31.2105263157895,23.7842105263158,2660.11454545455
2007,27.2289473684211,31.2684210526316,23.4342105263158,1985.322
2008,26.9853658536585,30.9243902439024,23.3731707317073,3389.03181818182
2009,26.9714285714286,30.8952380952381,23.3547619047619,2814.44918918919
2010,27.3595238095238,31.6857142857143,23.3952380952381,2212.24277777778
2011,26.7681818181818,30.7022727272727,23.1227272727273,3609.14162162162
2012,27.1021276595745,31.0978723404255,23.3851063829787,3119.20888888889
2013,27.206976744186,31.1093023255814,23.4906976744186,2783.8872972973
2014,26.9869565217391,30.9869565217391,23.2847826086957,2597.40069767442
2015,27.1744680851064,31.2425531914894,23.3765957446809,2091.08829268293
2016,27.4895833333333,31.4770833333333,23.7541666666667,2571.23214285714
2017,27.2061224489796,31.0877551020408,23.6020408163265,2990.02088888889
2018,27.2291666666667,31.1520833333333,23.6166666666667,2932.3825
2019,NA,NA,NA,NA
