"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,26.8,33,22,NA,16.8,30,0,0,29,0,1
1979,27.4,33.5,22.5,84.34,14.9,27,0,7,19,0,0
1980,27.2,33.3,22.4,64.78,15,32,0,9,31,0,0
1981,27,33.4,22.5,27.44,14.5,37,0,5,21,0,2
1982,25.8,31.8,21,NA,15.4,45,0,18,13,0,0
1983,25.9,31.8,21.2,NA,15.4,36,0,8,17,0,2
1984,26.6,32.8,21.5,0.25,15.7,17,1,6,22,0,1
1985,26.9,33.2,21.8,0,15.1,22,0,1,24,0,0
1986,26.8,32.8,22.2,0,14.5,32,0,6,13,0,0
1987,27.2,33.2,22.2,0,14.6,21,0,3,24,1,0
1988,27.5,31.7,22.85,NA,15.95,23,0,8.5,8,0.5,0
1989,26.5,32.3,21.7,NA,14.3,33,0,9,13,0,0
1990,27,32.9,22.1,NA,NA,31,0,6,8,0,1
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,26,31.6,21.3,NA,14.6,48,1,14,10,0,0
1993,27,32.7,22.2,NA,14.1,33,0,6,11,0,0
1994,27.4,33,23,NA,15.2,21,0,7,13,0,0
1995,27,32.4,22.6,NA,14.1,46,0,9,12,0,0
1996,27.5,32.9,23,NA,12.8,39,0,11,11,0,0
1997,27.1,32.5,22.4,85.85,13.6,45,1,21,9,0,0
1998,28.4,33.9,23.8,71.88,12.8,21,0,4,8,0,0
1999,28.6,34,23.9,NA,13.3,17,0,6,6,0,0
2000,27.9,33.4,23.4,61.95,13.7,15,0,3,17,0,0
2001,28.3,34,23.5,12.94,14,9,0,4,13,0,0
2002,NA,NA,NA,NA,NA,31,0,2,7,0,0
2003,28.2,33.8,23.8,76.72,14.1,28,4,13,9,0,0
2004,28.2,33.9,23.6,53.08,14.5,24,0,9,4,0,0
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,28.2,33.5,23.9,111.26,13.3,34,0,10,2,0,1
2007,28.3,33.6,23.9,25.91,12.2,21,0,7,7,0,0
2008,28.1,33.6,23.8,48.75,13.9,15,0,4,5,0,0
2009,28.5,33.8,24.2,NA,14,27,0,10,4,0,0
2010,29.1,34.6,24.9,31.76,12.9,22,0,10,7,0,0
2011,28.5,33.7,24.4,42.66,14.4,24,0,4,1,0,1
2012,28.8,33.8,24.6,23.88,13.5,25,0,8,5,0,0
2013,28.5,33.4,24.5,54.87,13.9,20,0,4,4,0,0
2014,28.9,33.8,24.9,NA,13.2,33,0,9,3,0,0
2015,29.1,34.3,24.9,NA,13.1,25,0,6,6,0,0
2016,28.9,33.9,24.9,163.85,12.7,26,0,11,8,0,0
2017,29.1,34,25.2,NA,13.3,35,0,13,3,0,0
2018,29.4,34.2,25.5,NA,13.4,20,0,18,6,0,0
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
