"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,-6.5,0.35,-14.3,NA,7.2,31,63,2,33,0,0
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,-5.4,2.6,-13.6,NA,9.4,40,33,10,6,0,0
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,-3.46666666666667,1.23333333333333,-9.45,NA,9.33333333333333,82,124.333333333333,2.66666666666667,39,0,1.66666666666667
1960,-5.22,0.2,-11.6,4080.19,8.62,71.8,111.6,11.2,42.8,0,1.2
1961,-4.675,0.6375,-12.1285714285714,916.273333333333,10.3375,60.25,89.25,6.625,26.5,0,1.375
1962,-2.97777777777778,2.42222222222222,-9.17777777777778,1048.785,11.4444444444444,56.7777777777778,84.1111111111111,7.77777777777778,25.3333333333333,0,1
1963,-3.48888888888889,1.67777777777778,-9.7,1271.99,12.6111111111111,56.4444444444444,93.3333333333333,7.66666666666667,26.2222222222222,0,1.44444444444444
1964,-2.08,2.81,-7.63,986.96,13.73,65.2,87.9,8.4,28.5,0,0.7
1965,-2.34,2.66,-8.04,1105.605,12.25,73,110.6,7.7,29.1,0,0.3
1966,-1.45454545454545,3.62727272727273,-7.17272727272727,540.465555555556,14.9727272727273,57.6666666666667,81.9166666666667,10.0833333333333,23.5833333333333,0,0.5
1967,0.2,5.36153846153846,-5.43076923076923,1073.352,14.1153846153846,61,79.8461538461538,11.1538461538462,21.5384615384615,0,1.76923076923077
1968,-1.2,3.98461538461538,-6.81538461538462,694.76,14.0692307692308,61.6153846153846,86.5384615384615,7.76923076923077,22.6153846153846,0,1.07692307692308
1969,-3.89677419354839,0.790322580645161,-9.06774193548387,866.573846153846,13.8064516129032,68.9032258064516,98.9032258064516,7.96774193548387,28.8709677419355,0.0645161290322581,1.32258064516129
1970,-2.5972972972973,2.38648648648649,-8.09189189189189,1002.62956521739,13.1972972972973,70.5263157894737,94.4473684210526,9.44736842105263,28.0789473684211,0.105263157894737,1.81578947368421
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,-3.25217391304348,1.58695652173913,-8.55652173913044,511.003157894737,13.9260869565217,71.3478260869565,96.3478260869565,10.8695652173913,31.6086956521739,0,4.21739130434783
1974,-3.24230769230769,1.44782608695652,-8.372,440.079090909091,15.62,68.6428571428571,91.3571428571429,12.3214285714286,22.6785714285714,0,4.21428571428571
1975,-1.58536585365854,3.56829268292683,-7.29756097560976,472.696842105263,13.4666666666667,68.5476190476191,98.4761904761905,9.83333333333333,28.8809523809524,0.0476190476190476,1.28571428571429
1976,-1.96279069767442,3.3046511627907,-7.4175,442.385428571429,12.425641025641,64.8139534883721,86.953488372093,11.6744186046512,27.3720930232558,0.0232558139534884,1.55813953488372
1977,-0.438235294117647,4.88181818181818,-6.00606060606061,478.122068965517,12.2242424242424,67.4117647058823,78.1470588235294,9.88235294117647,25.2647058823529,0.0294117647058824,1.67647058823529
