"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1943,27.1,32,22.0666666666667,1775.26,7.53333333333333,92.6666666666667,0,60.6666666666667,9.33333333333333,0,0.333333333333333
1944,28,32.2,23.65,2250.28,5.8,90,0,91,14,0.5,0
1945,28.3,32.7,22.7,NA,4.3,89,0,70,20,0,0
1946,27.5,32.55,22.9,3380.26,9.35,134,0,64.5,17,0,0
1947,28.5,33.6,23.3,NA,8.2,91,0,23,124,0,1
1948,27.2666666666667,32.3,22.3,1446.36,9.66666666666667,96,0,34.6666666666667,24.6666666666667,0.333333333333333,0
1949,27.9,31.3,23.9,2047.38,13,91,1,34,18,0,0
1950,26.55,32.25,21.4,1600.79,4.7,126.5,0.5,55.5,31,0,0
1951,26.5333333333333,31.5,22.3666666666667,2631.56,4.2,126.333333333333,0,68,17,0.333333333333333,0
1952,26.7,31.8333333333333,22.4,2623.34,8.66666666666667,123.333333333333,0,57,9.66666666666667,0.333333333333333,0.333333333333333
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,27.45,32.325,22.625,NA,6.9,146.25,0.25,60,228.5,0.5,0
1955,26.75,31.825,22.1,NA,9.975,151.25,0.5,77.25,224.5,0.25,0
1956,26.85,31.775,22.375,NA,9.9,157.75,0,83.25,170,0,0.5
1957,27.3,32.525,22.975,NA,9.575,130.5,0,67,152.5,0,0.25
1958,27.375,32.55,23.15,NA,9.25,136.5,0,62.5,164.5,0,0.25
1959,27.425,32.6,23.275,NA,10.05,145.75,0,63.25,181.25,0.25,0.25
1960,28.1,32.9,24.1666666666667,NA,12.1666666666667,145.333333333333,0,71.6666666666667,122.666666666667,0,0.333333333333333
1961,27.1,32.05,22.975,NA,8.375,167.5,0,67.5,152,0,0.25
1962,27.125,31.98,21.86,1224.58,6.945,110.25,0.1,67.15,45.4,0.05,0.8
1963,27.5333333333333,32.0666666666667,23.6333333333333,NA,11.2,151.666666666667,0,71.6666666666667,144.666666666667,0,0.666666666666667
1964,27.6,32.2,23.7,NA,7.4,141,0,68,16,0,0
