"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1950,NA,NA,NA,NA
1951,NA,NA,NA,NA
1952,NA,NA,NA,NA
1953,NA,NA,NA,NA
1954,NA,NA,NA,NA
1955,NA,NA,NA,NA
1956,NA,NA,NA,NA
1957,26.1,29.9444444444444,22.9111111111111,NA
1958,25.9454545454545,30.1545454545455,22.6454545454545,NA
1959,26.1533333333333,30.2,23.0866666666667,NA
1960,26,30.1,22.8181818181818,2026.97
1961,25.76875,29.66875,22.5875,NA
1962,24.7666666666667,28.9888888888889,21.5111111111111,2168.562
1963,24.5823529411765,28.9352941176471,21.64375,1897.406
1964,26.2736842105263,30.0315789473684,22.7789473684211,1964.8475
1965,25.9,29.7333333333333,22.5388888888889,1922.1175
1966,26.9466666666667,31.42,23.7266666666667,NA
1967,26.2692307692308,30.7615384615385,22.5384615384615,NA
1968,26.9965517241379,31.6310344827586,22.9310344827586,NA
1969,27.2916666666667,31.8555555555556,23.1388888888889,NA
1970,26.668,30.956,22.832,NA
1971,26.1,29.6,23.1,NA
1972,NA,NA,NA,NA
1973,27.15,31.85,23.65,NA
1974,27.4,32.2,23.6,NA
1975,NA,NA,NA,NA
1976,23.12,26.5,20.2,NA
1977,24.05,27.5875,21.0875,NA
1978,24.0777777777778,27.4222222222222,21.3111111111111,NA
1979,25.4888888888889,28.6777777777778,22.8333333333333,NA
1980,25.2333333333333,28.3333333333333,22.6333333333333,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,27.3,31.9,23.6,396.97
1985,27.6,32.4,23.8,489.71
1986,27.3,32.4,23.4,734.82
1987,28,33.1,23.8,637.55
1988,27.9,33,23.9,455.18
1989,25.65,29.85,22.3,931.97
1990,27.9,33.3,24.2,821.68
1991,27.8,33,23.9,936.49
1992,25.6,30.1,22.25,598.44
1993,25.2631578947368,29.0736842105263,22.2368421052632,928.753571428571
1994,25.255,28.89,22.39,1988.21777777778
1995,25.8133333333333,29.4333333333333,22.96,1514.72357142857
1996,24.9578947368421,28.6947368421053,22.0210526315789,1991.30526315789
1997,25.5473684210526,29.2526315789474,22.6,1549.37894736842
1998,26.5764705882353,30.4294117647059,23.6,1881.50529411765
1999,25.1095238095238,28.8904761904762,22.152380952381,NA
2000,24.8681818181818,28.6181818181818,21.9136363636364,1986.17285714286
2001,25.0809523809524,28.9095238095238,22.1714285714286,1894.852
2002,NA,NA,NA,NA
2003,25.4666666666667,29.5238095238095,22.3857142857143,1631.63666666667
2004,24.9857142857143,28.9714285714286,21.9333333333333,1521.68619047619
2005,NA,NA,NA,NA
2006,25.5,29.95,22.175,1593.445
2007,25.0789473684211,29.0631578947368,21.9526315789474,1828.19055555556
2008,25.3,29.9,21.9,2342.345
2009,25.9333333333333,30.6,22.4666666666667,2193.55
2010,25.7142857142857,29.5809523809524,22.6380952380952,1983.0755
2011,24.5142857142857,28.0619047619048,21.7428571428571,1946.91
2012,25.4190476190476,29.0666666666667,22.5952380952381,1847.37578947368
2013,25.3045454545455,28.9090909090909,22.4136363636364,1984.0625
2014,25.3772727272727,29.1045454545455,22.3954545454545,1686.14157894737
2015,25.653125,29.003125,22.60625,1683.155
2016,25.8607142857143,29.3714285714286,22.7785714285714,1947.2125
2017,25.6035714285714,28.9107142857143,22.6928571428571,2617.702
2018,26.7833333333333,31.0333333333333,23.4333333333333,2408.41
2019,NA,NA,NA,NA
