"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1997","-","-","-","-","-","-","-","-","-","-","-"
"2","1998","-","-","-","-","-","-","-","-","-","-","-"
"3","1999","-","-","-","-","-","-","-","-","-","-","-"
"4","2000","-","-","-","-","-","0","0","0","0","0","0"
"5","2001","17.8","21.4","14.3","911.08","18.7","0","0","0","0","0","0"
"6","2002","-","-","-","-","-","-","-","-","-","-","-"
"7","2003","-","-","-","-","-","-","-","-","-","-","-"
"8","2004","17.6","21.5","13.9","1116.82","18.0","0","0","0","0","0","0"
"9","2005","-","-","-","-","-","-","-","-","-","-","-"
"10","2006","17.6","21.7","13.9","821.37","18.8","89","0","0","0","0","0"
"11","2007","17.7","21.4","14.2","1353.05","18.2","106","0","0","0","0","0"
"12","2008","17.0","20.8","13.5","1113.00","18.8","98","0","0","0","0","0"
"13","2009","17.8","21.7","14.3","962.36","18.6","0","0","0","0","0","0"
"14","2010","17.6","21.2","14.3","1145.76","17.9","0","0","0","0","0","0"
"15","2011","17.4","21.0","14.2","1207.22","18.5","0","0","0","0","0","0"
"16","2012","17.2","20.9","13.8","1256.24","17.8","0","0","0","0","0","0"
"17","2013","18.0","21.4","15.0","1625.31","17.8","0","0","0","0","0","0"
"18","2014","17.8","20.7","15.5","1117.04","17.4","52","0","0","0","0","0"
"19","2015","17.6","20.7","14.3","1398.73","17.2","90","0","0","48","0","0"
"20","2016","18.3","21.6","14.7","1196.06","17.1","59","0","0","53","0","0"
"21","2017","18.1","21.4","14.5","863.28","17.5","63","0","0","54","0","0"
"22","2018","17.8","21.1","14.2","707.36","18.2","71","0","0","49","0","0"
"23","2019","-","-","-","-","-","-","-","-","-","-","-"
