"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1952","-","-","-","-","-","-","-","-","-","-","-"
"2","1953","-","-","-","-","-","-","-","-","-","-","-"
"3","1954","-","-","-","-","-","-","-","-","-","-","-"
"4","1955","-","-","-","-","-","-","-","-","-","-","-"
"5","1956","-","-","-","-","-","-","-","-","-","-","-"
"6","1957","-","-","-","-","-","-","-","-","-","-","-"
"7","1958","-","-","-","-","-","-","-","-","-","-","-"
"8","1959","8.8","15.7","3.0","-","7.4","126","34","19","52","0","1"
"9","1960","8.4","14.6","3.2","-","7.8","171","39","12","54","0","0"
"10","1961","8.9","15.8","3.3","-","7.0","154","38","14","64","0","0"
"11","1962","7.1","13.3","2.0","1002.15","7.5","132","76","12","40","0","0"
"12","1963","7.3","14.0","2.1","-","7.0","152","47","23","60","0","0"
"13","1964","8.1","-","3.0","-","6.4","165","37","18","55","0","0"
"14","1965","7.5","13.1","2.6","-","7.1","155","64","13","52","0","0"
"15","1966","8.2","13.8","3.1","-","6.4","178","53","18","74","0","0"
"16","1967","8.2","14.1","3.0","-","6.6","170","43","22","59","0","1"
"17","1968","7.9","13.7","2.7","-","6.9","140","47","9","46","0","1"
"18","1969","7.7","13.8","2.5","-","6.7","139","56","21","53","0","0"
"19","1973","8.1","13.8","3.3","975.87","6.4","181","69","34","52","0","0"
"20","1974","9.0","14.5","4.2","861.61","7.6","209","52","37","34","0","1"
"21","1975","8.5","14.3","3.8","980.94","5.9","180","39","36","33","0","3"
"22","1976","8.5","14.5","3.7","786.41","5.6","170","46","34","32","0","1"
"23","1977","8.8","14.7","4.0","883.19","6.1","203","49","33","43","0","0"
"24","1978","7.6","13.8","2.9","938.29","5.0","202","57","30","38","0","1"
"25","1979","8.3","14.1","3.7","1222.54","5.5","213","65","32","31","0","0"
"26","1980","7.6","13.2","2.8","1184.13","5.0","195","61","23","45","0","1"
"27","1981","8.0","13.7","3.1","1123.92","5.3","193","77","19","41","0","1"
"28","1982","8.9","14.8","4.0","1037.56","5.4","179","54","41","39","0","1"
"29","1983","8.8","14.9","3.7","841.53","5.3","167","45","42","38","0","0"
"30","1984","8.0","13.8","3.1","822.40","5.2","177","59","32","34","0","1"
"31","1985","8.0","13.9","2.8","734.34","5.0","170","59","31","36","0","1"
"32","1986","8.7","14.4","3.5","831.40","6.7","159","60","41","20","0","1"
"33","1987","8.5","13.9","3.4","1055.34","6.2","183","57","29","35","0","2"
"34","1988","9.3","14.8","4.3","914.40","6.9","200","59","37","25","0","1"
"35","1989","9.0","15.3","3.9","772.20","6.4","195","14","40","26","0","2"
"36","1990","9.1","15.4","3.8","953.79","6.9","176","46","34","28","0","0"
"37","1991","8.5","14.5","3.5","1043.40","6.2","179","52","31","27","0","0"
"38","1992","9.1","15.0","4.1","935.02","6.8","189","45","45","32","0","0"
"39","1993","8.8","14.7","4.2","962.44","7.4","182","48","38","22","0","1"
"40","1994","10.2","15.9","5.2","858.02","7.4","193","40","44","31","0","0"
"41","1995","8.6","14.2","3.9","1128.54","6.9","187","67","24","20","0","0"
"42","1996","8.3","13.8","3.8","1248.75","6.9","166","59","27","27","0","0"
"43","1997","9.2","15.2","4.4","1033.32","6.6","167","41","27","18","0","0"
"44","1998","9.1","14.8","4.3","957.34","6.7","192","44","34","9","0","1"
"45","1999","8.8","14.4","4.3","1452.34","6.1","185","71","18","35","0","0"
"46","2000","9.7","15.6","4.6","-","8.2","180","42","25","29","0","0"
"47","2001","9.0","14.5","4.2","-","7.1","188","60","19","26","0","1"
"48","2002","-","-","-","-","-","185","15","24","24","0","0"
"49","2003","9.5","16.3","3.8","793.78","6.6","164","47","32","11","0","1"
"50","2004","8.8","14.7","3.9","779.06","6.2","207","67","31","24","0","1"
"51","2005","-","-","-","-","-","-","-","-","-","-","-"
"52","2006","8.8","15.4","3.6","-","6.1","190","50","33","30","0","1"
"53","2007","9.7","16.2","4.4","-","6.4","202","46","29","11","0","1"
"54","2008","9.5","15.6","4.5","-","6.5","201","49","29","16","0","1"
"55","2009","9.4","15.3","4.5","-","6.3","195","61","33","24","0","1"
"56","2010","8.8","14.1","4.1","-","7.0","178","68","13","16","0","0"
"57","2011","9.7","16.3","4.1","-","7.4","158","35","21","21","0","0"
"58","2012","9.2","14.9","4.3","-","7.5","193","68","35","32","0","0"
"59","2013","9.3","15.0","4.5","-","7.9","182","69","24","19","0","0"
"60","2014","10.5","16.4","5.6","-","8.1","216","31","16","19","0","1"
"61","2015","10.0","16.3","4.8","-","7.4","160","44","30","21","0","0"
"62","2016","9.8","15.6","4.9","-","7.6","203","46","25","13","0","1"
"63","2017","9.5","15.4","4.5","-","7.6","197","59","41","23","0","1"
"64","2018","10.8","16.5","5.6","-","8.4","168","42","24","15","0","0"
"65","2019","-","-","-","-","-","-","-","-","-","-","-"
