"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","-","-","-","-","-","-","-","-","-","-","-"
"9","1981","-","-","-","-","-","-","-","-","-","-","-"
"10","1982","-","-","-","-","-","-","-","-","-","-","-"
"11","1983","-","-","-","-","-","-","-","-","-","-","-"
"12","1984","-","-","-","-","-","-","-","-","-","-","-"
"13","1985","-","-","-","-","-","-","-","-","-","-","-"
"14","1986","-","-","-","-","-","-","-","-","-","-","-"
"15","1987","-","-","-","-","-","-","-","-","-","-","-"
"16","1988","-","-","-","-","-","-","-","-","-","-","-"
"17","1989","-","-","-","-","-","-","-","-","-","-","-"
"18","1990","-","-","-","-","-","-","-","-","-","-","-"
"19","1991","-","-","-","-","-","-","-","-","-","-","-"
"20","1992","-","-","-","-","-","-","-","-","-","-","-"
"21","1993","-","-","-","-","-","-","-","-","-","-","-"
"22","1994","27.4","32.0","21.4","1476.02","5.0","72","0","56","26","0","0"
"23","1995","27.5","32.3","21.1","1723.17","6.4","72","0","46","21","0","0"
"24","1996","-","-","-","-","-","-","-","-","-","-","-"
"25","1997","27.6","31.9","21.7","1314.97","6.0","63","0","30","16","0","0"
"26","1998","27.7","31.7","21.8","795.01","6.2","54","0","38","17","1","0"
"27","1999","-","-","-","-","-","-","-","-","-","-","-"
"28","2000","26.8","31.0","20.7","-","7.3","57","0","57","23","1","0"
"29","2001","27.2","32.1","20.9","-","-","61","0","38","16","0","0"
"30","2002","-","-","-","-","-","-","-","-","-","-","-"
"31","2003","27.3","32.8","20.9","1467.31","6.7","59","0","42","11","0","0"
"32","2004","-","-","-","-","-","-","-","-","-","-","-"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","27.2","32.2","21.1","-","6.3","65","0","37","13","0","0"
"35","2007","27.1","32.2","20.7","-","5.8","73","0","37","11","0","0"
"36","2008","27.1","32.1","21.1","-","6.5","64","0","32","8","0","0"
"37","2009","27.4","32.6","21.4","-","6.9","75","0","29","14","0","0"
"38","2010","27.4","32.8","21.0","-","7.5","70","0","31","10","0","0"
"39","2011","27.2","32.3","21.3","-","8.2","62","0","30","7","0","0"
"40","2012","27.2","32.5","21.2","-","7.4","75","1","31","20","0","0"
"41","2013","27.0","31.8","21.6","-","9.0","71","0","48","8","0","0"
"42","2014","27.1","32.1","21.6","-","8.6","83","0","50","16","0","1"
"43","2015","27.8","33.2","22.0","-","8.8","74","0","68","19","0","0"
"44","2016","27.4","32.9","21.1","-","10.2","76","0","57","8","0","0"
"45","2017","27.4","32.8","21.4","-","8.8","79","0","59","11","0","1"
"46","2018","26.7","32.1","20.9","-","6.3","89","0","52","13","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
