"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1974","-","-","-","-","-","-","-","-","-","-","-"
"2","1975","-","-","-","-","-","-","-","-","-","-","-"
"3","1977","-","-","-","-","-","-","-","-","-","-","-"
"4","1979","-","-","-","-","-","-","-","-","-","-","-"
"5","1982","-","-","-","-","-","-","-","-","-","-","-"
"6","1983","-","-","-","-","-","-","-","-","-","-","-"
"7","1984","-","-","-","-","-","-","-","-","-","-","-"
"8","1985","-","-","-","-","-","-","-","-","-","-","-"
"9","1986","-","-","-","-","-","-","-","-","-","-","-"
"10","1987","-","-","-","-","-","-","-","-","-","-","-"
"11","1988","-","-","-","-","-","-","-","-","-","-","-"
"12","1989","-","-","-","-","-","-","-","-","-","-","-"
"13","1991","-","-","-","-","-","-","-","-","-","-","-"
"14","1992","-","-","-","-","-","-","-","-","-","-","-"
"15","1994","-","-","-","-","-","-","-","-","-","-","-"
"16","1995","-","-","-","-","-","-","-","-","-","-","-"
"17","1996","-","-","-","-","-","-","-","-","-","-","-"
"18","1997","-","-","-","-","-","-","-","-","-","-","-"
"19","1998","-","-","-","-","-","-","-","-","-","-","-"
"20","1999","-","-","-","-","-","-","-","-","-","-","-"
"21","2000","26.9","32.7","21.3","-","2.7","127","0","69","220","0","0"
"22","2001","27.1","32.7","21.5","-","-","139","1","71","110","0","0"
"23","2002","-","-","-","-","-","-","-","-","-","-","-"
"24","2003","27.7","32.3","22.2","-","4.9","155","0","66","67","0","0"
"25","2004","27.3","31.8","22.1","-","4.0","170","0","95","53","0","0"
"26","2005","-","-","-","-","-","-","-","-","-","-","-"
"27","2006","28.2","33.4","21.9","-","5.0","133","0","57","43","0","0"
"28","2007","27.8","32.1","21.9","-","3.6","133","0","53","68","0","0"
"29","2008","27.4","31.7","22.0","-","3.2","149","0","67","46","0","0"
"30","2009","27.5","31.4","22.6","-","4.3","175","0","80","63","0","0"
"31","2010","26.5","32.3","22.1","-","3.6","149","0","79","52","0","0"
"32","2011","25.8","31.6","21.9","-","3.6","156","0","70","84","0","0"
"33","2012","27.2","31.4","22.0","-","4.9","152","0","101","62","0","0"
"34","2013","27.4","31.2","22.2","-","4.4","144","0","76","50","0","0"
"35","2014","27.1","31.3","22.4","-","4.9","175","0","101","60","0","0"
"36","2015","27.2","31.9","22.9","-","4.6","169","0","98","41","0","0"
"37","2016","26.8","31.6","23.0","-","4.7","166","0","116","22","0","0"
"38","2017","26.4","31.5","22.6","-","4.7","160","0","112","39","0","0"
"39","2018","25.8","31.1","22.0","-","4.9","152","0","101","54","0","0"
"40","2019","-","-","-","-","-","-","-","-","-","-","-"
