"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1974","-","-","-","-","-","-","-","-","-","-","-"
"2","1975","-","-","-","-","-","-","-","-","-","-","-"
"3","1976","-","-","-","-","-","-","-","-","-","-","-"
"4","1977","-","-","-","-","-","-","-","-","-","-","-"
"5","1978","-","-","-","-","-","-","-","-","-","-","-"
"6","1979","-","-","-","-","-","-","-","-","-","-","-"
"7","1980","-","-","-","-","-","-","-","-","-","-","-"
"8","1981","-","-","-","-","-","-","-","-","-","-","-"
"9","1982","-","-","-","-","-","-","-","-","-","-","-"
"10","1983","-","-","-","-","-","-","-","-","-","-","-"
"11","1984","-","-","-","-","-","-","-","-","-","-","-"
"12","1985","-","-","-","-","-","-","-","-","-","-","-"
"13","1986","-","-","-","-","-","-","-","-","-","-","-"
"14","1987","-","-","-","-","-","-","-","-","-","-","-"
"15","1988","-","-","-","-","-","-","-","-","-","-","-"
"16","1989","-","-","-","-","-","-","-","-","-","-","-"
"17","1990","-","-","-","-","-","-","-","-","-","-","-"
"18","1991","-","-","-","-","-","-","-","-","-","-","-"
"19","1992","-","-","-","-","-","-","-","-","-","-","-"
"20","1993","-","-","-","-","-","-","-","-","-","-","-"
"21","1994","13.0","17.8","8.5","722.61","7.1","103","21","30","35","0","1"
"22","1995","11.5","16.3","7.1","827.78","8.4","103","31","35","33","0","1"
"23","1997","11.0","15.6","6.5","775.45","7.4","86","27","16","48","0","0"
"24","1998","-","-","-","-","-","-","-","-","-","-","-"
"25","1999","-","-","-","-","-","-","-","-","-","-","-"
"26","2000","-","-","-","-","-","-","-","-","-","-","-"
"27","2001","-","-","-","-","-","-","-","-","-","-","-"
"28","2002","-","-","-","-","-","-","-","-","-","-","-"
"29","2003","11.5","16.8","6.4","1135.37","7.4","83","39","16","42","0","0"
"30","2004","11.8","17.3","6.9","1052.02","9.2","107","21","20","29","0","0"
"31","2005","-","-","-","-","-","-","-","-","-","-","-"
"32","2006","11.6","17.1","6.9","1173.96","8.3","78","29","28","22","0","0"
"33","2007","13.2","18.6","8.3","1201.42","9.2","89","15","17","23","0","1"
"34","2008","12.5","17.9","7.6","682.95","8.3","81","18","13","34","0","1"
"35","2009","12.3","17.6","7.6","670.03","6.8","95","26","21","45","1","0"
"36","2010","11.7","17.1","7.1","1235.93","6.5","101","34","23","45","0","2"
"37","2011","11.6","17.1","6.8","1069.36","5.7","73","32","19","39","0","0"
"38","2012","12.8","18.7","7.5","617.43","7.2","60","37","17","20","0","1"
"39","2013","-","-","-","-","-","-","-","-","-","-","-"
