"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1981","-","-","-","-","-","-","-","-","-","-","-"
"2","1982","-","-","-","-","-","-","-","-","-","-","-"
"3","1983","-","-","-","-","-","-","-","-","-","-","-"
"4","1984","0.7","5.3","-2.6","0.00","7.4","0","0","0","0","0","0"
"5","1985","-","-","-","-","-","-","-","-","-","-","-"
"6","1986","1.8","6.2","-1.2","0.00","8.0","0","0","0","0","0","0"
"7","1987","2.8","7.5","-0.6","0.00","7.8","0","0","0","0","0","0"
"8","1988","2.9","9.3","-2.2","0.00","-","0","0","0","0","0","0"
"9","1989","1.5","8.1","-3.5","0.00","8.3","0","0","0","0","0","0"
"10","1990","2.2","8.6","-2.9","0.00","9.1","0","0","0","0","0","0"
"11","1991","2.7","9.1","-2.4","0.00","9.0","0","0","0","0","0","0"
"12","1992","3.1","9.6","-2.1","0.00","8.9","0","0","0","0","0","0"
"13","1993","1.9","8.5","-3.2","0.00","8.5","0","0","0","0","0","0"
"14","1994","3.2","9.7","-2.2","0.00","7.7","0","0","0","0","0","0"
"15","1995","2.1","8.4","-2.8","0.00","6.2","0","0","0","0","0","0"
"16","1996","-","-","-","-","-","-","-","-","-","-","-"
"17","2000","-","-","-","-","-","-","-","-","-","-","-"
"18","2001","2.6","9.3","-2.8","0.00","8.6","0","0","0","0","0","0"
"19","2002","-","-","-","-","-","-","-","-","-","-","-"
"20","2003","0.9","7.4","-4.7","0.00","8.6","0","0","0","0","0","0"
"21","2004","2.9","9.3","-2.2","0.00","8.4","0","0","0","0","0","0"
"22","2005","-","-","-","-","-","-","-","-","-","-","-"
"23","2006","3.5","10.2","-2.0","0.00","7.7","0","0","0","0","0","0"
"24","2007","3.0","9.4","-2.3","0.00","9.2","0","0","0","0","0","0"
"25","2008","2.2","8.8","-3.2","0.00","8.9","0","0","0","0","0","0"
"26","2009","2.0","8.7","-3.5","0.00","8.8","0","0","0","0","0","0"
"27","2010","2.8","9.3","-2.5","0.00","8.3","0","0","0","0","0","0"
"28","2011","2.1","8.4","-3.0","0.00","9.2","0","0","0","0","0","0"
"29","2012","-","-","-","-","-","-","-","-","-","-","-"
"30","2013","-","-","-","-","-","-","-","-","-","-","-"
