"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1986","-","-","-","-","-","-","-","-","-","-","-"
"4","1989","-","-","-","-","-","-","-","-","-","-","-"
"5","1990","-","-","-","-","-","-","-","-","-","-","-"
"6","1996","-","-","-","-","-","-","-","-","-","-","-"
"7","1997","-","-","-","-","-","-","-","-","-","-","-"
"8","1998","-","-","-","-","-","-","-","-","-","-","-"
"9","1999","-","-","-","-","-","-","-","-","-","-","-"
"10","2000","-","-","-","-","-","-","-","-","-","-","-"
"11","2001","-","-","-","-","-","-","-","-","-","-","-"
"12","2002","-","-","-","-","-","-","-","-","-","-","-"
"13","2003","-","-","-","-","-","-","-","-","-","-","-"
"14","2004","-","-","-","-","-","-","-","-","-","-","-"
"15","2005","-","-","-","-","-","-","-","-","-","-","-"
"16","2006","-","-","-","-","-","-","-","-","-","-","-"
"17","2007","-","-","-","-","-","-","-","-","-","-","-"
"18","2008","-","-","-","-","-","-","-","-","-","-","-"
"19","2009","-","-","-","-","-","-","-","-","-","-","-"
"20","2010","-","-","-","-","-","-","-","-","-","-","-"
"21","2011","24.9","28.7","22.1","-","23.4","31","0","2","0","0","0"
"22","2012","24.6","28.5","21.7","-","22.6","32","0","8","0","0","1"
"23","2013","-","-","-","-","-","-","-","-","-","-","-"
"24","2014","-","-","-","-","-","-","-","-","-","-","-"
"25","2015","-","-","-","-","-","-","-","-","-","-","-"
"26","2016","-","-","-","-","-","-","-","-","-","-","-"
"27","2017","-","-","-","-","-","-","-","-","-","-","-"
"28","2018","-","-","-","-","-","-","-","-","-","-","-"
"29","2019","-","-","-","-","-","-","-","-","-","-","-"
