"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1975","-","-","-","-","-","-","-","-","-","-","-"
"2","1976","-","-","-","-","-","-","-","-","-","-","-"
"3","1977","-","-","-","-","-","-","-","-","-","-","-"
"4","1978","-","-","-","-","-","-","-","-","-","-","-"
"5","1979","-","-","-","-","-","-","-","-","-","-","-"
"6","1980","-","-","-","-","-","-","-","-","-","-","-"
"7","1981","-","-","-","-","-","-","-","-","-","-","-"
"8","1982","-","-","-","-","-","-","-","-","-","-","-"
"9","1983","-","-","-","-","-","-","-","-","-","-","-"
"10","1984","-","-","-","-","-","-","-","-","-","-","-"
"11","1985","-","-","-","-","-","-","-","-","-","-","-"
"12","1986","-","-","-","-","-","-","-","-","-","-","-"
"13","1987","-","-","-","-","-","-","-","-","-","-","-"
"14","1988","-","-","-","-","-","-","-","-","-","-","-"
"15","1989","-","-","-","-","-","-","-","-","-","-","-"
"16","1990","-","-","-","-","-","-","-","-","-","-","-"
"17","1991","-","-","-","-","-","-","-","-","-","-","-"
"18","1992","-","-","-","-","-","-","-","-","-","-","-"
"19","1993","-","-","-","-","-","-","-","-","-","-","-"
"20","1994","-","-","-","-","-","-","-","-","-","-","-"
"21","1995","-","-","-","-","-","-","-","-","-","-","-"
"22","1996","-","-","-","-","-","-","-","-","-","-","-"
"23","1997","-","-","-","-","-","-","-","-","-","-","-"
"24","1998","-","-","-","-","-","-","-","-","-","-","-"
"25","1999","-","-","-","-","-","-","-","-","-","-","-"
"26","2000","21.5","25.0","18.2","-","9.0","144","0","66","180","1","0"
"27","2001","22.1","25.9","18.5","-","10.0","105","1","52","132","0","0"
"28","2002","-","-","-","-","-","-","-","-","-","-","-"
"29","2003","-","-","-","-","-","-","-","-","-","-","-"
"30","2004","-","-","-","-","-","-","-","-","-","-","-"
"31","2005","-","-","-","-","-","-","-","-","-","-","-"
"32","2006","-","-","-","-","-","-","-","-","-","-","-"
"33","2007","-","-","-","-","-","-","-","-","-","-","-"
"34","2008","-","-","-","-","-","-","-","-","-","-","-"
"35","2009","22.3","25.3","19.2","-","8.0","138","0","64","180","0","0"
"36","2010","22.1","25.9","18.8","-","7.4","179","1","53","255","0","0"
"37","2011","21.4","25.6","18.2","-","6.5","210","0","65","272","0","1"
"38","2012","22.1","26.5","18.3","-","6.7","162","0","65","191","0","2"
"39","2013","22.2","26.0","18.7","-","7.4","152","0","64","188","0","0"
"40","2014","22.4","26.2","18.8","-","8.0","141","0","47","155","0","0"
"41","2015","23.0","27.2","18.9","574.29","8.3","141","0","68","114","0","0"
"42","2016","22.7","27.0","18.8","-","8.8","161","0","61","156","0","0"
"43","2017","22.2","26.9","18.5","843.54","8.4","184","0","71","167","0","0"
"44","2018","22.3","27.2","18.5","-","8.6","165","0","71","127","0","0"
"45","2019","-","-","-","-","-","-","-","-","-","-","-"
