"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1997","-","-","-","-","-","-","-","-","-","-","-"
"2","1998","-","-","-","-","-","-","-","-","-","-","-"
"3","1999","24.5","26.2","22.9","0.00","10.8","0","0","0","0","0","0"
"4","2000","24.2","26.1","22.4","0.00","9.9","0","0","0","0","0","0"
"5","2001","24.0","25.6","22.4","0.00","11.0","0","0","0","0","0","0"
"6","2002","-","-","-","-","-","-","-","-","-","-","-"
"7","2003","24.1","25.9","22.4","0.00","10.0","0","0","0","0","0","0"
"8","2004","24.3","26.1","22.5","0.00","10.2","0","0","0","0","0","0"
"9","2005","-","-","-","-","-","-","-","-","-","-","-"
"10","2006","24.2","26.0","22.5","0.00","10.0","0","0","0","0","0","0"
"11","2007","-","-","-","-","-","-","-","-","-","-","-"
"12","2008","24.3","26.0","22.6","0.00","9.2","0","0","0","0","0","0"
"13","2009","24.0","25.8","22.1","0.00","9.8","0","0","0","0","0","0"
"14","2010","24.8","26.3","23.3","0.00","11.5","0","0","0","0","0","0"
"15","2011","24.7","26.5","22.9","0.00","10.2","0","0","0","0","0","0"
"16","2012","-","-","-","-","-","-","-","-","-","-","-"
