"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1996","-","-","-","-","-","-","-","-","-","-","-"
"2","1997","10.7","14.7","5.4","1228.86","5.7","101","31","20","34","0","0"
"3","1998","-","-","-","-","-","-","-","-","-","-","-"
"4","1999","11.6","15.5","6.6","1379.43","5.9","137","37","28","26","0","1"
"5","2000","12.4","17.5","7.0","1223.64","6.3","124","24","21","21","0","0"
"6","2001","11.2","16.0","6.4","1580.32","6.2","122","43","24","18","0","0"
"7","2002","-","-","-","-","-","-","-","-","-","-","-"
"8","2003","11.3","16.7","5.9","1199.33","5.3","96","38","26","30","0","0"
"9","2004","10.3","15.1","5.9","1654.79","5.1","148","36","23","28","0","0"
"10","2005","-","-","-","-","-","-","-","-","-","-","-"
"11","2006","11.3","16.0","6.4","1457.41","5.4","122","35","23","29","0","1"
"12","2007","11.6","16.6","6.6","1608.60","5.3","134","33","37","32","0","2"
"13","2008","11.7","16.6","6.9","1479.02","5.5","151","28","33","23","0","0"
"14","2009","11.6","16.6","6.7","1423.60","5.1","154","37","24","24","0","0"
"15","2010","10.4","14.8","6.0","1819.34","4.6","149","53","23","41","0","0"
"16","2011","11.1","16.4","6.1","1139.40","4.6","121","35","27","24","0","1"
"17","2012","12.4","17.1","6.5","1445.74","5.8","105","30","20","15","0","1"
"18","2013","12.0","15.8","6.5","1855.17","5.8","129","44","28","28","0","0"
"19","2014","13.1","16.7","7.8","2243.83","6.6","167","10","27","31","0","0"
"20","2015","12.9","16.9","7.0","1407.16","-","92","18","7","28","0","0"
"21","2016","12.4","16.1","6.6","1852.68","5.8","142","18","17","22","0","1"
"22","2017","12.9","17.0","6.1","1744.97","6.3","100","26","16","19","0","0"
"23","2018","13.1","16.8","7.5","1406.09","5.7","103","33","27","23","0","1"
"24","2019","-","-","-","-","-","-","-","-","-","-","-"
