"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1939","-","-","-","-","-","-","-","-","-","-","-"
"2","1940","5.2","8.4","0.9","816.71","14.4","139","77","12","36","0","1"
"3","1941","5.1","8.3","1.7","-","14.5","134","86","5","49","0","2"
"4","1942","5.7","9.4","1.6","674.48","12.8","114","63","12","60","0","0"
"5","1943","7.1","11.6","2.4","-","13.3","106","52","6","49","0","2"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1987","-","-","-","-","-","-","-","-","-","-","-"
"8","1988","-","-","-","-","-","-","-","-","-","-","-"
"9","1989","7.6","12.0","3.4","570.52","10.3","147","35","29","64","0","1"
"10","1990","7.5","12.1","3.3","469.13","11.1","135","56","19","51","0","1"
"11","1991","6.3","10.9","2.3","376.46","9.2","128","48","11","42","0","0"
"12","1992","7.5","12.0","3.4","529.62","10.5","147","55","21","45","0","1"
"13","1993","6.6","11.1","2.4","602.74","10.5","132","54","21","30","0","1"
"14","1994","7.9","12.2","3.6","588.57","10.8","157","47","17","30","0","0"
"15","1995","6.7","10.8","3.0","560.21","9.9","152","76","12","40","0","2"
"16","1996","5.2","9.1","1.4","382.83","8.2","142","68","16","59","0","0"
"17","1997","6.9","11.3","2.8","412.54","8.4","139","54","15","48","0","2"
"18","1998","-","-","-","-","-","-","-","-","-","-","-"
"19","1999","7.4","11.7","3.2","545.94","9.5","190","81","23","76","0","5"
"20","2000","7.9","12.3","3.8","-","8.3","203","58","30","67","0","5"
"21","2001","7.0","11.1","2.9","-","7.6","197","81","16","59","0","3"
"22","2002","-","-","-","-","-","212","53","31","80","0","2"
"23","2003","7.5","12.5","2.6","356.82","7.2","149","63","22","54","0","2"
"24","2004","7.0","11.4","2.9","644.82","7.7","196","87","24","48","0","7"
"25","2005","-","-","-","-","-","-","-","-","-","-","-"
"26","2006","7.6","12.3","3.3","573.30","7.9","175","69","32","69","0","3"
"27","2007","7.9","12.4","3.4","738.33","10.1","190","61","30","44","0","5"
"28","2008","7.5","12.0","3.1","488.33","9.6","206","69","31","76","0","10"
"29","2009","7.3","11.6","2.9","558.83","9.7","196","74","29","77","0","1"
"30","2010","6.0","10.1","1.7","696.18","9.3","172","97","21","70","0","1"
"31","2011","7.7","12.3","3.0","548.32","9.9","193","55","31","98","0","1"
"32","2012","7.3","12.0","2.2","612.34","10.4","201","67","23","84","0","2"
"33","2013","6.8","10.9","2.3","597.89","10.2","184","85","20","76","0","2"
"34","2014","8.5","12.9","3.9","590.52","9.7","206","38","34","100","0","2"
"35","2015","8.4","12.8","3.6","568.70","10.5","181","58","26","57","0","4"
"36","2016","7.7","11.9","3.1","522.47","9.9","190","66","30","64","0","5"
"37","2017","7.6","11.9","2.9","-","10.7","186","77","36","55","0","2"
"38","2018","8.7","13.4","3.5","-","10.4","163","61","39","52","0","1"
"39","2019","-","-","-","-","-","-","-","-","-","-","-"
