"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","-","-","-","-","-","-","-","-","-","-","-"
"9","1981","-","-","-","-","-","-","-","-","-","-","-"
"10","1982","-","-","-","-","-","-","-","-","-","-","-"
"11","1983","-","-","-","-","-","-","-","-","-","-","-"
"12","1984","-","-","-","-","-","-","-","-","-","-","-"
"13","1985","-","-","-","-","-","-","-","-","-","-","-"
"14","1986","-","-","-","-","-","-","-","-","-","-","-"
"15","1987","-","-","-","-","-","-","-","-","-","-","-"
"16","1988","-","-","-","-","-","-","-","-","-","-","-"
"17","1989","-","-","-","-","-","-","-","-","-","-","-"
"18","1990","-","-","-","-","-","-","-","-","-","-","-"
"19","1991","-","-","-","-","-","-","-","-","-","-","-"
"20","1992","-","-","-","-","-","-","-","-","-","-","-"
"21","1993","-","-","-","-","-","-","-","-","-","-","-"
"22","1994","-","-","-","-","-","-","-","-","-","-","-"
"23","1995","-","-","-","-","-","-","-","-","-","-","-"
"24","1996","-","-","-","-","-","-","-","-","-","-","-"
"25","1999","-","-","-","-","-","-","-","-","-","-","-"
"26","2000","-","-","-","-","-","-","-","-","-","-","-"
"27","2001","-","-","-","-","-","-","-","-","-","-","-"
"28","2002","-","-","-","-","-","-","-","-","-","-","-"
"29","2003","-","-","-","-","-","-","-","-","-","-","-"
"30","2004","-","-","-","-","-","-","-","-","-","-","-"
"31","2005","-","-","-","-","-","-","-","-","-","-","-"
"32","2006","29.1","32.3","21.6","-","14.1","36","0","36","0","0","0"
"33","2007","29.0","32.3","22.4","-","14.9","40","0","35","0","0","0"
"34","2008","28.6","31.8","21.9","-","15.6","41","0","32","1","0","0"
"35","2009","28.7","32.0","21.9","-","16.0","30","0","30","0","1","0"
"36","2010","28.8","32.4","22.2","932.95","16.1","48","0","52","1","0","0"
"37","2011","28.5","31.8","21.4","-","15.1","49","0","53","0","0","1"
"38","2012","28.5","31.8","21.9","-","14.2","54","0","62","0","0","1"
"39","2013","29.0","32.2","22.4","-","15.5","41","0","59","0","0","0"
"40","2014","28.7","32.0","22.5","-","17.5","51","0","52","1","0","0"
"41","2015","29.0","32.3","22.9","-","21.9","28","0","36","0","0","1"
"42","2016","28.7","32.1","22.6","-","19.1","64","0","47","1","0","0"
"43","2017","28.4","31.9","22.2","-","18.5","60","1","56","0","0","0"
"44","2018","28.4","31.8","22.2","-","19.7","53","0","23","0","0","0"
"45","2019","-","-","-","-","-","-","-","-","-","-","-"
