"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1987","-","-","-","-","-","-","-","-","-","-","-"
"2","1988","-","-","-","-","-","-","-","-","-","-","-"
"3","1989","-","-","-","-","-","-","-","-","-","-","-"
"4","1990","-","-","-","-","-","-","-","-","-","-","-"
"5","1991","-","-","-","-","-","-","-","-","-","-","-"
"6","1992","-","-","-","-","-","-","-","-","-","-","-"
"7","1993","-","-","-","-","-","-","-","-","-","-","-"
"8","1994","-","-","-","-","-","184","0","7","1","0","0"
"9","1995","28.0","31.8","23.1","1586.92","8.0","157","0","14","0","0","0"
"10","1996","27.6","31.0","22.9","1656.11","9.7","193","0","19","0","0","0"
"11","1997","28.0","31.3","23.4","-","10.3","186","1","18","0","0","0"
"12","1998","-","-","-","-","-","-","-","-","-","-","-"
"13","1999","27.9","31.4","23.2","-","8.4","175","1","16","0","0","0"
"14","2000","27.7","31.1","23.1","-","10.0","188","0","14","1","0","0"
"15","2001","28.0","31.4","23.2","1524.27","8.6","198","0","14","0","0","0"
"16","2002","-","-","-","-","-","-","-","-","-","-","-"
"17","2003","-","-","-","-","-","-","-","-","-","-","-"
"18","2004","27.9","31.2","23.1","2144.26","5.8","213","1","32","0","0","0"
"19","2005","-","-","-","-","-","-","-","-","-","-","-"
"20","2006","28.0","31.8","22.6","1812.28","10.4","214","0","20","0","0","0"
"21","2007","28.1","31.7","22.7","1942.58","11.0","197","0","16","0","0","0"
"22","2008","27.2","30.6","22.2","1676.08","10.7","218","0","31","0","0","1"
"23","2009","27.3","31.0","22.2","1487.78","10.2","232","0","22","0","0","0"
"24","2010","27.8","31.8","22.5","1786.48","8.8","208","0","33","0","0","0"
"25","2011","27.5","31.2","22.8","2411.22","8.4","220","0","43","1","0","0"
"26","2012","28.0","31.5","22.9","1465.33","8.6","220","0","29","0","0","0"
"27","2013","27.9","31.6","22.8","2086.60","8.0","245","0","38","0","0","0"
"28","2014","27.8","31.3","23.3","1654.86","6.1","247","0","31","0","0","0"
"29","2015","28.3","32.0","23.3","1534.17","8.5","237","0","32","0","0","0"
"30","2016","28.3","32.2","23.2","1945.29","8.0","235","0","37","0","0","1"
"31","2017","-","-","-","-","-","-","-","-","-","-","-"
"32","2018","28.1","31.5","23.3","1852.64","9.0","232","0","14","0","0","0"
"33","2019","-","-","-","-","-","-","-","-","-","-","-"
