"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1977","-","-","-","-","-","-","-","-","-","-","-"
"2","1978","25.5","28.8","21.6","-","15.1","41","0","3","0","0","1"
"3","1979","25.9","29.2","22.3","589.80","16.3","33","0","1","1","0","1"
"4","1980","25.6","28.8","21.7","585.49","13.1","31","0","3","0","0","2"
"5","1981","-","-","-","-","-","-","-","-","-","-","-"
"6","1982","-","-","-","-","-","-","-","-","-","-","-"
"7","1983","-","-","-","-","-","-","-","-","-","-","-"
"8","1984","-","-","-","-","-","-","-","-","-","-","-"
"9","1985","-","-","-","-","-","-","-","-","-","-","-"
"10","1986","-","-","-","-","-","-","-","-","-","-","-"
"11","1987","-","-","-","-","-","-","-","-","-","-","-"
"12","1988","-","-","-","-","-","-","-","-","-","-","-"
"13","1989","-","-","-","-","-","-","-","-","-","-","-"
"14","1990","-","-","-","-","-","-","-","-","-","-","-"
"15","1991","-","-","-","-","-","-","-","-","-","-","-"
"16","1992","-","-","-","-","-","-","-","-","-","-","-"
"17","1993","-","-","-","-","-","-","-","-","-","-","-"
"18","1994","-","-","-","-","-","-","-","-","-","-","-"
"19","1995","-","-","-","-","-","-","-","-","-","-","-"
"20","1996","-","-","-","-","-","-","-","-","-","-","-"
"21","1997","-","-","-","-","-","-","-","-","-","-","-"
"22","1998","-","-","-","-","-","-","-","-","-","-","-"
"23","1999","-","-","-","-","-","-","-","-","-","-","-"
"24","2000","23.1","25.8","21.3","-","15.3","39","0","1","0","0","0"
"25","2001","24.1","27.0","22.0","-","11.7","41","1","0","1","1","0"
"26","2002","-","-","-","-","-","-","-","-","-","-","-"
"27","2003","25.0","27.9","23.1","-","11.9","38","0","1","0","0","0"
"28","2004","-","-","-","-","-","-","-","-","-","-","-"
"29","2005","-","-","-","-","-","-","-","-","-","-","-"
"30","2006","25.0","28.5","22.6","-","10.7","43","0","4","1","0","0"
"31","2007","24.7","27.7","22.7","-","12.4","68","0","3","2","0","0"
"32","2008","24.6","27.8","22.2","-","11.9","87","0","9","0","0","0"
"33","2009","24.8","28.5","22.5","-","12.2","44","0","0","1","0","0"
"34","2010","25.1","28.8","22.8","-","12.2","76","0","1","4","0","0"
"35","2011","25.1","29.4","22.7","170.66","12.2","39","0","0","0","0","0"
"36","2012","25.1","29.8","22.4","-","12.4","65","0","3","1","0","0"
"37","2013","24.0","28.4","21.6","500.62","12.8","56","0","0","1","0","0"
"38","2014","25.1","29.3","22.8","-","14.5","39","0","0","0","0","0"
"39","2015","26.1","30.4","23.7","-","15.0","39","0","0","0","0","0"
"40","2016","25.4","29.8","22.9","-","11.7","45","0","2","0","0","0"
"41","2017","25.1","29.2","22.5","-","10.9","71","0","12","0","0","0"
"42","2018","24.8","29.2","22.2","-","12.2","36","0","0","0","0","0"
"43","2019","-","-","-","-","-","-","-","-","-","-","-"
