"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2004","-","-","-","-","-","-","-","-","-","-","-"
"2","2005","-","-","-","-","-","-","-","-","-","-","-"
"3","2006","20.1","25.2","14.8","-","15.3","9","0","0","9","0","0"
"4","2007","20.3","25.4","15.1","-","17.4","11","0","1","28","0","0"
"5","2008","-","-","-","-","-","19","0","0","9","0","0"
"6","2009","20.4","25.6","15.2","-","17.7","9","0","0","14","0","0"
"7","2010","-","-","-","-","-","-","-","-","-","-","-"
"8","2012","20.5","25.2","16.0","-","16.0","8","0","0","19","0","0"
"9","2013","20.5","25.2","16.1","-","17.1","7","0","1","20","0","0"
"10","2014","20.7","25.6","16.1","0.00","13.5","2","0","1","34","0","0"
"11","2015","20.4","25.1","16.1","0.00","14.1","7","0","0","23","0","0"
"12","2016","-","-","-","-","-","-","-","-","-","-","-"
"13","2017","20.5","25.2","16.1","-","13.3","4","0","0","25","0","0"
"14","2018","21.2","25.8","16.8","-","13.4","8","0","4","18","0","0"
"15","2019","-","-","-","-","-","-","-","-","-","-","-"
