"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,13.3,18.9,8.1,NA,7.1,107,6,17,52,0,1
1946,11.9,17.3,6.8,NA,7.1,132,4,15,60,0,2
1947,13.3,18.6,8.3,NA,9.2,159,9,31,49,0,3
1948,12.7,18.4,7.6,NA,12.8,143,2,19,80,0,1
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,12.7,18,7.8,NA,10.6,178,9,28,57,0,4
1951,12.1,17,7.6,NA,10.6,216,4,33,64,0,5
1952,12.6,17.8,7.7,NA,13.4,194,5,28,50,0,6
1953,12.2,17.7,7.1,NA,10.7,133,6,13,85,0,2
1954,11.9,16.8,7.3,NA,13.1,184,5,13,72,2,3
1955,10.4,13.4,6.2,NA,14.4,116,27,13,113,0,1
1956,8.7,12.4,4.9,NA,12.4,186,30,15,125,0,0
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,9,12.8,5.2,NA,11.9,179,49,20,80,0,0
1963,8.8,12.6,5.2,NA,11.4,174,38,16,147,0,0
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,11.28,15.9066666666667,6.89333333333333,725.241538461538,11.92,148.533333333333,10.8,24,54.6,0,3.33333333333333
1974,11.56,15.8266666666667,7.40666666666667,889.033571428571,13.2866666666667,186.733333333333,7.06666666666667,18.5333333333333,36.6,0,3.4
1975,11.4142857142857,15.6,7.37857142857143,775.080769230769,12.9428571428571,154.928571428571,10.5714285714286,19.2142857142857,40.8571428571429,0,3.28571428571429
1976,11.744,16.18,7.364,713.327083333333,12.968,131.92,9.92,19.84,45.92,0,3.48
1977,11.6894736842105,16.3947368421053,7.8,848.736666666667,13.2833333333333,172.157894736842,9.73684210526316,17.8421052631579,35.8947368421053,0.0526315789473684,4
1978,11.2448275862069,15.8931034482759,7.30689655172414,777.782142857143,14.5310344827586,154.103448275862,16.6896551724138,13.9310344827586,43.7586206896552,0.0344827586206897,4.89655172413793
1979,11.25,14.7464285714286,7.78214285714286,942.247857142857,14.2107142857143,163.241379310345,17.3793103448276,15.0689655172414,43.3448275862069,0.0689655172413793,5.24137931034483
1980,10.93,14.5241379310345,7.4448275862069,857.307931034483,14.13,153.966666666667,12.6666666666667,15.7,40.5,0.1,3.3
1981,11.3678571428571,14.975,7.76785714285714,922.308518518519,13.5814814814815,173.714285714286,17.0357142857143,19.6428571428571,39.9642857142857,0.0357142857142857,4.17857142857143
1982,12.4826086956522,16.6478260869565,8.08695652173913,1103.15684210526,12.7454545454545,157.833333333333,7.5,24.4583333333333,38.6666666666667,0.0833333333333333,4.125
1983,13.2210526315789,17.05,9.2,789.602894736842,15.5628571428571,119.487179487179,7,20.8717948717949,33.2820512820513,0.0512820512820513,3.30769230769231
1984,12.1825,15.895,8.2175,957.38925,16.2368421052632,140.2,11.075,15.05,32.525,0.125,4.225
1985,12.135,16.045,8.0525,704.51575,15.0589743589744,120.75,16.95,13.025,30,0.1,2.75
1986,12.53,16.3225,8.595,824.38525,16.2789473684211,131.925,11.875,13.625,28.95,0.1,3.925
1987,12.415,16.2475,8.5875,782.80641025641,15.1025641025641,124.682926829268,12.1463414634146,13.4146341463415,33.0243902439024,0.024390243902439,2.24390243902439
1988,13.1594594594595,17.0702702702703,9.26756756756757,710.323333333333,16.6722222222222,132.868421052632,6.78947368421053,14.4210526315789,38.0789473684211,0.105263157894737,3.28947368421053
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,13.5547619047619,18.1428571428571,9.20238095238095,688.079761904762,15.2157894736842,123,3.95348837209302,14.0232558139535,41.3255813953488,0.0232558139534884,2.53488372093023
1991,12.3787234042553,17.4063829787234,8.22978723404255,662.585744680851,14.7883720930233,118.520833333333,6.41666666666667,10.2916666666667,45.5416666666667,0.0625,1.83333333333333
1992,12.5485714285714,17.5342857142857,8.54285714285714,855.812058823529,13.9114285714286,126.714285714286,2.74285714285714,15.1142857142857,38.6571428571429,0.0571428571428571,2
1993,12.28,17.04,8.2,804.050588235294,14.1,112.314285714286,5.68571428571429,14.7428571428571,32,0.0857142857142857,1.11428571428571
1994,13.2852941176471,17.6382352941176,9.27352941176471,914.09,13.221875,124.571428571429,4.22857142857143,13.8,29.2285714285714,0.0857142857142857,1.4
1995,13.325,17.61875,9.03125,792.77625,14.3875,126.117647058824,8.47058823529412,16.4705882352941,30.4117647058824,0.117647058823529,2.11764705882353
1996,11.79375,16.34375,7.575,799.1071875,12.9354838709677,116.30303030303,9.60606060606061,10.8181818181818,29.1212121212121,0.0303030303030303,1.21212121212121
1997,12.7066666666667,17.4766666666667,8.30666666666667,724.858666666667,12.9344827586207,101.833333333333,4.56666666666667,11.1,30.6666666666667,0,0.666666666666667
1998,12.4689655172414,17.2448275862069,7.99310344827586,730.263103448276,12.8518518518519,124.034482758621,5.27586206896552,11.0689655172414,28.0344827586207,0.0344827586206897,1.93103448275862
1999,13.009375,17.6375,8.8375,829.6115625,14.6766666666667,134.34375,11.03125,17.6875,29.4375,0.03125,2.96875
2000,12.7928571428571,17.4690476190476,8.56190476190476,807.626818181818,14.26,124.452380952381,3.33333333333333,14.7619047619048,26.047619047619,0.0238095238095238,2.0952380952381
2001,12.515625,17.196875,8.321875,749.88375,14.33125,135.9375,8.1875,11.875,30.125,0.03125,2.96875
2002,NA,NA,NA,NA,NA,142.25,1.46428571428571,11.5357142857143,35.2142857142857,0.0357142857142857,0.785714285714286
2003,13.2744186046512,18.3046511627907,8.61860465116279,513.095,12.4853658536585,87.9090909090909,5.88636363636364,10.5227272727273,23.3409090909091,0.0454545454545455,1.52272727272727
2004,12.3083333333333,16.9375,8.01666666666667,661.239302325581,13.3375,108.604166666667,8.5625,11.2083333333333,29.2916666666667,0.0208333333333333,2.77083333333333
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,13.2830188679245,18.1018867924528,8.91132075471698,755.247291666667,13.143137254902,114.132075471698,7.66037735849057,12.7358490566038,29.8490566037736,0.0188679245283019,1.28301886792453
2007,12.4952380952381,17.4357142857143,8.03095238095238,752.479743589744,13.0452380952381,134.071428571429,8.64285714285714,11.5952380952381,38.9523809523809,0,2.30952380952381
2008,12.3566037735849,16.9754716981132,8.13207547169811,907.775744680851,13.9254901960784,135.094339622642,9.0377358490566,10.1698113207547,25.1132075471698,0.0377358490566038,2.37735849056604
2009,13.098,18.044,8.54,743.502978723404,13.1551020408163,119.56,9.54,10.64,29.94,0,2.1
2010,12.056862745098,16.7882352941176,7.60196078431373,800.85652173913,13.284,123.981481481481,16.0555555555556,8.64814814814815,29.3518518518519,0.0185185185185185,1.94444444444444
2011,13.3211538461538,18.4230769230769,8.62115384615385,653.445744680851,13.0196078431373,117.461538461538,3.09615384615385,10.2115384615385,43.6730769230769,0,0.769230769230769
2012,12.6423076923077,17.5288461538462,8.15769230769231,841.34,13.7078431372549,135,6.84905660377358,8.83018867924528,41.9622641509434,0,1.50943396226415
2013,12.3333333333333,17.0270833333333,8.03333333333333,896.514545454545,13.46875,150.9375,15.3958333333333,10.6041666666667,32.1875,0,2.125
2014,13.4125,18.3416666666667,8.96666666666667,884.586136363636,13.4208333333333,147.551020408163,6.91836734693878,12.6326530612245,37,0.0612244897959184,1.77551020408163
2015,13.33,18.394,8.62682926829268,686.158913043478,13.908,120.1,5.56,8.02,37.1,0.02,0.98
2016,13.0044444444444,17.9822222222222,8.15348837209302,760.19175,13.0977777777778,143.130434782609,4.21739130434783,8.56521739130435,46.9347826086956,0,1.52173913043478
2017,13.2729166666667,18.5020833333333,8.30869565217391,652.381860465116,13.1041666666667,127.65306122449,5.51020408163265,7.63265306122449,39.3877551020408,0.0204081632653061,0.551020408163265
2018,13.7744186046512,18.8674418604651,8.75555555555556,820.770810810811,12.3690476190476,138.976744186047,6.76744186046512,12.1860465116279,42.2093023255814,0,0.162790697674419
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
