"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9.8,13.6,5.6,543.16,13.1,150,21,11,40,0,3
1933,9,12.7,4.6,NA,13.2,142,33,17,51,1,1
1934,10.9,14.8,6.7,NA,15.7,175,21,14,45,0,5
1935,9.9,13.5,6.05,NA,17,184,36.5,13,23,0,9
1936,9.5,13.3,6,NA,14.1,208,36,17,35,0,6
1937,6.5,9.5,3.4,1501.87,25.65,112,42.5,14,168.5,0,3.5
1938,6.75,9.95,3.4,1606.07,29.7,105,34,6.5,151.5,0,3.5
1939,8.225,11.375,4.375,1042.135,21.375,143.25,23.5,11,98.5,0,3.25
1940,6.4375,10.1375,2.375,873.773333333333,17.675,143.875,50,11.125,82.375,0,3.125
1941,7.29,10.86,3.37,1062.6175,16.82,146.6,45.2,9.9,75.2,0,3.2
1942,7.9125,12.0625,3.5375,NA,13.1875,138.875,45.25,10.875,57.125,0,1.5
1943,9.38333333333333,13.8833333333333,4.75,428.43,12.7333333333333,149.333333333333,25.1666666666667,12.1666666666667,60,0,2.5
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,9.4,13.3,5.8,NA,15.2,150,61,13,93,0,0
1948,10.3,14,6.8,NA,14.4,168,22,12,87,0,0
1949,9.875,13.875,5.975,800.88,15.95,171,27.5,17,88.5,0,8
1950,9.35,12.975,5.7,942.9,16.35,194.75,36,20.25,67.25,0,5
1951,9.475,13.325,5.775,998.35,15.35,190.5,31.5,19,72,0,6.75
1952,7.46666666666667,10.7777777777778,4.23333333333333,897.584,17.9555555555556,165.555555555556,58.2222222222222,13.4444444444444,90.4444444444444,0,2.44444444444444
1953,8.88,12.64,5.34,667.598888888889,16.23,143.4,35.3,17.4,100.1,0,1.4
1954,7.41,10.77,4.15,901.132857142857,17.97,178.9,39,11.7,92.3,0,2.7
1955,6.98571428571429,10.4714285714286,3.8,861.386666666667,17.2571428571429,138.285714285714,53.1428571428571,14.1428571428571,115.142857142857,0,2.42857142857143
1956,6.3625,9.85,3.125,840.942857142857,17.7,150.75,55.75,10.75,88,0,0.875
1957,8.0875,11.7375,4.725,721.75,17.025,158.125,27.5,13.25,95.25,0,1.125
1958,7.65,11.0875,4.5125,935.475,16.95,154.5,51.5,14.25,96,0,0.875
1959,8.7,12.8,5.05,600.655714285714,16.325,113.875,31.875,11.375,88.25,0,0.75
1960,7.93333333333333,11.4555555555556,4.84444444444444,907.967142857143,17.4777777777778,172,41.5555555555556,13,96.7777777777778,0,1.11111111111111
1961,7.875,11.625,4.4,1197.41,20.7,182.25,44.5,17.75,170.75,0,2.5
1962,6.05,9.65,2.775,1086.37,21,156,83.75,14.75,157,0,3.25
1963,6.975,10.525,3.275,870.92,18,127.75,51.5,14.75,177,0,0.25
1964,7.5,10.825,3.725,975.65,18.72,154.4,47,13.6,149.2,0,2.2
1965,7.36,10.275,3.8,1135.68,19.1,171.2,73.6,14,157.6,0,1.8
1966,8.3125,11.4625,4.9375,1434.07,16.65,174.625,60.75,19.25,130.625,0,2.375
1967,8.625,12.0714285714286,4.87142857142857,1199.55,17.875,179.875,52.125,23.125,117.125,0.125,4.875
1968,7.73333333333333,11.3333333333333,4.28333333333333,819.09,18.0333333333333,173,57.6666666666667,20.3333333333333,128.833333333333,0,3.83333333333333
1969,7.48333333333333,11.1166666666667,4.2,1176.995,18.55,154.166666666667,70.1666666666667,17.3333333333333,148,0,1.83333333333333
1970,8.36,11.96,4.98,862.65,15.1,186,66.8,15.8,110.6,0,3.4
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,8.95,12.5,4.87586206896552,645.274,15.5466666666667,187.066666666667,50.8333333333333,19.5333333333333,59.6333333333333,0,10.4333333333333
