"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1958,17.9,21.1,15.2,538.04,18.5,115,0,17,38,0,2
1959,17.9,20.9,15.4,656.94,18.4,131,0,12,21,0,0
1960,17.8,21.2,15,864.96,16.2,120,1,13,34,0,0
1961,18.4,21.4,15.7,920.32,16.2,106,1,16,42,0,2
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,17.4,21.1,14.5,670.59,20,103,0,13,39,0,2
1974,17.5,21.4,14.3,438.16,19.6,97,1,17,35,0,4
1975,17.5,21.3,14.4,836.97,19.5,113,2,22,37,0,2
1976,17.4,20.9,14.5,759.21,19.8,135,1,25,34,0,1
1977,17.5,21.2,14.7,1028.44,20.6,108,0,24,25,0,1
1978,18,21.4,15,923.08,21.9,120,0,21,38,0,0
1979,18.2,21.7,15,795.48,22.3,111,0,24,37,0,2
1980,18.2,21.7,14.8,664.94,21.2,105,1,20,32,0,1
1981,18.4,21.9,15.2,364.25,21.3,88,1,11,34,0,0
1982,18.2,21.6,15.1,1021.83,21.3,98,1,12,29,0,0
1983,18.8,22.2,15.6,639.83,22.1,93,1,9,31,0,3
1984,17.9,21.2,15,543.57,21.3,108,0,11,32,0,2
1985,18.4,21.9,15.2,546.36,19.4,110,0,17,37,0,1
1986,18.5,21.9,15.3,391.16,20.9,103,0,12,35,0,1
1987,18.4,21.8,15.3,1097.81,20.6,104,0,20,30,0,0
1988,18.4,22,15.3,579.1,19.9,107,0,14,44,0,2
1989,19,22.1,16,1398.55,20.8,136,0,28,39,0,0
1990,18.9,22.2,15.8,813.58,19.7,115,0,20,30,0,0
1991,18.2,21.5,14.9,872.44,19.5,112,0,16,23,0,1
1992,18.2,21.3,15,686.58,19.8,104,0,13,44,0,1
1993,18,21.2,14.9,746.31,21.4,116,2,26,18,0,2
1994,18.8,22.5,15.4,337.77,20.3,85,0,14,35,1,0
1995,19,22.4,15.9,764.05,22,78,0,13,33,0,0
1996,18.3,21.4,15.2,1737.39,21.6,119,1,19,29,0,0
1997,19.3,22.4,16.2,811.28,22.3,101,0,20,14,0,0
1998,18.8,21.7,15.8,334.55,20.2,67,0,9,25,1,0
1999,18.3,21.7,15.4,476.24,19,83,0,7,35,0,0
2000,18.2,21.4,15.5,809.71,20,98,0,15,37,0,0
2001,18.5,22,15.7,639.52,20,95,0,12,21,0,0
2002,NA,NA,NA,NA,NA,96,0,12,27,0,0
2003,18.4,21.8,15.5,881.15,19.6,95,0,13,22,0,0
2004,18.2,21.6,15.4,512.11,19.1,85,0,16,38,0,0
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,18.4,21.8,15.8,668.24,18.7,108,0,19,25,0,0
2007,18.5,21.9,15.7,744.47,19.3,88,0,25,26,0,1
2008,18.4,21.6,15.7,805.11,20.5,97,0,22,29,0,1
2009,18.6,21.8,15.8,920.23,18.9,94,0,18,35,0,1
2010,18.6,21.6,16,1885.9,18.4,133,0,33,24,0,0
2011,18.7,21.8,16.2,763.23,18,94,0,28,28,0,0
2012,18.2,21.5,15.4,608.31,15.8,71,0,13,41,0,0
2013,18.2,21.3,15.6,600.21,19.2,79,0,10,20,0,0
2014,18.6,22,15.8,569.91,18.4,83,0,8,35,0,0
2015,18.8,22,16.2,457.16,18.2,72,0,4,23,0,1
2016,18.9,21.9,16.3,789.17,19.5,77,0,16,10,0,0
2017,18.9,21.8,16.2,542.51,19.4,56,0,6,21,0,0
2018,18.2,21.4,15.5,724.39,19.1,91,0,9,16,0,1
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
