"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,6.2,9.7,2.9,NA,16.5,140,46,15,38,0,4
1961,7.5,11,4.1,3796.27,18.6,171,49,21,40,0,1
1962,5.8,8.9,2.3,3172.38,19.1,174,54,8,44,0,3
1963,5.5,9.3,1.3,3168.83,17,104,74,13,38,0,2
1964,6.25,9.95,2.4,3350.31,17.5,115,44,9.5,54,0,0.5
1965,5.85,9.45,2.2,3084.02,19.75,139,66.5,8,30,0,0.5
1966,5.9,9.45,2.3,2329.395,16.55,131.5,66.5,8,50,0,1.5
1967,6.9,10.75,3.05,2089.615,19.8,154,58,12,53.5,0,1
1968,6.1,9.9,2.05,588.81,19.15,134.5,60.5,15,46,0,1
1969,5,9.05,0.75,642.35,18.8,125,60,10,60.5,0.5,2
1970,5.65,9.15,1.9,1027.66,17.25,158.5,80,14,42,0,1.5
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,6.9,10.35,3.2,758.06,17.85,167,47.5,21,36,0,4
1974,7.2,10.55,3.85,904.38,16.9,187.5,20.5,10.5,45,0,2
1975,8.25,11.85,4.3,463.485,18.1,158,33,8,46,0,5.5
1976,5.15,8.7,1.2,530.63,16.8,128,65,6.5,53,0,1
1977,6.2,9.5,2.8,747.63,16.95,166,57.5,12.5,45.5,0,1
1978,5.6,8.95,2.2,739.68,16.85,163.5,54.5,11,37,0,2
1979,5.9,9.25,2.3,659.77,17.6,148.5,53.5,12,36,0,0.5
1980,5.7,9,2.25,732.795,15.3,134,65,11.5,43,0,0.5
1981,6.65,9.75,3.3,921.51,15.7,152.5,65,10.5,44,0,2
1982,7,10.25,3.55,410.755,15.65,124,30,6,43.5,0,4
1983,7.85,10.95,4.55,658.005,17.7,171,41,11,46,0.5,1
1984,7.2,10.1,4.1,637.455,14.95,152.5,44,14.5,43.5,0,0
1985,5.1,8.3,1.7,620.25,13.9,133,82,16,41,0,0
1986,6.5,9.55,3.2,697.075,16.35,143,58.5,11,31,0,1.5
1987,5,8.35,1.55,706.255,15.3,130.5,59,5,45.5,0,0.5
1988,7.15,10.2,3.95,632.22,16.45,127,80,13.5,38.5,0,1
1989,8.55,11.6,5.25,646.69,16.15,147,27,8,37.5,0,3
1990,8.5,11.5,5.35,793.875,16.75,170.5,26,8,17.5,0,2
1991,7.75,10.8,4.55,695.805,15.5,155,36.5,8,32,0,3
1992,8.05,11.15,4.8,709.63,15.55,167.5,41,15.5,27.5,0,6
1993,6.8,10.05,3.2,730.28,13.95,147.5,58,9.5,21.5,0,3.5
1994,7.03333333333333,10.0333333333333,3.76666666666667,926.85,13.4666666666667,145,53,4.33333333333333,20.3333333333333,0,6.33333333333333
1995,7.43333333333333,10.5333333333333,4.33333333333333,668.88,13.7666666666667,145,62.6666666666667,12.3333333333333,25,0,5
1996,5.83333333333333,9.2,2.26666666666667,593.39,12.1666666666667,106.666666666667,59.3333333333333,9,27.6666666666667,0,1.66666666666667
1997,7.43333333333333,10.3666666666667,4.36666666666667,727.34,13.5,139.333333333333,70.3333333333333,10.6666666666667,31.6666666666667,0,10.3333333333333
1998,7.03333333333333,9.9,4.2,642.236666666667,13.6,159.333333333333,60,10.3333333333333,32.6666666666667,0,3.33333333333333
1999,8.15,11.6,4.45,829.645,13.25,133,62.5,12.5,36,0,2
2000,8.53333333333333,11.6,5.33333333333333,726.78,14.2333333333333,162.333333333333,45.3333333333333,9,32.3333333333333,0,6
2001,7.5,11,3.9,NA,12.95,152,66,11.5,36.5,0,4.5
2002,NA,NA,NA,NA,NA,146,57,8.5,34.5,0,3.5
2003,7.2,10.9,3.5,630.53,12.55,153,55.5,14.5,48,0,2.5
2004,7.3,10.8,3.6,642.1,12.65,160.5,61,12,42.5,0,1.5
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,7.85,11.25,3.85,NA,11.3,172.5,56.5,7,35,0,1
2007,8.25,11.85,4,642.43,12.95,193.5,44.5,9.5,21.5,0,1.5
2008,8.45,11.7,4.45,621.35,13.6,201,47.5,6.5,28.5,0,2.5
2009,7.4,10.5333333333333,3.76666666666667,751.54,13.8,149.333333333333,62,9.33333333333333,37,0,0.333333333333333
2010,6.3,9.73333333333333,2.4,NA,13.2666666666667,140.666666666667,86,17.3333333333333,44,0,0.666666666666667
2011,8.1,11.3666666666667,4.23333333333333,877.52,15.5666666666667,149.333333333333,43,12,44.6666666666667,0,1.33333333333333
2012,6.9,10.1,3.3,NA,15,168,63.6666666666667,9.33333333333333,42,0,2.33333333333333
2013,7.65,11.35,3.2,NA,11.9,150,53.5,7,57.5,0,1.5
2014,8.5,12,4.1,NA,11.8,164,25,15,103,0,3
2015,8.8,11.8,5.5,627.39,13.2,161,22,7,30,0,3
2016,8.3,11.5,4.4,784.55,12.4,168,46,9,35,0,2
2017,8.2,11.3,4,NA,13.7,221,45,5,83,0,6
2018,8.8,12.6,3.9,NA,11.8,141,52,13,108,0,0
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
