"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,0.8,2.8,-1.2,1252.57,40.6,78,59,10,262,0,3
1938,0.7,3,-1.7,1833.53,37.2,31,77,11,256,1,2
1939,0.6,2.7,-1.7,1881.63,39.1,19,36,9,295,0,2
1940,3.975,7.525,0.15,1181.54,22.475,117.75,58.75,11.75,110,0,2
1941,5.28333333333333,9.01666666666667,1.43333333333333,1222.34666666667,20.6833333333333,135.166666666667,60.5,9.5,97.1666666666667,0.166666666666667,2.83333333333333
1942,6.475,10.725,1.775,648.235,12.175,128.6,61.4,16,64.6,0,1.4
1943,8.85,13.1,4,754.01,14.9,115.666666666667,45.3333333333333,7.33333333333333,40.3333333333333,0,1.33333333333333
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,9.55,14.7,5,658.94,13.45,121.5,25.5,25,23.5,0,0
1960,8.34,13.12,4.3,NA,11.14,149.4,30.8,24.8,62.6,0,0.6
1961,8.78571428571429,14.1285714285714,3.87142857142857,577.56,10,131.571428571429,33.8571428571429,21.5714285714286,69.1428571428571,0,0.714285714285714
1962,7.32857142857143,12.4285714285714,2.65714285714286,NA,10.6285714285714,133.857142857143,67.5714285714286,15,54.4285714285714,0,1.42857142857143
1963,7.35714285714286,12.6857142857143,2.55714285714286,NA,9.72857142857143,119.714285714286,49.8571428571429,30.1428571428571,66.1428571428571,0,0.285714285714286
1973,6.12272727272727,10.6636363636364,1.97272727272727,608.089545454545,15.1772727272727,117.454545454545,77.5454545454545,18.7727272727273,91.9545454545455,0.0909090909090909,1.54545454545455
1974,6.89565217391304,11.0181818181818,2.99090909090909,847.99347826087,15.2173913043478,154.652173913043,60.6521739130435,22.5652173913043,98.4347826086957,0.0869565217391304,1.82608695652174
